status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
35585623895_223144075885,2010 is just around the corner! What are your resolutions for 2010?,,status,,2009-12-30 17:39:43,11,53,0,11,0,0,0,0,0
35585623895_225230606013,Which smartphone is best for running your business and why?,,status,,2009-12-14 13:00:14,12,34,0,12,0,0,0,0,0
35585623895_201332315705,Is your company having a holiday party this year?,,status,,2009-12-10 13:23:43,1,19,0,1,0,0,0,0,0
35585623895_187378075884,Anyone either LOVE or HATE touchscreens for smartphones? We want to talk to you!,,status,,2009-12-03 18:29:02,8,53,0,8,0,0,0,0,0
35585623895_208252218071,Are you planning to give your employees a gift for the holidays during the recession? What are some low-cost gift ideas?,,status,,2009-12-02 18:07:46,3,9,0,3,0,0,0,0,0
35585623895_323275675654,Outsourcing vs. Doing It Yourself: How do you know when to hold tight or let some duties be handled off-site?,,status,,2009-11-23 18:57:48,6,10,0,6,0,0,0,0,0
35585623895_211983416647,What makes a good client gift? What are some good gift ideas this holiday season? Have you ever received an unusual or inappropriate gift from a client?,,status,,2009-11-23 17:20:09,4,12,0,4,0,0,0,0,0
35585623895_211665587500,Do you offer your employees health insurance? Why or why not?,,status,,2009-11-13 12:39:58,6,15,0,6,0,0,0,0,0
35585623895_197975342385,Who either LOVES or HATES Windows 7? We want to hear from you!,,status,,2009-11-11 15:00:00,7,27,0,7,0,0,0,0,0
35585623895_197791543318,Are you a business owner who has lost your line of credit? Tell us about it. We want to talk to you for a story we're working on.,,status,,2009-11-05 17:46:52,1,12,0,1,0,0,0,0,0
35585623895_185070897358,Do you monitor your employees' email and internet usage?  What have you learned?,,status,,2009-11-04 10:58:34,7,11,0,7,0,0,0,0,0
35585623895_158886738433,What's your most important strategy for 2010?,,status,,2009-10-21 10:56:48,18,59,0,18,0,0,0,0,0
35585623895_163532337154,Anyone LOVE or HATE Google Chrome? Entrepreneur magazine wants to talk to you!,,status,,2009-10-19 12:29:26,8,49,0,8,0,0,0,0,0
35585623895_168648700711,"Are you a mobile entrepreneur? Entrepreneur magazine wants to talk to you! How did you transform your biz using mobile technology, devices, apps?",,status,,2009-09-29 13:01:25,12,20,0,12,0,0,0,0,0
