status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
111445058579_10154905836113580,,,status,,2017-04-28 13:09:38,3,0,0,3,0,0,0,0,0
111445058579_10154901496493580,,,status,,2017-04-27 03:42:51,4,1,0,3,0,0,0,1,0
111445058579_222837165977,"""It is not enough to carry sexy pictures of politicians only because we're all thrilled or shocked. The media must establish why Tiwari's privacy was breached and what social purpose was served."" Says Vir Sanghvi in his latest blog. Tell us what you think, post your comments here.",,status,,2009-12-29 23:45:43,11,11,1,11,0,0,0,0,0
111445058579_235055177651,Looking forward to Avatar this weekend? Send in your reviews and experiences - the best 5 reviews would be published on HindustanTimes.com.,,status,,2009-12-17 03:22:55,7,11,0,7,0,0,0,0,0
111445058579_198258717076,"Telangana state is likely to comprise the 10 districts of Andhra Pradesh — the area that constituted the old Hyderabad state during British times. What do you think? Today Telengana, tomorrow Gorkhaland, are we back to the post independence era?",,status,,2009-12-10 00:13:10,9,29,1,9,0,0,0,0,0
111445058579_189778252838,100th Test win for India. India reaches No. 1 in ICC Test rankings. Sreesanth is Man of the Match on his return to the team.,,status,,2009-11-27 04:45:24,22,20,0,22,0,0,0,0,0
111445058579_90108684977,"Today, there was no edition of Hindustan Times (or for that matter, most papers). Did you miss reading the paper in the morning? Can you do without the morning paper and only depend on the 'net/TV for news?",,status,,2009-10-18 07:07:45,11,29,0,11,0,0,0,0,0
111445058579_175769436624,wishes all fans a very happy Diwali!,,status,,2009-10-16 06:29:51,14,16,0,14,0,0,0,0,0
111445058579_124686731774,Hindustan Times C-Fore survey: UPA on track Do you think UPA 2.0 is meeting their mark?,,status,,2009-08-29 04:53:17,5,2,0,5,0,0,0,0,0
111445058579_117618688731,Young @ 62 survey and Your Kaminey Review contest are now closed.  Thank you all for the fantastic response!,,status,,2009-08-17 06:56:33,0,1,0,0,0,0,0,0,0
111445058579_136558112353,"Seen Kaminey yet? Post your reviews, ratings and thoughts here. The 5 best written reviews to be selected and featured on HindustanTimes.com on 18-Aug! Write now!",,status,,2009-08-14 23:44:43,3,17,0,3,0,0,0,0,0
111445058579_136999548311,Latest on the HT Hyper Local Newspaper,,status,,2009-08-05 04:13:44,3,14,1,3,0,0,0,0,0
