status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
185682030996_10152276546515997,"""Gone Girl"": What's Up with the 2015 Awards Race http://bit.ly/1uhP5l2",,status,,2014-10-02 22:09:04,30,0,0,30,0,0,0,0,0
185682030996_10152257909100997,Re-ranking the contenders in Best Director http://bit.ly/1v1kqaM,,status,,2014-09-22 18:32:01,27,3,1,27,0,0,0,0,0
185682030996_10152211927460997,The Best of the first two thirds of 2014 http://bit.ly/VUCQx3,,status,,2014-08-30 03:08:07,33,0,1,33,0,0,0,0,0
185682030996_10151988157775997,Star Wars casts some future Oscar nominees http://bit.ly/1iBidPQ,,status,,2014-04-30 16:56:14,9,0,1,9,0,0,0,0,0
185682030996_10151959048025997,Under the Radar: David Gordon Green http://bit.ly/1t7igpR,,status,,2014-04-15 19:24:37,4,0,0,4,0,0,0,0,0
185682030996_10151951620325997,Magnolia acquires White Bird in a Blizzard - Shailene Woodley http://bit.ly/1ewM8SS,,status,,2014-04-11 13:51:06,2,0,0,2,0,0,0,0,0
185682030996_10151874477595997,Blind Film Critic Hears Oscar Picks http://bit.ly/1bGlZos,,status,,2014-02-24 14:08:04,3,0,0,3,0,0,0,0,0
185682030996_10151866490555997,"Oscars: Get to know a Best Picture nominee: ""Her"" http://bit.ly/1dPjn77",,status,,2014-02-19 22:01:00,9,0,0,9,0,0,0,0,0
185682030996_10151856310405997,Jennifer Lawrence to Present at the Oscars® http://bit.ly/1ggxjY7,,status,,2014-02-14 12:43:00,14,2,0,14,0,0,0,0,0
185682030996_10151852997595997,"Oscars: Get to know a Best Picture nominee: ""Captain Phillips"" http://bit.ly/1esu4ru",,status,,2014-02-12 16:20:50,10,0,0,10,0,0,0,0,0
185682030996_10151838934615997,Kristin Scott Thomas to quit acting http://bit.ly/1nOLEhZ,,status,,2014-02-04 13:26:37,4,0,0,4,0,0,0,0,0
185682030996_10151837599295997,12 Years a Slave wins three London Critics Circle Film Awards http://bit.ly/1boqEt1,,status,,2014-02-03 17:30:30,9,1,0,9,0,0,0,0,0
185682030996_10151592013775997,"Jared Leto to receive ""Hollywood Breakout Performance Award"" at the Hollywood Film Awards http://bit.ly/1beYi2H",,status,,2013-09-27 22:24:21,9,1,2,9,0,0,0,0,0
185682030996_10151562367960997,"""Monsters University"" and ""Pacific Rim"" take Hollywood Film Awards Honors http://bit.ly/1g10Rpc",,status,,2013-09-11 21:05:03,7,1,0,7,0,0,0,0,0
185682030996_10151533064635997,Entertainment Tonight's Nancy O'Dell Set To Host The 17th Annual Hollywood Film Awards http://bit.ly/1djf5WC,,status,,2013-08-26 10:06:10,5,2,1,5,0,0,0,0,0
185682030996_10151434946395997,'Belle' starring Tom Wilkinson and Emily Watson acquired by Fox Searchlight http://bit.ly/1av3hxW,,status,,2013-07-01 09:52:55,3,0,0,3,0,0,0,0,0
185682030996_10151422194955997,"""Monsters University"" opens at No.1 in the world http://bit.ly/11z7QCA",,status,,2013-06-23 20:03:13,3,0,0,3,0,0,0,0,0
185682030996_10151223337515997,Join our TWITTER page at http://www.twitter.com/hollywoodnews,,status,,2013-02-07 19:03:40,1,0,0,1,0,0,0,0,0
185682030996_10151175527825997,Join the 17th Annual Hollywood Film Festival - Online. Be discovered in Hollywood. Submit NOW! http://www.hollywoodfest.com,,status,,2013-01-19 14:33:22,3,0,0,3,0,0,0,0,0
