status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
372440236133310_1413097552067568,"Hey there

Whoever you are. 

We know things suck right now. 

But there are people in the comment section here who are listening. And we've got hugs to offer. 

Giant, tight, long, heartfelt, group hug.",,status,,2017-04-04 14:44:31,6968,898,84,5755,1018,7,180,7,1
372440236133310_1401167959927194,Follow us on our Instagram (@allindiabakchod) and Snapchat (@AIBOfficial) for live updates on #YTFF  #AIBatYTFF,,status,,2017-03-24 03:57:54,190,8,0,170,13,0,7,0,0
372440236133310_1103555103021816,Going live with Zakir Khan in 5 minutes!,,status,,2016-05-16 11:30:54,890,62,1,861,20,2,5,2,0
372440236133310_1045275235516470,"Guys, no tickets are available at the venue.
AIB Diwas is SOLD OUT.",,status,,2016-02-20 02:47:59,682,70,1,682,0,0,0,0,0
372440236133310_1041342192576441,"If you haven't received an interview email for AIB First Draft yet, then we're sorry, we're afraid you didn't make it to the final shortlist :( However, over 20,000 of you were interested in being writers is so so heartening to see. We're gonna be back with First Draft again next year. Do try again! Until then, keep writing! :)",,status,,2016-02-12 12:08:24,1670,92,0,1670,0,0,0,0,0
372440236133310_1039172912793369,Hum bas videos mein jokes dalte hai. Asli kaam SaveTheInternet team karti hai. Direct all credit and praise to this email ID: team@SaveTheInternet.in :),,status,,2016-02-08 07:09:30,13252,128,76,13252,0,0,0,0,0
372440236133310_1010825288961465,"Free Basics ka email TRAI ko bhejne se Candy Crush requests double ho jaate hai, pls sign mat karo. Thanks.",,status,,2015-12-17 07:29:57,10421,258,931,10421,0,0,0,0,0
372440236133310_1008531512524176,"Australia ki junta, helll bolo. Agle saal show karne aa rahe hai. \m/",,status,,2015-12-12 05:28:45,4173,256,8,4173,0,0,0,0,0
372440236133310_957957270914934,"Dawood releases a video, draped in Pakistani flag, claiming to be in Pakistan, while pointing to Pakistan on a map, in front of Osama's house.

Pakistan: PAR PROOF KAHA HAI?",,status,,2015-08-22 08:28:37,22166,414,728,22166,0,0,0,0,0
372440236133310_940532009324127,Gotta feel kinda bad that you fast for a whole month and at the end all you get is a Salman Khan movie,,status,,2015-07-18 00:56:04,30461,1377,1166,30461,0,0,0,0,0
372440236133310_934823066561688,Every Award show should just be 5 performances by Hritik. Cancel all awards. Call nobody. Just record him dancing.,,status,,2015-07-05 13:48:33,26863,401,498,26863,0,0,0,0,0
372440236133310_933686073342054,Indian moms squeeze toothpaste out from empty tubes to teach you the concept of 'x tends to zero but never equals zero'. #ColgateCalculus,,status,,2015-07-03 04:37:12,28752,219,1215,28752,0,0,0,0,0
372440236133310_930835950293733,Facebook has become like that wedding function where you can't drink because all the family elders are there,,status,,2015-06-27 02:40:56,35419,410,1208,35419,0,0,0,0,0
372440236133310_930449393665722,Indians will be more likely to accept gay marriage if we tell them that they'll get gay dowry.,,status,,2015-06-26 11:04:48,34206,570,1395,34206,0,0,0,0,0
372440236133310_925261340851194,"Hope HBO is working on a technology where in the last season finale of Game Of Thrones, a hand comes out of the screen and stabs the viewer",,status,,2015-06-15 12:38:24,17756,610,1439,17756,0,0,0,0,0
372440236133310_925257117518283,Jurrasic World earned 512 million dollars in it's opening week. Congrats to Irrfan Khan for becoming the first khan to earn 3000 crores at the opening weekend B.O.,,status,,2015-06-15 12:24:31,47507,397,1610,47507,0,0,0,0,0
372440236133310_925033010874027,"Hey guys, we know we were supposed to upload our next video today but we've been moving offices these past few days and moving hardware apparently does not go well with water falling from the sky. A couple of our disks are behaving FUBAR and we've been trying to figure it out but it doesn't look like we'll make the deadline. We'd rather be honest than make you guys wait till late night and then break it. Trust us, we're as disappointed as you are if not more coz we love putting a sketch out for you guys more than anyone. Hopefully things will be back to speed over the next few days. Sorry about this. We feel terrible. Hope you guys can understand. - Tanmay, Rohan, Ashish, Khamba",,status,,2015-06-14 23:07:08,4534,301,9,4534,0,0,0,0,0
372440236133310_924710350906293,4000 crore rupee scam. Running from Indian law. Fugitive. Whilst partying with Paris Hilton. L Modi is the true definition of YOLO. #Respect #ModiTeraSwaggerLaageSexy,,status,,2015-06-14 08:38:34,10321,138,295,10321,0,0,0,0,0
372440236133310_924408417603153,"We're at a point where if mother sees a kid eating dirt on the playground she's like ""Koi na kam se kam Maggi ya haldiram toh nahi kha raha""",,status,,2015-06-13 14:25:50,8748,93,140,8748,0,0,0,0,0
372440236133310_924194344291227,Throwback to years ago when school would start today #13June #NeverForget,,status,,2015-06-13 00:33:48,7968,109,173,7968,0,0,0,0,0
372440236133310_921598741217454,Building a nuclear warhead by mixing maggi in coke with mentos and adding kurkure and red bull in it,,status,,2015-06-08 01:40:17,36282,588,1474,36282,0,0,0,0,0
372440236133310_918530784857583,"""Abbe yeh mat kha, issmein lead hai, its bad for you"" - Engineering student in four day old boxers drinking Old Monk out of his lota while smoking a beedi",,status,,2015-06-03 01:31:03,16338,262,655,16338,0,0,0,0,0
372440236133310_918255184885143,"""Saala amateur"" - N. Srinivasan",,status,,2015-06-02 13:15:32,4973,115,152,4973,0,0,0,0,0
