status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
139188202817559_242432365826475,Happy New Year ! :),,status,,2012-01-01 01:41:48,253,20,0,253,0,0,0,0,0
139188202817559_242046105865101,"◕▄███▄◕──◕▄██▄◕──◕▄███◕──◕▄███▄◕
◕▀──██◕─◕██──██◕───◕██◕──◕▀──██◕
◕──██◕──◕██──██◕───◕██◕──◕──██◕
◕─██◕───◕██──██◕───◕██◕──◕─██◕ ◕█████◕──◕▀██▀◕───◕▄██▄◕─◕█████◕
✿♥❀♥❁•*¨✿❀❁•*¨`*•.✿❀❁•*¨`*•.`✿♥❀♥❁♥❀♥❁
Happy New Year! !",,status,,2011-12-31 06:34:39,219,13,99,219,0,0,0,0,0
139188202817559_240410496028662,What is the difference between AC and DC ?,,status,,2011-12-28 04:18:12,65,67,2,65,0,0,0,0,0
139188202817559_240385632697815,What are the applications of solar inverters ?,,status,,2011-12-28 02:28:33,28,18,2,28,0,0,0,0,0
139188202817559_240070442729334,What is the function of a solar inverter ?,,status,,2011-12-27 12:54:10,34,24,1,34,0,0,0,0,0
139188202817559_235709236498788,"Cutting a cake into 8 pieces is possible with just 3 slices, can you work out how?",,status,,2011-12-19 02:53:54,33,23,5,33,0,0,0,0,0
139188202817559_234293489973696,"""Leave nothing but footprints. Take nothing but pictures. Kill nothing but time.""",,status,,2011-12-16 07:41:09,63,1,5,63,0,0,0,0,0
139188202817559_233802183356160,"People say that college friendship is unforgettable , What do you think about college friendship ?",,status,,2011-12-15 08:46:15,53,28,2,53,0,0,0,0,0
139188202817559_232832146786497,"You can find more interesting photos on "" Interestingengineering.com "" :)",,status,,2011-12-13 12:31:07,12,0,0,12,0,0,0,0,0
139188202817559_232678503468528,"DEDICATED TO ALL
ENGINEERS:
I could have been a doctor and
saved lifes!
I could have been a lawyer and
defended lifes!
I could have been a soldier
andprotectd lifes!
But why to play with others
lifes?
So I choose to be an Engineer &
playing with my own & making
happy others.
Come on guys need more engineers! "" InterestingEngineering.Com """,,status,,2011-12-13 05:46:33,294,24,64,294,0,0,0,0,0
139188202817559_232111993525179,"A 24yrs boy seeing out from the train window, shouted, ""Dad, look the trees are going behind""
Dad smiled and a young couple siting nearby, looked at the 24yrs old's childish behavior with pity.
suddenly he again exclaimed, ""Dad, look the clouds are running with us!""
the couple couldn't resist and said to the old man, ""why don't you take your son to a doctor?""
Old man smiled and said,""I did and we are just coming from the hospital, my son was blind from birth,
He just got his EYES TODAY...!!!
Think twice before judging anyone!",,status,,2011-12-12 08:56:56,279,16,69,279,0,0,0,0,0
139188202817559_229002143836164,"Write this in google search box  and see what is happening =) 

(sqrt(cos(x))*cos(200x)+sqrt(abs(x))-0.7)*(4-x*x)^0.01, sqrt(9-x^2), -sqrt(9-x^2) from -4.5 to 4.5",,status,,2011-12-06 13:45:45,167,29,74,167,0,0,0,0,0
139188202817559_228880833848295,"Power of Mathematics :
One day a box was'nt opening.
Lawyer came, applied all laws bt it didn't open..
Chemist came, applied all reactions but it didn't open..
Physician came, applied all forces but it didn't open..
Den Mathematician came and said...
.
.
Let us assume the box is open...",,status,,2011-12-06 09:07:28,339,35,93,339,0,0,0,0,0
139188202817559_227643077305404,Do you think which countries are the most powerful ones about science/engineering ?,,status,,2011-12-04 08:14:47,28,104,0,28,0,0,0,0,0
139188202817559_227557027314009,"If you write ""interesting engineering"" on google , you will find our interesting blog :)",,status,,2011-12-04 03:31:03,21,0,0,21,0,0,0,0,0
139188202817559_227541190648926,"If I die in an exam zone,
Box me up and send me home.
Put my papers on my chest and,
Tell my mom I tried my best.
Tell my dad not to worry,
As I'm no more to make him feel sorry. 
Don't telll my friends as they are hearties,
Because I won't be there to join all the parties,
Tell my love not to cry,
Because ""I'M AN ENGINEER, BORN TO DIE""

- By an Engineer.

Please click like/share to appreciate egnineers' hard workd and dedication.",,status,,2011-12-04 02:18:56,313,11,87,313,0,0,0,0,0
139188202817559_227024600700585,We need only 500 members to be 30000 ! Share and invite !!,,status,,2011-12-03 06:21:39,31,4,4,31,0,0,0,0,0
