status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
64822581025_10154724455001026,Mañana ya en Monte Carlo y también os espero en mayo en el #MadridOpen! Tomorrow Monaco and looking forward to playing in Madrid! http://goo.gl/QqsEoI,,status,,2017-04-13 08:08:00,9565,307,100,8842,703,18,1,1,0
64822581025_10154712376651026,"¡Qué grande Sergio Garcia muy emocionante después de tantos años luchando tanto!, ¡muchas felicidades!, ¡qué alegría!",,status,,2017-04-09 18:43:12,13178,172,165,12388,759,23,8,0,0
64822581025_10154711991141026,Vamos Sergio Garcia!!! Que vaya bien hoy. Todos en casa siguiéndote y animando!!!,,status,,2017-04-09 15:22:00,9177,127,59,8746,417,12,1,1,0
64822581025_10154538536076026,"I am very sorry to announce I won't be able to play in Rotterdam next week. After last year's absence from some tournaments, I started this season well and made a significant effort during the Australian swing. It's because of this that my doctors have strongly advised me to take it easy and give enough rest to my body before competing again to avoid further injuries. I fully understand that the Dutch fans will be disappointed. I am very thankful to Richard for the great support and understanding. #abnamrowtt",,status,,2017-02-09 09:58:14,67215,2931,803,52378,2800,405,36,11505,91
64822581025_10154256274581026,Excited to announce my first tournament back will be in Abu Dhabi at the Mubadala World Tennis Championship in December.,,status,,2016-11-07 12:27:16,31404,950,379,29005,2180,177,33,7,2
64822581025_10154203256441026,"It is no secret that I arrived to the Olympic Games short of preparation and not fully recovered, but the goal was to compete and win a medal for Spain. This forced recovery has caused me pain since then and now I am forced to stop and start preparing the 2017 season. I am very saddened for not being able to play next week in Basel since I have a great memory of the tournament and the final played against Roger Federer last year. I won't be able to compete either in Paris-Bercy, where the crowds and the FFT staff have always treated me so well. Now it is time to rest and start preparing intensively the 2017 season.

Creo que no es ningún secreto decir que llegué muy justo a los JJ.OO. y el objetivo era ganar una medalla para España. Sin embargo esta recuperación acelerada me ha causado dolor en todos los torneos desde entonces y ahora me veo obligado a parar y pensar ya en 2017. Siento mucho no poder jugar en Basilea la semana que viene dado que tengo muy buen recuerdo del torneo y la final con Federer en 2015. Tampoco podré estar en el torneo de Paris-Bercy donde siempre me han acogido con tanto cariño. Ahora toca una vez más descansar y empezar a preparar de manera intensa la temporada de 2017.",,status,,2016-10-20 11:17:59,36054,2471,1039,26743,1757,133,10,7382,29
64822581025_10154080496511026,"Comienzan los #JuegosParalímpicos! Mucha suerte al equipo español! Estamos con vosotros!! #TeamEsp #Rio2016 

The #Paralympics start! Good luck to #TeamSpain! We're all supporting you! #Rio2016",,status,,2016-09-07 06:48:35,17501,141,325,16693,787,2,17,1,1
64822581025_10154040369471026,"Desde NY leo las noticias del terremoto en Italia y me gustaría mandar todo mi apoyo a las familias afectadas

Reading the news of the earthquake in Italy. Sending all my support to all the families that have been affected.",,status,,2016-08-24 10:03:53,22244,371,401,19900,749,19,7,1564,5
64822581025_10154032711906026,"Enorme el #TeamESP! #Bronce para los chicos de #baloncesto y para #CarlosColoma en #mountainbike! #Plata para el equipo de #gimnasiaritmica #Rio2016

Great #TeamSpain! #bronze for the men's #basketball team and for #CarlosColoma in #mountainbike! #silver for rhythmic gymnastics! #Rio2016",,status,,2016-08-21 12:59:39,17022,161,210,16140,850,22,8,2,0
64822581025_10154032385256026,"Muchas felicidades a todo el equipo de #SelFem por la #plata! Y a la increíble Ruth Beitia por el #oro! #Rio2016  

Congrats to Spain's women national basketball team for the silver and to the amazing Ruth Beitia for the #gold #Rio2016",,status,,2016-08-21 10:22:25,16328,138,232,15523,779,21,3,1,1
64822581025_10154026720321026,"Enorme Carolina!!! Felicidades por el #oro tan merecido!!! #Rio2016 #badminton 

Great Carolina!!! Congrats for the deserved #gold!!! #Rio2016",,status,,2016-08-19 11:13:21,39312,395,877,36656,2487,35,38,26,70
64822581025_10154026286741026,"Más medallas para #TeamEsp! Enhorabuena Eva y Joel por la #plata y el #bronce en #taekwondo! 

More medals for #TeamSpain! Congrats Eva & Joel for the #silver and the #bronze in #Taekwondo!",,status,,2016-08-19 07:34:16,13733,113,142,13158,550,17,5,0,3
64822581025_10154023748746026,"Felicidades Craviotto y Toro, campeones olímpicos! Qué grandes sois #oro #piragüismo #Rio2016

Congrats to Craviotto & Toro, olympic champions! #gold #TeamSpain #Rio2016",,status,,2016-08-18 08:47:40,16895,170,219,16114,752,18,9,2,0
64822581025_10154021052256026,"Felicidades Orlando Ortega por tu medalla de #plata en #Rio2016!

Congrats Orlando Ortega for your #silver medal in #Rio2016!",,status,,2016-08-17 08:14:46,18332,180,208,17559,741,8,22,0,2
64822581025_10154018443666026,"Enhorabuena #MarcusWalz por tu medalla de #oro! Una más para España! #Rio2016 #TeamEsp

Congrats #MarcusWalz for your #gold medal! Another one for Spain! #Rio2016 #TeamSpain",,status,,2016-08-16 10:04:38,20448,347,244,19451,959,25,11,2,0
64822581025_10154007389471026,"Enhorabuena a Maialen Chourraut por la medalla de #oro!! Otra para #TeamEsp! #Campeona 

Congrats to Maialen Chourraut for her #gold medal! Another one for #TeamEsp! #Champion",,status,,2016-08-12 06:32:48,19804,449,156,18839,917,32,14,0,2
64822581025_10154004784886026,"Felicidades de nuevo a Mireia Belmonte esta vez por el #oro! #Campeona #GrandeMireia #Rio2016 

Congrats again to Mireia Belmonte, this time for the #goldmedal! #Champion #Rio2016",,status,,2016-08-11 06:56:50,22630,343,256,21387,1207,22,13,0,1
64822581025_10153995653631026,"Felicidades Mireia Belmonte! Primera medalla para España en #Rio2016! A por muchas más!

Congrats Mireia! First medal for Spain in #Rio2016! Let's get many more!",,status,,2016-08-07 14:59:18,26922,370,296,25699,1183,12,26,1,1
64822581025_10153937958511026,"Viendo las noticias y horrorizado por lo ocurrido en Niza. Mi apoyo al pueblo francés, todas las víctimas y sus familiares.

J'apprends les nouvelles, et je suis horrifié par ce qui se passe à Nice. Soutien au peuple français, toutes les victimes et leurs familles.",,status,,2016-07-15 01:59:42,29493,388,566,24730,603,13,4,4058,85
64822581025_10153859967331026,Mañana empieza el Mallorca Open. Que disfrutéis por mi tierra! Suerte a las jugadoras y en especial bienvenida a la campeona Garbiñe Muguruza,,status,,2016-06-12 05:31:07,22467,245,192,21583,836,17,23,7,1
64822581025_10153853510601026,"Hola a todos. Quería anunciaros que tras consultar con mi médico y vistos los resultados de la pasada revisión médica, no podré participar en la próxima edición de Wimbledon. 
Como podéis imaginar es una decisión triste pero la lesión sufrida en mi muñeca en Roland Garros necesita tiempo para sanar. Tampoco podré participar en el evento previo #TheBoodles en Stoke Park donde ya participé en anteriores ocasiones. 
Gracias a todos por el apoyo, sobre todo a mis fans que siempre me envían notas de cariño.

Hi everybody. I'm sad to announce that after talking to my doctors, and receiving the results of my last medical revision, I won't be able to play at Wimbledon this year. 
As you can all imagine, it's a very tough decision, but the injury I suffered at Roland Garros needs time to heal. Unfortunately, I won't be able to join in the pre-tournament event #TheBoodles at #Stokepark that I attended in previous years. 
Thank you all for your support, especially my fans. Your kind messages mean so much to me.",,status,,2016-06-09 10:53:03,81490,10186,3107,48036,1547,581,42,31037,247
64822581025_10153851117816026,Bienvenido #saschazverev a la familia de Richard Mille ojalá tengamos muchos éxitos que compartir #ARacingMachineOnTheWrist,,status,,2016-06-08 11:37:13,6021,122,43,5795,200,19,1,6,0
