status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
116422695133244_1182448648530638,*DrumRolls* Presenting the Best Social Media Brands of the Year 2016 #BestSoMeBrands,,status,,2017-04-26 06:10:05,31,0,5,31,0,0,0,0,0
116422695133244_150213838420796,Coming up tomorrow: Social Media Case Study for #casestudyweek - Channel [v] India sabse liked college,,status,,2011-12-27 10:51:39,7,0,0,7,0,0,0,0,0
116422695133244_146497105459136,Next week we plan to share one Indian Social Media case study everyday. Do you have one? Inviting for #casestudyweek,,status,,2011-12-20 04:40:24,2,0,1,2,0,0,0,0,0
116422695133244_145956112179902,Coming up tomorrow: How Businesses can use Google+. Any ideas here?,,status,,2011-12-19 03:45:31,1,4,0,1,0,0,0,0,0
116422695133244_144516392323874,What are your thoughts on the new Facebook timeline?,,status,,2011-12-16 06:25:20,11,9,0,11,0,0,0,0,0
116422695133244_143987982376715,"Deeptaman says ""Facebook has a bright future in India."" What are your thoughts?",,status,,2011-12-15 05:12:22,0,2,0,0,0,0,0,0,0
116422695133244_143503535758493,What according to you is the best use of Social Media?,,status,,2011-12-14 06:16:21,0,0,0,0,0,0,0,0,0
116422695133244_136564503119063,Upcoming Post: Alternate Careers -- A series of articles around bloggers/tweeters who have achieved success in their chosen careers and their passion. For this month we are covering @finelychopped.,,status,,2011-12-01 03:32:06,1,0,0,1,0,0,0,0,0
116422695133244_136249026483944,Upcoming Post: 10 Myths of Social Media in India. Do you know of any? List them down here :),,status,,2011-11-30 10:47:18,0,6,0,0,0,0,0,0,0
116422695133244_136101673165346,"""A brand is no longer what we tell the consumer it is – it is what consumers tell each other it is.""- Scott Cook",,status,,2011-11-30 01:07:24,3,5,0,3,0,0,0,0,0
116422695133244_135764566532390,"What kind of articles to expect:

Indian SM case studies
Interviews
News articles
Platform reviews
Best practices 
Training posts
Social media and personal use
Usage of social media by different industry
SM guidelines 
Consumer trends
Social media industry trends/forecast
Expert opinions 
Platform trends",,status,,2011-11-29 09:55:25,0,0,0,0,0,0,0,0,0
116422695133244_135628443212669,"While the Indian Social Media industry still struggles to shape itself up, we all have a lot to learn and grow. Social Samosa hopes to become a knowledge repository talking about social media scenario in India to shore up this growth. The portal aims to be the enabler of thoughts and practices to an individual, a brand or an organization.",,status,,2011-11-29 00:47:37,0,0,0,0,0,0,0,0,0
116422695133244_135128546595992,"We've been working on some stuff offline, and hopefully we are gonna be gonna be live soon! Watch this space for further updates..",,status,,2011-11-28 01:28:39,0,0,0,0,0,0,0,0,0
116422695133244_117801871661993,Hello world!,,status,,2011-10-21 10:23:04,0,2,0,0,0,0,0,0,0
