status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10250877124_10155416254722125,OPINION: #Russia's neo-feudal capitalism - Anders Aslund http://bit.ly/2pGZ4pw,,status,,2017-04-28 19:00:14,34,2,1,32,1,0,0,1,0
10250877124_10155415801417125,#Australia's household debt a ticking time bomb http://bit.ly/2oQNG5A,,status,,2017-04-28 16:05:23,34,2,1,33,1,0,0,0,0
10250877124_10155412564307125,OPINION: Is Iran secretly developing a nuclear bomb? - Dr. Majid Rafizadeh http://bit.ly/2pr3gsM,,status,,2017-04-27 16:30:08,39,7,1,35,3,0,0,0,1
10250877124_10155412120057125,German soldier arrested on suspicion of planning attack http://bit.ly/2qcnAyB,,status,,2017-04-27 13:30:17,55,2,3,53,0,1,1,0,0
10250877124_10155411429832125,Op-Ed: #Macron has demonstrated his immense qualities as a candidate - Dominique Moisi http://bit.ly/2pmAARu,,status,,2017-04-27 09:01:12,33,2,0,32,1,0,0,0,0
10250877124_10155410885397125,"Op-Ed: The Saudi government pressing ahead with ""austerity"" measures will reassure international markets - Frank Kane http://bit.ly/2pmG6DO",,status,,2017-04-27 05:00:38,29,3,2,29,0,0,0,0,0
10250877124_10155409953772125,OPINION: The making of Macron - Dominique Moisi http://bit.ly/2pmAARu,,status,,2017-04-26 20:00:18,40,4,0,37,2,0,1,0,0
10250877124_10155409731147125,Cash handouts reveal high stakes of August polls in Kenya http://bit.ly/2q8rSHv,,status,,2017-04-26 18:30:14,30,7,0,27,3,0,0,0,0
10250877124_10155405662687125,Domestic violence cases up in 2016: Report http://bit.ly/2oHXv5D,,status,,2017-04-26 03:00:29,38,9,0,37,1,0,0,0,0
10250877124_10155404610352125,#Iraq begins expansion of oil field aiming to double output http://bit.ly/2oHFbtn,,status,,2017-04-25 19:15:06,31,4,0,30,1,0,0,0,0
10250877124_10155404493697125,#Dubai's Emirates considering radical options amid global turbulence in aviation  http://bit.ly/2oHAEY1,,status,,2017-04-25 18:15:05,35,6,0,33,1,0,0,1,0
10250877124_10155403845352125,Russian hackers 'targeted Macron campaign' http://bit.ly/2q1LR7Q,,status,,2017-04-25 14:30:20,48,11,3,42,0,0,6,0,0
10250877124_10155403366542125,#OPINION: Theresa May: An opportunistic politician or a shrewd stateswoman? - - Yossi Mekelberg http://bit.ly/2pY1ZHd,,status,,2017-04-25 11:01:28,26,4,1,25,1,0,0,0,0
10250877124_10155401854592125,Certified #Saudi rock climber wants to give sport firmer footing in #Saudi Arabia. http://bit.ly/2ptR4YU,,status,,2017-04-25 00:00:09,46,5,0,45,1,0,0,0,0
10250877124_10155397316407125,Ready to hit US carrier with 'single strike:' N. Korea - http://bit.ly/2pSTv45,,status,,2017-04-23 15:45:04,107,14,7,84,4,6,13,0,0
10250877124_10155397292587125,"Younis Khan becomes first Pakistan player to reach 10,000 Test runs",,status,,2017-04-23 15:35:35,733,35,25,648,72,12,1,0,0
10250877124_10155397118137125,Abu Sayyaf militants behead kidnapped Philippine soldier — army - http://bit.ly/2pT0IRJ,,status,,2017-04-23 14:45:06,59,6,3,52,0,0,2,1,4
