status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7382473689_10155428969003690,"Authorities in Democratic Republic of Congo arrested two suspects in connection to last month's killing of two UN investigators, but one of the prisoners escaped.",,status,,2017-04-14 13:00:48,170,14,9,157,0,3,2,5,3
7382473689_187172541294495,Happy New Year Facebook friends! A big thank you from all of us at Al Jazeera for following us these last 12 months... All eyes on 2011!,,status,,2010-12-31 15:43:14,1048,228,1,1048,0,0,0,0,0
7382473689_114632105268569,"WikiLeaks 'hacked' before release

Whistle-blower website says first batch of US files to be revealed by five media houses on Sunday despite online attack.

http://t.co/IduCvLI",,status,,2010-11-29 08:03:53,320,237,0,320,0,0,0,0,0
7382473689_104608756278708,"Your Views: Korea border conflict

South Korea returns fire after North Korea fired artillery shells at South Korean island near disputed western border. Will this escalate into a bigger conflict?",,status,,2010-11-23 03:09:01,180,310,0,180,0,0,0,0,0
7382473689_128326337215065,"Al Jazeera will be sitting down with Shah Mahmood Qureshi, Pakistan's foreign minister. What would you like to ask him?",,status,,2010-09-01 14:05:10,85,274,0,85,0,0,0,0,0
7382473689_402479163262,Al Jazeera Network Launches a New Unit for Investigative Journalism,,status,,2010-06-29 07:20:58,412,105,2,412,0,0,0,0,0
7382473689_388238773262,Al Jazeera New Media Event: Unplugged,,status,,2010-05-13 04:40:06,69,33,0,69,0,0,0,0,0
7382473689_385262193262,Al Jazeera English in Canada,,status,,2010-05-04 06:45:01,123,48,0,123,0,0,0,0,0
7382473689_115463221821333,Two of our programmes have just joined Facebook. You can follow the latest updates and interact directly with them over here: Witness: http://www.facebook.com/AJWitness Fault Lines: http://www.facebook.com/AJFaultLines,,status,,2010-05-02 07:25:41,96,32,0,96,0,0,0,0,0
7382473689_276402558591,"Bin Laden deplores climate change: In an audio tape obtained by Al Jazeera, bin Laden criticised George Bush, the former US president, for rejecting the Kyoto pact and condemned global corporations: http://english.aljazeera.net/news/middleeast/2010/01/20101277383676587.html",,status,,2010-01-29 05:27:02,17,30,0,17,0,0,0,0,0
7382473689_152930147451,We have just launched our blogs: http://blogs.aljazeera.net - head on over and let us know what you think.,,status,,2009-10-13 07:45:15,13,3,0,13,0,0,0,0,0
7382473689_150307468758,"Don't forget, you can watch all the latest videos from AJE on this fan page - just click on the ""YouTube"" tab at the top of screen...",,status,,2009-10-06 10:00:17,13,4,0,13,0,0,0,0,0
7382473689_93570449706,Watch all the latest news from Al Jazeera via http://livestation.com,,status,,2009-06-20 15:00:59,12,0,0,12,0,0,0,0,0
7382473689_24935453262,And we're off with our online coverage of the US Elections,,status,,2008-08-25 17:28:52,3,3,0,3,0,0,0,0,0
7382473689_18378868262,What would you like Al Jazeera to report on for the US elections?,,status,,2008-06-26 15:57:52,3,8,1,3,0,0,0,0,0
