status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1143803202301544_1749851848363340,"Each country may have its own unique traits, behaviours, and attitudes – but they rarely match the national stereotypes.",Different nationalities really have different personalities,link,http://www.bbc.com/future/story/20170413-different-nationalities-really-have-different-personalities?ns_mchannel=social&ns_source=masterbrand_facebook&ns_campaign=pan_bbc_290417&ns_linkname=link&ns_fee=0,2017-04-29 05:46:26,39,3,17,36,0,3,0,0,0
1143803202301544_1524969244240176,🍴 Have you been getting it wrong all this time? 🤔 How to cook pasta to perfection. 🍝,How to cook perfect pasta,video,https://www.facebook.com/bbc/videos/1524969244240176/,2017-04-28 11:01:00,62,9,19,54,5,1,2,0,0
1143803202301544_1748876678460857,"If you want to sip your pint in peace, it might be best keep the conversation PG...",A British pub chain has banned swearing,link,http://bbc.in/2q18Tvh,2017-04-28 09:00:10,72,47,18,52,2,7,9,1,1
1143803202301544_1747852845229907,"After her baby son and husband died, Rhian suffered with PTSD. This is the amazing moment she crossed the finish line of the London Marathon. #MindOverMarathon",Mind Over Marathon - Rhian crosses the finish line,video,https://www.facebook.com/bbc/videos/1747852845229907/,2017-04-27 16:00:00,899,21,78,663,163,3,0,70,0
1143803202301544_2256853151206493,Graham Short's miniature masterpieces are so tiny that he has to work between heartbeats to keep his hand steady. 😯,The 'micro artist' who carves on pin heads and razor blades,video,https://www.facebook.com/bbc/videos/2256853151206493/,2017-04-27 11:19:00,177,7,55,134,13,30,0,0,0
1143803202301544_1692193364143755,"Thanks to Selina, when refugees arrive in Glasgow, a letter from a local welcomes them to their new home. ❤️",Refuweegee - Letters Fae The Locals,video,https://www.facebook.com/bbc/videos/1692193364143755/,2017-04-27 04:15:27,153,4,37,119,30,2,1,0,1
1143803202301544_1545456362145243,"A group of orcas surfaced just inches from the shore in Shetland, surprising onlookers. An awesome sight! 😯",Killer whales surface inches from shore in Shetland,video,https://www.facebook.com/bbc/videos/1545456362145243/,2017-04-26 14:50:00,613,37,95,478,79,56,0,0,0
1143803202301544_10154720463515787,Why those suffering with mental health issues set themselves the challenge to run the London Marathon.,Mind Over Marathon,video,https://www.facebook.com/bbc/videos/10154720463515787/,2017-04-26 09:15:00,127,5,61,113,14,0,0,0,0
1143803202301544_1253548784766944,10-year-old Isabella can now play the violin - thanks to her amazing new prosthetic arm. 💚 🎻,3D printed arm helps Isabelle play the violin,video,https://www.facebook.com/bbc/videos/1253548784766944/,2017-04-26 04:44:40,96,1,30,80,11,5,0,0,0
1143803202301544_1746178468730678,"""The feathered felon, more commonly known for stealing chips, snapped up the abandoned gnashers in Torquay.""",Seagull bites off more than it can chew,link,http://bbc.in/2oGZBD0,2017-04-26 01:30:03,212,25,107,114,1,8,89,0,0
1143803202301544_1544671372223742,A penguin at Edinburgh Zoo has been made a Brigadier by the King of Norway's Guard. 🐧,King penguin Nils Olav is honoured at Edinburgh Zoo,video,https://www.facebook.com/bbc/videos/1544671372223742/,2017-04-25 16:45:19,5083,1517,2013,4202,526,24,329,0,2
1143803202301544_10154983670070659,"""There are days when I will just sit at the end of the day and cry."" What's it like to have a child with severe ADHD?",What's it like to have a child with severe ADHD?,video,https://www.facebook.com/bbc/videos/10154983670070659/,2017-04-25 14:11:12,86,18,28,46,3,5,0,32,0
1143803202301544_1745549705460221,Dr Whitson already holds records for the most spacewalks carried out by a woman astronaut and is the first woman to command the International Space Station (ISS) twice. 🙌,Astronaut Peggy Whitson breaks new space record,link,http://bbc.in/2q1nln4,2017-04-25 12:10:02,81,0,8,76,4,1,0,0,0
1143803202301544_400199170353119,This penguin received a medal from the Norwegian Royal Guard in 2001. What have you done today? #WorldPenguinDay,2001: News: Penguin gets a medal,video,https://www.facebook.com/bbc/videos/400199170353119/,2017-04-25 09:01:00,183,19,39,141,21,3,18,0,0
1143803202301544_1743785955636596,Despite some unkind words from strangers - Annabel believes she's most beautiful when she's not wearing make-up. This is her story.,My birthmark and me,link,http://www.bbc.co.uk/bbcthree/item/0bece095-b4f7-46f9-99ad-b18d150733d1?ns_mchannel=social&ns_source=masterbrand_facebook&ns_campaign=ds_bbcthree_birthmark&ns_linkname=image_link&ns_fee=1,2017-04-25 07:00:00,665,50,78,568,95,1,0,0,1
1143803202301544_10155298363109626,"Four trains, spanning four generations, have travelled side by side for the first time ever on the East Coast main line.  🚄🚆🚅🚂",,video,https://www.facebook.com/bbc/videos/10155298363109626/,2017-04-25 01:46:00,1063,85,414,936,67,60,0,0,0
1143803202301544_1339159506150133,London Marathon runners David Wyeth and Matthew Rees on the moment that summed up what the 26.2-mile race is all about.,,video,https://www.facebook.com/bbc/videos/1339159506150133/,2017-04-24 09:29:03,240,4,21,209,30,0,0,0,1
1143803202301544_10154714816050787,"""It's definitely made me a happier person""

Professor Green and Freddie Flintoff on opening up about mental health.",Heads Together,video,https://www.facebook.com/bbc/videos/10154714816050787/,2017-04-24 07:47:54,173,2,53,154,19,0,0,0,0
1143803202301544_1184843918291441,"This is Essex. 
 
This is the 80s.
 
And this... is White Gold. Coming soon to BBC Two.
 
😎👔💷",White Gold: Teaser Trailer,video,https://www.facebook.com/bbc/videos/1184843918291441/,2017-04-24 05:03:21,544,605,101,486,38,14,6,0,0
1143803202301544_10156184931974968,Ross Smith's gran is already a viral sensation. And now she's sharing her #GrannyWisdom...,"Have faith, work hard - and have a margarita",video,https://www.facebook.com/bbc/videos/10156184931974968/,2017-04-23 03:31:00,659,11,66,544,79,4,32,0,0
1143803202301544_1740217312660127,"Meet Britain's first ever female firefighter, Mary-Joy. 

She recalls the reaction when she joined in 1976...",Britain's First Female Firefighter,video,https://www.facebook.com/bbc/videos/1740217312660127/,2017-04-22 08:01:00,113,5,16,102,10,1,0,0,0
1143803202301544_1917170138540870,"The BBC Young Dancer team are taking us behind-the-scenes of tonight's grand final. Watch it on BBC Two, 8pm.",Behind the scenes at the BBC Young Dancer grand final,video,https://www.facebook.com/bbc/videos/1917170138540870/,2017-04-22 06:15:00,6,0,6,5,1,0,0,0,0
1143803202301544_1365252370234934,"Chris Packham demonstrates how different birds reach their food during the cherry blossom bloom in Japan, using nothing but paper!",Paper science!,video,https://www.facebook.com/bbc/videos/1365252370234934/,2017-04-21 14:31:00,78,3,33,71,7,0,0,0,0
1143803202301544_1685165231497608,"Could running a marathon help when it comes to mental health? 

The Duke and Duchess of Cambridge and Prince Harry are supporting runners affected by mental health issues in BBC One's 'Mind Over Marathon'. 9pm.",Mind Over Marathon,video,https://www.facebook.com/bbc/videos/1685165231497608/,2017-04-20 07:24:00,244,14,104,213,29,1,0,1,0
1143803202301544_1363621180398053,"We've got a sneak preview of a special one-off Springwatch for you! Join Chris as he gets to know the local Japanese wildlife. 

Springwatch in Japan: Cherry Blossom Time, Friday 21st April, 8.30pm, BBC Two",Chris Packham gets to know the local Japanese birds,video,https://www.facebook.com/bbc/videos/1363621180398053/,2017-04-20 02:43:42,48,2,23,44,4,0,0,0,0
1143803202301544_1334600549939362,It can bring anxiety for children and parents alike. So what's the best way to cut an autistic child's hair? Top tips from Jim the Trim. ✂️,,video,https://www.facebook.com/bbc/videos/1334600549939362/,2017-04-19 11:22:25,505,24,204,397,100,8,0,0,0
1143803202301544_1180353405407159,"When you're a kid, growing up seems like the worst thing in the world… 🙄",Growing Up: The World According to Kids,video,https://www.facebook.com/bbc/videos/1180353405407159/,2017-04-19 07:30:00,275,32,115,182,12,2,77,2,0
1143803202301544_10154962306815659,She wants to motivate every girl to play freestyle football...meet world champion Lisa Zimouche. ⚽️,Freestyle football champion,video,https://www.facebook.com/bbc/videos/10154962306815659/,2017-04-19 01:30:00,568,22,190,482,58,27,1,0,0
1143803202301544_1736399853041873,"""Just eating a little less meat right now might make things a whole lot better for our children and grandchildren.""",What would happen if the world suddenly went vegetarian?,link,http://bbc.in/2oJyQQ6,2017-04-18 13:05:00,498,50,218,447,33,7,8,1,2
1143803202301544_10155293990736108,"How climbing mountains using crutches has given this cancer survivor a chance to ""believe in herself."" 👏",,video,https://www.facebook.com/bbc/videos/10155293990736108/,2017-04-18 11:05:19,133,5,33,106,13,13,0,1,0
1143803202301544_10156177257444968,"The top 10 views in the UK, according to a public poll. What have they missed? 🌄🌊⛰️",The UK's top 10 views,video,https://www.facebook.com/bbc/videos/10156177257444968/,2017-04-18 09:01:00,172,31,98,152,14,6,0,0,0
1143803202301544_1736124633069395,"'Minds Matter', the BBC's season on mental health across TV, radio and online. 📺📻📱 bbc.in/2pddZb0",BBC's cover photo,photo,https://www.facebook.com/bbc/photos/a.1151155808232950.1073741827.1143803202301544/1736124579736067/?type=3,2017-04-18 07:33:13,17,3,9,16,1,0,0,0,0
1143803202301544_1552865961399191,"In 2014 Mo Gawdat's son died unexpectedly. Motivated by the loss, he went searching for the formula for happiness.",Google man finds formula for happiness,video,https://www.facebook.com/bbc/videos/1552865961399191/,2017-04-18 06:30:00,68,1,26,61,7,0,0,0,0
1143803202301544_1735682123113646,Can you identify the superheroes of music from a look at their mild-mannered alter-egos? Take this quiz.,Can you name these unmasked musicians?,link,http://bbc.in/2oGor9h,2017-04-18 01:30:02,15,11,12,15,0,0,0,0,0
1143803202301544_10154945706325659,She was turned away from all but one of Egypt's dental schools. That didn't stop her from becoming the country's first deaf dentist...,Egypt's first deaf dentist,video,https://www.facebook.com/bbc/videos/10154945706325659/,2017-04-17 09:04:00,423,15,274,361,55,7,0,0,0
1143803202301544_10156157829369968,This diver got a bit of a shock when a MASSIVE whale shark swam by. 😱,"Whale Shark spotted off West Palm Beach, Florida",video,https://www.facebook.com/bbc/videos/10156157829369968/,2017-04-16 09:06:00,346,21,60,263,29,53,1,0,0
1143803202301544_1728422160506309,"Elephants form deep family bonds. But are they scared of mice, and is it true that they never forget?",,video,https://www.facebook.com/bbc/videos/1728422160506309/,2017-04-16 02:30:00,2250,127,344,1741,485,22,1,0,1
1143803202301544_1325889144161962,"""It's about time, isn't it?""

#DoctorWho is about to be joined by his first openly gay companion. A brand-new series starts tonight on BBC One at 7.20pm.",Doctor Who,video,https://www.facebook.com/bbc/videos/1325889144161962/,2017-04-15 09:32:00,86,14,41,77,8,0,0,1,0
