status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
239931389545417_622823191256233,"TalkTalk is facing a barrage of criticism over its handling of a wi-fi password security breach.
http://www.bbc.co.uk/news/technology-38223805",,status,,2016-12-07 11:18:59,23,9,4,23,0,0,0,0,0
239931389545417_527511557454064,"Michelle Fleury will be streaming shortly from Tech Crunch Disrupt in NY. 

We'll be hearing from several interesting (and very different!) start-ups hoping to impress - and talking to Laurel Touby from Flatiron investors.

Check back here soon!",,status,,2016-05-09 13:13:11,11,2,0,10,0,1,0,0,0
239931389545417_413687155503172,"""What Apple was showing [with News app] was something we shipped five years ago."" - Mike McCue of Flipboard tells us in our latest show. Click to listen http://www.bbc.co.uk/programmes/p02tl1nd",,status,,2015-06-13 02:17:24,1,0,0,1,0,0,0,0,0
239931389545417_409612962577258,Would you stay in a place like this? http://www.bbc.co.uk/news/business-32931923,,status,,2015-06-02 06:00:49,0,0,0,0,0,0,0,0,0
239931389545417_402349659970255,"Don't miss our latest episode in which we covered marketing via wearable devices, security and privacy with Bruce Schneier, and lots more. http://www.bbc.co.uk/programmes/p02qx0dl",,status,,2015-05-16 05:29:26,0,0,0,0,0,0,0,0,0
239931389545417_401836370021584,"Yay, it's Tech Tent day again! Join us at 1500GMT on BBC World Service when we'll be talking marketing via wearables with Dr Chris Brauer from Goldsmiths, University of London, privacy with Bruce Schneier, and Facebook instants with Emily Bell from Tow Centre for Digital Journalism.",,status,,2015-05-15 02:00:37,1,0,1,1,0,0,0,0,0
239931389545417_397285177143370,This week we're also looking out for tonight's Tesla battery announcement and talking to a telecoms engineer setting up an emergency network in Nepal,,status,,2015-04-30 09:29:19,1,1,0,1,0,0,0,0,0
239931389545417_397219507149937,"We're running a little experiment on this week's programme - comparing Facebook ads with Twitter ads (Twitter has had some very disappointing ads this week.) We've bought $10 (ye, big spenders) worth of Facebook ads encouraging people to like our Tech Tent page, and spent roughly the same on a promoted Tweet asking people to follow our @BBCTechTent account. Let us know if you happen to see either ad!",,status,,2015-04-30 08:26:34,0,0,1,0,0,0,0,0,0
239931389545417_391957841009437,"On this week's show we will do a Google search (very high tech), we will explain Moore's Law with the help of a swimming pool and we will try to spend some Bitcoin  in the Isle of Man. Tune in at 1600 BST",,status,,2015-04-17 08:02:13,1,0,1,1,0,0,0,0,0
239931389545417_387003638171524,"In our new podcast we've got talk of music, video, virtual reality, cats (yes you read that correctly). Get it now. http://t.co/pKVlgPjYeQ",,status,,2015-04-06 04:31:23,0,0,1,0,0,0,0,0,0
239931389545417_383634418508446,"Apologies for failing to keep this page updated - but we will now aim to do better. To start with here's a glimpse of this week's programme as seen via the live streaming Periscope app. We were live from the Centre for Computing History in Cambridge.

https://www.youtube.com/watch?v=34M-MEenzl8",,status,,2015-03-28 09:19:21,0,0,0,0,0,0,0,0,0
239931389545417_242344602637429,http://www.bbc.co.uk/programmes/p01plr2p A week through Glass - includes rare footage from inside the Tech Tent,,status,,2014-04-14 02:26:45,2,0,1,2,0,0,0,0,0
239931389545417_241387896066433,"On this week's show - Heartbleed, the scariest event to hit the web for years, a look at the new Samsung Galaxy S5, and how tech is helping Rwanda rebuild. Catch us at 1500 BST on BBC World Service",,status,,2014-04-11 04:43:31,2,0,1,2,0,0,0,0,0
239931389545417_239945016210721,Welcome to Tech Tent's new Facebook page. We'll use this to tell you more about the programme and to try to find out what interests you each week about the world of technology and business. Please stay in touch!,,status,,2014-04-06 07:46:24,2,0,1,2,0,0,0,0,0
