status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
124955570892789_1397704833617850,"We have a rigged economy designed to benefit the wealthiest Americans and large corporations. Donald Trump's new tax plan would only make that system worse. He would slash taxes for himself and his billionaire friends while doing nothing to help rebuild the collapsing middle class. Rather than making corporations — many of which pay nothing in federal income tax — finally contribute their fair share, Trump wants to give a huge tax break to his own businesses.

Enough is enough. The American people are sick and tired of giveaways to the top 1 percent, multi-national corporations. We need to invest in the middle class of this country and make sure the wealthy and large corporations start paying their fair share.","Trump Tax Plan Would Slash Corporate Tax Rates, Offer Breaks On Overseas Profits",link,http://www.huffingtonpost.com/entry/trump-tax-plan-preview_us_590044f7e4b081a5c0f8cf55,2017-04-27 18:00:00,2794,224,856,1389,21,37,11,112,1224
124955570892789_1397713450283655,"There is something profoundly wrong when we have a president, and we have Republican congressional leaders, who are working overtime for tax breaks for billionaires, but they have nothing to say about raising the minimum wage. I will soon be introducing legislation to do just that.",Democrats are now all on board with a $15 minimum wage,link,https://thinkprogress.org/democrats-15-minimum-wage-bill-f7631a21ec24,2017-04-27 14:00:00,11690,638,1133,10578,909,32,76,26,69
124955570892789_1396795333708800,"Congratulations to President Trump! He has set a new record—having the lowest approval rating of any president after the first three months in office. This tells us something very important. Americans clearly aren't on board with his disastrous agenda: xenophobic immigration policies, throwing millions off health care, putting corporate profits over the safety of our environment, and many more horrible decisions. What we need to do is push a progressive agenda that brings people together and says, we can have health care for all people as a right. We can raise the minimum wage to $15 an hour. Climate change is not a hoax. The American people are on our side and this is how we can win.",2 major new polls show Trump will conclude his first 100 days as the least popular president in modern history,link,http://www.businessinsider.com/trump-low-approval-rating-first-100-days-2017-4,2017-04-27 09:00:00,32424,1296,5033,26785,1483,198,3671,122,165
124955570892789_1396795743708759,"This is exactly what we mean when we talk about oligarchy. Multi billionaires and corporations should not have the power to pick and choose who is in charge of our federal agencies. But that is exactly what happened—Koch Industries spent millions on lobbying Congress to confirm Scott Pruitt, our head of the Environmental Protection Agency who doesn't believe in environmental protection. It's clear that Trump doesn't represent working families. His agenda benefits the Koch brothers and their billionaire frieds. Our job is to stand together to defeat the drift toward oligarchy and create a vibrant democracy—not one controlled by corporate interests.","Koch Industries and Other Corporations Lobbied for Donald Trump's Cabinet Picks, Filings Show",link,https://theintercept.com/2017/04/25/koch-industries-and-other-corporations-lobbied-for-donald-trumps-cabinet-picks-filings-show/,2017-04-26 19:00:00,9991,353,3588,5293,50,117,24,530,3977
124955570892789_1396801803708153,Our country is strong when unions are strong. The past few decades have seen the power of unions and workers' rights as a whole drastically decline - this is unacceptable. We must fight for the working men and women of this country to have their voices heard loud and clear.,"In the Age of Trump, Can Labor Unite?",link,http://inthesetimes.com/features/trump_labor_union_organizing.html,2017-04-26 16:06:00,4223,202,588,3934,237,9,23,12,8
124955570892789_1395958290459171,"Big surprise. Trump lied. During the campaign, Mr. Trump promised people that there would be ""consequences"" for companies who move jobs out of the country and throw Americans out on the streets. But for Carrier Corp., the ""consequences"" of closing a plant in Huntington, Indiana, and cutting 600 jobs at another in Indiana was a $7 million tax break. Mr. Trump—this isn't just playing politics. This isn't just talk. These are real families and real lives on the line. Stop protecting corporations' profits at the expense of Americans who are counting on you.",Trump Saved Carrier Jobs. These Workers Weren't as Lucky.,link,https://www.nytimes.com/2017/04/23/business/economy/indiana-united-technology-factory-layoffs.html?_r=0,2017-04-26 12:00:00,3928,187,1005,2446,24,68,34,306,1050
124955570892789_1395958043792529,"Broadband access is a necessity, not a luxury. Period.

Since taking over the FCC, President Trump's Chairman, Ajit Pai, has been waging war on internet access and consumer protections on the behalf of large corporations like Comcast, Verizon, and AT&T.
Last week, Mr. Pai took action to remove price caps that are meant to protect schools, hospitals, libraries, and small businesses from being price gouged by large corporations that provide internet services.

Mr. Pai says that price caps to protect schools, hospitals, libraries, and small businesses aren't necessary in ""areas with sufficient competition.""

The problem with that is 97 percent of the schools, hospitals, libraries, and small businesses he thinks don't need price protections are only served by one or two providers. 73 percent are only served by one provider.

What this lack of choice means is that this increasingly concentrated industry is able to raise prices to whatever they want and we as consumers are left with the option of paying their exorbitant prices or going without internet. And do we as consumers get better services in return? No.

Since its inception, the Internet has been a tool of democracy. It has allowed the dissemination of ideas, and enabled entrepreneurs to build companies.

The action Mr. Pai took is simply unacceptable. We must do everything we can to prevent the Internet from being auctioned off to the highest corporate bidder and keep the Internet a space for the open exchange of ideas and information, free of discrimination.",Trump's FCC Votes to Allow Broadband Rate Hikes for Schools and Libraries,link,https://motherboard.vice.com/en_us/article/trumps-fcc-to-vote-to-allow-broadband-rate-hikes-for-schools-and-libraries?utm_source=mbtwitter,2017-04-26 09:10:38,6418,442,2459,2055,24,127,23,362,3827
124955570892789_1395925530462447,"I was pleased to speak at the People's Action RiseUp conference yesterday. Watch the full rally here.

We must stand together in the fight for economic, social, racial and environmental justice. Mr. Trump, you will not divide us up.",People's Action,video,https://www.facebook.com/pplsaction/videos/10154582851358123/,2017-04-25 17:26:07,1968,82,0,1733,220,6,8,0,1
124955570892789_1395926340462366,"America is the wealthiest country in the history of the world. And yet today, millions of our seniors are going hungry and millions of children are in poverty. 28 million people don't have health insurance. To be a poor person means to have a shorter life expectancy. The reality is that in America today poverty is a death sentence. According to a new report, the poorest men in America live about 13 years fewer than the wealthiest men. Meanwhile, the Republicans in Congress and President Trump want to make a bad situation even worse by slashing Medicaid and other programs that benefit the most vulnerable people in this country while providing massive tax breaks to the wealthiest people in this country. Loudly and clearly we must stand together against this extreme right wing agenda and fight for a government that represents all Americans, not just the top one percent.",The Rich Are Living Longer and Taking More From Taxpayers,link,https://www.bloomberg.com/news/articles/2017-04-24/the-rich-are-living-longer-and-taking-more-from-taxpayers,2017-04-25 13:09:36,6113,354,2141,3495,38,62,9,746,1763
124955570892789_1394844597237207,"Over and over again, candidate Trump told the American people that he was a different kind of Republican. He claimed to be a champion of the working people. He said that he was going to stop Wall Street from getting away with murder. He said he was going to re-instate the Glass Steagall Act to prevent Wall Street banks from gambling with the bank deposits of the American people.

Unfortunately, Trump was not telling the truth. You're not standing up for working families by signing an executive order to deregulate the same financial institutions that nearly destroyed the economy nine years ago. You're not on the side of working people by signing an executive order that will make it easier for the most profitable corporations in America to avoid paying their fair share of taxes.

Trump's priorities are exactly the opposite of where we should be heading as a nation. Real tax reform means ending tax loopholes that allow corporations to avoid over $100 billion in taxes every year by stashing their cash in offshore tax havens like the Cayman Islands. Real Wall Street reform means breaking up the largest financial institutions in this country.",Trump's latest executive orders are the nail in the coffin of his economic populism,link,http://www.vox.com/policy-and-politics/2017/4/21/15386602/trump-executive-order-finance,2017-04-25 09:00:00,6141,331,1939,3772,28,74,50,329,1888
