status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
95475020353_10159031033535354,"Leftist Wikipedia says they are getting involved in fighting ""fake news"" because of comments by Trump adviser Kellyanne Conway.",Wikipedia Co-Founder Launching 'Wikitribune' to Fight 'Fake News',link,http://trib.al/OCRVZQc,2017-04-29 20:26:59,765,186,82,349,10,14,282,5,105
95475020353_10159030324695354,"Former Breitbart Senior Editor MILO has announced the founding of his new $12 million dollar media company, MILO, Inc.",MILO Announces New Media Venture,link,http://trib.al/kQuJVjM,2017-04-29 17:15:50,9850,482,585,8563,1073,136,64,3,12
95475020353_10159029760945354,"One would think that Female Genital Mutilation would be at the top of feminists' list of priorities. 

But their obedience to political correctness prevents them from confronting the awful issue...",Feminist Alice Walker: Muslim Scholars Have 'Ignored the Problem of Female Genital Mutilation',link,http://trib.al/XM0L9ut,2017-04-29 14:47:01,3755,426,1521,1764,6,85,18,561,1321
95475020353_10159029203375354,"President Trump said: ""There is a chance that we could end up having a major, major conflict with North Korea. Absolutely.""","Trump Warns of Potential 'Major, Major Conflict with North Korea'",link,http://trib.al/mk8fAjx,2017-04-29 13:07:30,1028,360,105,813,47,60,12,24,72
95475020353_10159028601055354,"""These socks represent all the women betrayed by the abortion industry and their preborn babies who will never be able to wear the baby socks because of Planned Parenthood.""",Pro-Life Millennials Deliver Baby Socks to Congress to Urge Defunding Planned Parenthood,link,http://trib.al/xp1xS5h,2017-04-29 10:36:59,3315,164,374,2771,279,17,15,227,6
95475020353_10159028224220354,WASHINGTON – Senators received a rare briefing at the White House from President Trump's national security team on North Korea's nuclear weapons program.,"Senators: White House Briefing on North Korea 'Sobering,' 'Important' - Breitbart",link,http://trib.al/Vq0Cxdn,2017-04-29 09:05:25,871,135,101,779,19,56,8,4,5
95475020353_10159027894785354,"Making his bid to be the 45th President of the United States, Donald Trump promised to ""Make America Great Again."" Has he delivered?",Making America Great Again: Donald Trump's 100 Days' Success,link,http://trib.al/FPKmzZV,2017-04-29 07:36:48,5458,1008,252,4716,684,5,43,5,5
95475020353_10159026740630354,"The influential celebrities played up the Fyre Festival on Instagram, before it collapsed spectacularly on Friday.","Models Kendall Jenner, Bella Hadid Under Fire for Promoting 'Scam' Luxury Music Festival",link,http://trib.al/sZ9uGmO,2017-04-28 23:57:19,2769,418,241,881,14,137,1684,13,40
95475020353_10159025995625354,"""It's stressful. It's a huge responsibility,"" one respondent says about earning more than her mate.",Survey: American Women Are 'Ashamed' of Earning More than Their Boyfriends and Husbands,link,http://trib.al/qg3f83T,2017-04-28 20:41:49,706,440,121,324,7,66,287,10,12
95475020353_10159025839750354,Anyone who didn't know Obama was a massive crony capitalist simply wasn't paying attention.,Sanders: Obama's Wall Street Speech 'Unfortunate',link,http://trib.al/1Kj9XyB,2017-04-28 19:55:14,3556,671,784,2216,16,93,1154,14,63
