status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10156491390526509,"More than 1,600 cases of the disease have been reported in 2017, across 19 of the Italy's 21 regions",Measles outbreak surging in Italy,link,http://cnn.it/2oVEgHS,2017-04-21 03:00:01,184,31,64,120,0,29,1,29,5
5550296508_10156491300956509,Winter... is not here yet.,New Game of Thrones photo shows Cersei sitting pretty on the Iron Throne,link,http://cnn.it/2pK4Eav,2017-04-21 02:30:00,528,40,32,479,26,17,5,0,2
5550296508_10156491224646509,"See that tiny dot between Saturn's rings? That's Earth, as captured by the Cassini mission on April 12 http://cnn.it/2oWrjgL",Timeline Photos,photo,https://www.facebook.com/cnn/photos/a.369810096508.159795.5550296508/10156491224646509/?type=3,2017-04-21 02:00:02,1812,79,356,1297,162,344,8,1,0
5550296508_10156491137061509,"On Wednesday, the resolution was held up by Russia. It later denied it had blocked the action, saying it wanted to add some language to the document.",UN Security Council condemns North Korean missile launch,link,http://cnn.it/2oX89Y4,2017-04-21 01:30:01,970,69,188,893,22,11,39,1,4
5550296508_10156491077346509,The researchers say they haven't seen this with sugary drinks.,"Diet sodas may be tied to stroke, dementia risk",link,http://cnn.it/2pJCagL,2017-04-21 01:00:00,1612,390,1643,1084,10,412,24,64,18
5550296508_10156490982711509,"They were released in hopes of a new approach to control the disease-carrying female Aedes aegypti mosquito, which transmits Zika virus, Dengue fever and Chikungunya",Florida releases experimental mosquitoes,link,http://cnn.it/2oW1SvN,2017-04-21 00:30:01,710,154,385,514,16,124,12,1,44
5550296508_10156490881021509,"The six-piece mariachi band joined the Chamber of Commerce so they could get in, and get a lawmaker's attention.",Mariachi band crashes Senator's private luncheon,link,http://cnn.it/2oWmIet,2017-04-21 00:00:01,2546,79,262,1717,263,13,548,0,6
5550296508_10156490811906509,"""We may not ever be able to count on this administration to lead on LGBT issues."" In a speech in New York, Hillary Clinton warns President Donald J. Trump could roll back progress on LGBT rights. http://cnn.it/2oWL2x1",Hillary Clinton blasts Trump on LGBT rights,video,https://www.facebook.com/cnn/videos/10156490811906509/,2017-04-20 23:30:57,3334,971,494,2411,563,22,227,44,67
5550296508_10156490728866509,"The amount equals what Pepsi, Verizon and Walmart donated combined, Federal Election Commission records show.",Crisis-ridden Venezuela gave $500K to Trump inauguration,link,http://cnn.it/2pJu5sI,2017-04-20 23:00:01,2196,247,543,677,27,551,82,43,818
5550296508_10156490665221509,"The seas are rising, the coast is changing. But they won't blame climate change.","As the seas around him rise, this fisherman denies climate change",link,http://cnn.it/2oWnSH6,2017-04-20 22:30:00,1312,529,132,552,13,82,384,175,107
5550296508_10156490591201509,The aircraft carrier's no-show has caused some South Koreans to question US President Donald J. Trump's leadership and strategy.,"Mockery, anger in South Korea over USS Carl Vinson 'bluffing'",link,http://cnn.it/2pJlxSt,2017-04-20 22:00:01,3206,607,954,2066,25,260,684,49,123
5550296508_10156490517481509,"This GOP candidate is blasting her fellow Republicans for ""starting a war on our history.""",House hopeful hits SC opponents over stance on Confederate flag removal,link,http://cnn.it/2pJKTj3,2017-04-20 21:33:17,591,321,77,371,19,23,61,11,106
5550296508_10156490423901509,"The US sees evidence that the Chinese military is preparing to respond to a potential situation in North Korea, a US defense official says.","China has put bombers on 'high alert,' US defense official says",link,http://cnn.it/2pJraQE,2017-04-20 21:00:01,9171,715,4423,7283,180,1296,163,139,114
5550296508_10156490336901509,"Weed traps, not speed traps...",Police join the fun on 420 Day -- but not like that,link,http://cnn.it/2oWfsiO,2017-04-20 20:30:00,1249,94,149,771,32,8,428,2,8
