status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
11784025953_10154571002495954,Heigh-ho! Heigh-ho! It's off to the Walt Disney Company headquarters you go in this episode of the Oh My Disney Show. Watch here: di.sn/600185TRU,Episode 5 | The Oh My Disney Show,video,https://www.facebook.com/Disney/videos/10154571002495954/,2017-04-28 21:01:17,811,12,17,754,49,7,1,0,0
11784025953_798548413634788,This serenade surprise is a dream come true! 💍✨ See Pentatonix's performance at Disneyland as part of Freeform's Disney's Fairy Tale Weddings TV Show.,Pentatonix at Disneyland Resort | Disney's Fairy Tale Weddings...,video,https://www.facebook.com/Disney/videos/798548413634788/,2017-04-28 13:00:00,10993,974,2136,8004,2459,512,10,5,3
11784025953_10154569516410954,"Hang out with Tao Tao in Disneynature's Born in China, now playing. 🐒

(🎨: Disney on Instagram)",Born In China | Tao Tao | Disneynature,video,https://www.facebook.com/Disney/videos/10154569516410954/,2017-04-28 09:00:41,951,8,27,887,53,0,11,0,0
11784025953_10154568345580954,You'll be floored by Oh My Disney's take on the new Guardians of the Galaxy – Mission: BREAKOUT! ride at Disney California Adventure. 😱,9 Things to Experience on Guardians of the Galaxy - Mission: BREAKOUT! at Disney California Adventure,link,http://di.sn/618885yfg,2017-04-27 21:00:04,2466,228,260,2047,131,33,0,42,213
11784025953_798059487017014,A challenge worth fighting for! Watch Stuck in the Middle's Kayla Maisonet compete in this Mulan feat on the Oh My Disney Show.,Mulan Challenge with Kayla Maisonet | The Oh My Disney Show,video,https://www.facebook.com/Disney/videos/798059487017014/,2017-04-27 20:00:00,686,17,21,639,37,6,4,0,0
11784025953_10154567729555954,The sky's the limit on fun with these Mickey Mouse and Minnie Mouse bubble wands from Disney Family.,DIY Mickey and Minnie Bubble Wands | Disney Family,video,https://www.facebook.com/Disney/videos/10154567729555954/,2017-04-27 17:00:00,2234,187,830,2051,162,19,2,0,0
11784025953_1895846877304102,Be the Belle of the ball with inspiration from Disney Style's picks for prom! 🌹💛,Disney Style's Prom Lookbook 2017,video,https://www.facebook.com/Disney/videos/1895846877304102/,2017-04-27 15:00:00,6676,293,603,5777,816,75,6,1,1
11784025953_798038413685788,"A myth in the making! 🌩️ #TBT to this side-by-side of ""Zero to Hero"" from Hercules.","Hercules ""Zero to Hero"" Side by Side",video,https://www.facebook.com/Disney/videos/798038413685788/,2017-04-27 12:25:20,20203,1453,4618,15569,4020,506,107,1,0
11784025953_10154565729915954,"Magic from memories. ✨ See the full version of Céline Dion's music video for ""How Does A Moment Last Forever"" from live-action Beauty and the Beast here: di.sn/60098eLtF (🎥: Walt Disney Records)","""How Does A Moment Last Forever"" Clip | Beauty and the Beast",video,https://www.facebook.com/Disney/videos/10154565729915954/,2017-04-26 20:03:23,5262,40,310,4415,814,23,5,3,2
11784025953_10154565171165954,To infinite fandom... and beyond! See what's happening at this summer's Disney D23 Expo.,D23 Expo: The Ultimate Disney Fan Event,link,http://di.sn/61868e7Dg,2017-04-26 15:00:04,1114,43,67,1022,80,2,8,2,0
