status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
21540067693_10154447601802694,IPL - Indian Premier League 2017 | Track this space for Live Updates as Kings XI Punjab take on Delhi Daredevils,KXIP vs DD Live Score | IPL 2017: Kings XI Punjab and Delhi Daredevils battle it out in a desperate bid to stay afloat,link,http://economictimes.indiatimes.com/ipl-live-score-kings-xi-punjab-vs-delhi-daredevils-match/liveblog/58444558.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-30 05:59:13,17,0,0,17,0,0,0,0,0
21540067693_10154447276267694,It remains to be seen whether Singh will be assigned charges of a fresh set of states,,video,https://www.facebook.com/EconomicTimes/videos/10154447276267694/,2017-04-30 04:00:00,65,6,5,45,2,0,18,0,0
21540067693_10154447240447694,"The electoral body is planning to throw an open challenge, asking anyone to try hacking its EVMs",Election Commission of India to soon call all party meeting on EVM issue: Nasim Zaidi,link,http://economictimes.indiatimes.com/news/politics-and-nation/election-commission-of-india-to-soon-call-all-party-meeting-on-evm-issue-nasim-zaidi/articleshow/58432877.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-30 03:30:00,304,15,7,287,4,1,11,1,0
21540067693_10154447043227694,The administration is banking heavily on the construction of new roads to dominate areas currently under Naxal influence,Sukma ambush: Improving connectivity is the only way to reach out to naxal affected villagers,link,http://economictimes.indiatimes.com/news/politics-and-nation/sukma-ambush-improving-connectivity-is-the-only-way-to-reach-out-to-naxal-affected-villagers/articleshow/58436429.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-30 00:00:00,167,1,5,167,0,0,0,0,0
21540067693_10154447514642694,"What makes India gloomy, Samsung vs Chinese in smartphone war, Lalu's game plan for 2019 & more in the ET Morning Brief",Morning Brief | The Economic Times,link,http://economictimes.indiatimes.com/morning-brief?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-30 05:00:17,18,0,0,17,1,0,0,0,0
21540067693_10154446033422694,#SocialMedia gag in #Kashmir may limit inflammatory material from going viral but it cant put a lid on discontent,Behind the information curtain: Kashmir has learnt to work around social media bans,link,http://economictimes.indiatimes.com/news/politics-and-nation/behind-the-info-curtain-kashmir-has-learnt-to-work-around-social-media-bans/articleshow/58438207.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-29 21:30:00,31,4,1,31,0,0,0,0,0
21540067693_10154446031072694,#AizawlFC will need a draw against Shillong Lajong to cap off India's greatest sporting story in recent times,Indian football: Can Aizwal FC change the game's fortunes in the north east?,link,http://economictimes.indiatimes.com/news/sports/aizwal-fcs-success-is-down-to-a-robust-football-setup-in-mizoram/articleshow/58438211.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-29 21:00:00,74,0,3,70,4,0,0,0,0
21540067693_10154446028242694,"Hours after #Pakistan PMO's directive, the ISPR said the Army had rejected the notification, calling it 'incomplete'","Nawaz Sharif's decision to sack aide Tariq Fatemi is 'incomplete' action, says Army",link,http://economictimes.indiatimes.com/news/defence/nawaz-sharifs-decision-to-sack-aide-tariq-fatemi-is-incomplete-action-says-army/articleshow/58434257.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-29 20:30:00,93,3,4,73,1,0,19,0,0
21540067693_10154444885202694,"If China is the 'manufacturing factory' of the world, India can become the human resource capital: M Venkaiah Naidu",Venkaiah Naidu urges NGOs to back govt push on youth skill development,link,http://economictimes.indiatimes.com/news/politics-and-nation/venkaiah-naidu-urges-ngos-to-back-govt-push-on-youth-skill-development/articleshow/58431701.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-29 13:30:00,543,20,26,509,14,6,14,0,0
21540067693_10154444904132694,"Swami Prasad Maurya said he has fulfilled his pledge of bringing the politics of Mayawati to an ""end in the state"".",Mayawati's politics has ended in UP: Swami Prasad Maurya,link,http://economictimes.indiatimes.com/news/politics-and-nation/mayawatis-politics-has-ended-in-up-swami-prasad-maurya/articleshow/58432400.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=ETFBMain,2017-04-29 13:15:00,300,2,2,282,12,0,6,0,0
