status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
35585623895_10155328910608896,"From personal finance to personal hygiene, these brands will help you keep up the good feminist fight.",12 Female Founders Who Will Restore Your Faith in Feminism,link,https://www.entrepreneur.com/article/293295,2017-04-29 08:01:22,34,2,5,34,0,0,0,0,0
35585623895_10155328650803896,"Regardless of how you intend to make use of livestreaming, the important thing is to ensure you know when your target audience.",How to Ride the Livestreaming Wave to Marketing Success,link,https://www.entrepreneur.com/article/293259,2017-04-29 06:01:10,49,2,11,46,3,0,0,0,0
35585623895_10155328475423896,We all feel stuck from time to time. Here's why you might not be making progress toward your goals.,5 Reasons Why You Won't Reach Your Fitness or Business Goals,link,https://www.entrepreneur.com/article/280838,2017-04-29 04:00:27,183,2,117,177,3,2,0,1,0
35585623895_10155328349528896,Content marketing is a powerful way to grow your business -- as long as you understand the fundamentals.,9 Things About Content Marketing You Can't Get Wrong and Succeed,link,https://www.entrepreneur.com/article/280862,2017-04-29 03:00:26,299,5,230,293,6,0,0,0,0
35585623895_10155327602298896,"Propelify has partnered with Samsung Next and others to seek the most innovative startup idea in the Northeast. If you're interested, be sure to apply by May 1st.",Samsung Next Startup Competition Seeks the Northeast's Most Innovative Companies,link,https://www.entrepreneur.com/article/293471,2017-04-28 21:30:00,22,1,1,22,0,0,0,0,0
35585623895_10155327591668896,Propelify has partnered with Samsung Next and others to seek the most innovative startup idea in the Northeast. Apply by May 1st.,Samsung Next Startup Competition Seeks the Northeast's Most Innovative Companies,link,https://www.entrepreneur.com/article/293471,2017-04-28 21:30:00,7,0,2,6,0,1,0,0,0
35585623895_10155327736028896,"Ankur Jain, the founder of the Kairos Society, reflects on how opportunity has evolved and what entrepreneurs must understand now.","For Real Impact, Entrepreneurs Must Do More Than Solve Big Problems",link,https://www.entrepreneur.com/article/293572,2017-04-28 21:00:19,79,2,46,79,0,0,0,0,0
35585623895_10155327381013896,Use this remarkable tool to realign your marketing campaign with what will give you the best results.,The Ins and Outs of SWOT Analysis for Marketing Growth,link,https://www.entrepreneur.com/article/293196,2017-04-28 19:00:38,279,7,160,277,2,0,0,0,0
35585623895_10155324059048896,"""In an increasingly erratic business landscape finding growth solutions fast is crucial for survival. Hacking Growth provides a compelling answer to this urgent need for speed, offering companies a methodology for finding and optimizing new strategies to increase their market share and quickly."" —Eric Ries, bestselling author of The Lean Startup",What's the secret to driving breakout growth?,link,https://ad.doubleclick.net/ddm/clk/321069560;150391086;a,2017-04-28 19:00:00,31,1,10,29,2,0,0,0,0
35585623895_10155327269353896,World-renowned tattoo artist Jeff gogue art recounts how difficult it was to come to the realization that one person cannot do everything. (with Business and Burgers and Off the Map Tattoo),How to Conquer Your Biggest Fears,link,https://www.entrepreneur.com/video/292091,2017-04-28 18:00:31,15,0,8,15,0,0,0,0,0
35585623895_10155327211023896,"These new revelations follow the arrest of Evaldas Rimasauskas, who is charged with orchestrating the scam.",Facebook and Google Identified as Victims of $100 Million Email Scam,link,https://www.entrepreneur.com/article/293567,2017-04-28 17:30:16,59,2,29,47,1,5,5,0,1
35585623895_10155327016353896,"Many people, businesses and government agencies have had to pay big costs due to the fake news epidemic.",Why Entrepreneurs Need to Avoid Fake News,link,https://www.entrepreneur.com/article/293331,2017-04-28 16:00:32,53,6,11,50,2,0,1,0,0
