status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1683288981905541_1945735928994177,"The planet was left in the safe hands of a warrior. Meanwhile, a rocket took off to explore a new world. #GoogleTrends #Bahubali2 #ISRO #JontyRhodes",,video,https://www.facebook.com/GoogleIndia/videos/1945735928994177/,2017-04-29 03:12:26,506,5,39,457,3,14,31,1,0
1683288981905541_1945696898998080,"So, you think you can't dance? Get grooving with the help of dance tutorials on YouTube this #WorldDanceDay.",,video,https://www.facebook.com/GoogleIndia/videos/1945696898998080/,2017-04-29 00:13:34,220,8,5,214,2,1,2,0,1
1683288981905541_1945149232386180,"A playlist so good, you'll be counting stars. Make #GooglePlayMusic your personal DJ and only listen to the music you love.",,video,https://www.facebook.com/GoogleIndia/videos/1945149232386180/,2017-04-28 02:51:08,377,3,5,369,4,3,0,0,1
1683288981905541_1944712915763145,"Dots and dashes, who ever knew they'd say so much. Remembering #SamuelMorse, inventor of the #MorseCode, on his 226th birth anniversary.",Timeline Photos,photo,https://www.facebook.com/GoogleIndia/photos/a.1784631135104658.1073741828.1683288981905541/1944712915763145/?type=3,2017-04-27 01:23:22,700,13,18,672,18,1,7,0,2
1683288981905541_1944184725815964,"From days of yore until today, love for #WilliamShakespeare hath only grown stronger ov'r 400 years. Google Arts & Culture goo.gl/8pjk1T",,video,https://www.facebook.com/GoogleIndia/videos/1944184725815964/,2017-04-26 03:19:37,378,9,5,367,11,0,0,0,0
1683288981905541_1944124892488614,"Taking the plunge. Today, #Cassini begins the final stage of its 13 year-long mission by diving between Saturn & its rings. #GoogleDoodle",,video,https://www.facebook.com/GoogleIndia/videos/1944124892488614/,2017-04-25 23:12:04,680,7,20,632,23,4,19,2,0
1683288981905541_1943745929193177,"A leap in translation accuracy: Google Translate, now with Neural Machine Translation for 9 Indian languages - goo.gl/XKuRqv",Timeline Photos,photo,https://www.facebook.com/GoogleIndia/photos/a.1784631135104658.1073741828.1683288981905541/1943745929193177/?type=3,2017-04-25 02:38:57,864,25,58,813,23,24,3,1,0
1683288981905541_1943726142528489,"With the rapid scale of internet adoption across the country, take a look at the present and future of Indian language users.",Timeline Photos,photo,https://www.facebook.com/GoogleIndia/photos/a.1784631135104658.1073741828.1683288981905541/1943726142528489/?type=3,2017-04-25 01:33:27,491,14,49,464,16,5,5,1,0
1683288981905541_1943562765878160,"Soon you'll say it with more confidence, no matter which language you choose. Follow us on Twitter for live updates.",Timeline Photos,photo,https://www.facebook.com/GoogleIndia/photos/a.1784631135104658.1073741828.1683288981905541/1943562765878160/?type=3,2017-04-24 23:00:00,1772,88,92,1611,97,59,4,0,1
1683288981905541_1943286782572425,Performances that lit up the Silver Screen. Each of #Rajkumar's 206 films showcase his brilliance. Which of his films is your favourite?,,video,https://www.facebook.com/GoogleIndia/videos/1943286782572425/,2017-04-24 04:21:15,1370,119,170,1125,210,33,1,0,1
1683288981905541_1943269765907460,"His first name said twice, that's all it ever takes to inspire a cricket-loving nation. Here's to 44 and many more. #HappyBirthdaySachin Sachin Tendulkar",,video,https://www.facebook.com/GoogleIndia/videos/1943269765907460/,2017-04-24 03:25:06,646,10,14,613,29,3,0,0,1
