status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
100681426711941_1335797453200326,"#NATO weapons reportedly end up in hands of jihadists fighting in #Syria

Weapons from a NATO member state have ended up in the hands of Jihadists in Syria that is according to an investigation carried out by a Bulgarian journalist. A commander from the western-backed FSA claims the US-led coalition is aware of this but chooses to look the other way. 

RT's Emily Sui investigates.

26 April 2017

https://www.youtube.com/watch?v=4x3TI5WC5jY",Turning blind eye? NATO weapons reportedly end up in hands of jihadists fighting in Syria,video,https://www.youtube.com/watch?v=4x3TI5WC5jY,2017-04-29 20:49:23,14,0,8,9,0,0,0,0,5
100681426711941_1335777746535630,"#Syria and Khan al-Assal Massacre: A forerunner to False Chemical Flag in #KhanSheikhoun against Syria

In Khan al-Assal over 150 people were brutally murdered by al-Qaeda affiliates and remnants of the Free Syrian Army (FSA) in 2013. Yet, the significance of Khan al-Assal applies to the chemical issue, whereby the Syrian government is adamant that terrorists were responsible for a past attack – just like recent intrigues in Khan Sheikhoun in 2017. Hence, when viewing the methodology of the massacre, then something doesn't meet the eye because it appears to have been done based on other motives. This notably applies to covert operatives from sinister shadows. In other words, this bears all the hallmarks of the recent bombing of Syria in 2017 by President Donald Trump because something is afoot. Therefore, all roads to Khan al-Assal in 2013 and Khan Sheikhoun in 2017 point to the enemies of Damascus in relation to events involving chemicals.

Khan al-Assal massacre in 2013 and Chemical False Flag related to 2017

Officially, the terrorist group called the Ansar al-Khilafa Brigade in 2013 claimed responsibility but the behaviour of the massacre leads to doubts about the sole responsibility of just terrorist forces. In the past, certain special covert operations have taken place against airfields and to firmly entrench various sectarian terrorist forces in northern Syria. Given the importance of Khan al-Assal in relation to the reported chemical attack and with the Russian Federation providing evidence which firmly pins chemical usage on terrorist forces – then was the massacre aimed at specific individuals and aimed at a cover-up related to this incident?

Khan al-Assal massacre in 2013 and events on the ground then

It was known that the Syrian armed forces were making headway in Homs and in other parts of Syria in this part of 2013. This reality makes the attack against Khan al-Assal appear even more like a covert operation because it is unimportant militarily given the recent setbacks by sectarian forces. While Ansar al-Khilafa claims responsibility for the massacre, and al Nusra played its part, it is doubtful that such an operation is possible without extremely professional individuals being involved. Therefore, the timing of the attack would indicate that covert operatives were involved and hiding in the shadows, whereby terrorist groups held to be accountable became a convenient cover for the many intrigues against Syria. After all, only America, France, Qatar, Saudi Arabia, Turkey, and the United Kingdom could gain from this massacre because it can help to literally ""bury the truth"" about their respective false pretexts, in relation to the chemical issue.

The Russian Foreign Ministry condemned the barbaric massacre by stating that, ""The gunmen of the two terrorist groups have perpetrated a brutal crime two days ago in Khan al-Asal which they captured on July 22nd, 2013.""

The ministry further stated, ""The fighters of the two extremist groups have committed genocide against the captives of the Syrian officers and soldiers as well as against the pro-government civilians.""

Dr. Riad Haddad, the Syrian Ambassador based in Moscow at the time of the massacre in 2013, was in no doubt that the barbaric massacre in Khan al-Assal was aimed at erasing the chemical false flag. He stated to Ria Novosti that ""The main goal of this carnage which was committed by Jabhat al-Nusra and Ansar al-Khliafa brigade is killing all witnesses on the use of the chemical weapons use by the armed terrorist groups.""

Surely, with infighting at the time between al-Qaeda affiliates and the FSA; internal tensions between various al-Qaeda groups; Nusra and the FSA attacking the Kurds near the border with Turkey and in other areas; alongside setbacks against the Syrian armed forces; then Khan al-Assal makes no strategic sense apart from covering up the crimes of the chemical attack. Also, the nature of the coordination of the attack hints to the involvement of special operatives and a planned attack from much higher.

It must be remembered that while the Syrian government was open to a proper investigation by the United Nations (UN) based on neutral observers; this unnerved many nations within the Gulf and Western terrorist alliance. The terrorist operation – or the joint covert operation – is known to have taken place by some individuals in virtually full disguise and having professional military builds – alongside the vast majority of ordinary members of both terrorist groups that did the massacre itself. It resembles a joint operation whereby the orders were planned by ""outside forces"" and because of strong motivational factors that lead to a cover up.

RIA Novosti stated, ""Over the weekend ""it became known about the atrocious killing"" of some 150 people by militants from extremist groups Jabhat al-Nusra and Ansar al-Khilafah during an attack on Khan Assal, a town outside the northern city of Aleppo, the ministry said in a statement on its website.""

RIA Novosti continued, ""Both militant groups, which have conducted joint operations in the past, have claimed credit for taking control of Khan Assal on July 22-23 and killing more than 100 soldiers.""

Like usual, the leaders of America, France, Turkey, and the United Kingdom in 2013 all remained mainly silent about this brutal massacre. These four NATO powers also have collectively agreed to allow NATO Turkey to be a conduit for al-Qaeda affiliates and other terrorist forces entering northern Syria via Turkey. Similarly, weapons to al-Qaeda terrorists, sectarian forces, and covert operatives are happening based on the role of NATO Turkey. However, this seems to be bypassing a mainly compliant and propaganda based media.

Carla Del Ponte in this period headed an independent commission of inquiry in relation to the possible usage of chemicals for the United Nations. She expressed, ""investigators have been in neighbouring countries interviewing victims, doctors and field hospitals and, according to their report of last week which I have seen, there are strong, concrete suspicions but not yet incontrovertible proof of the use of sarin gas, from the way the victims were treated… This was use on the part of the opposition, the rebels, not by the government authorities.""

In another article by Modern Tokyo Times about the chemical false flag it was stated that ""It appears that the axis-of-evil against Syria will tolerate beheading people, daily terrorism, religious cleansing, killing journalists, kidnapping Christian bishops, taking UN personnel and making them hostages, killing mainstream Sunni clerics which support the independence of Syria, throwing people from rooftops and destroying Christian churches and Shia mosques. Will political elites in Ankara, Doha, London, Paris, Riyadh and Washington now "" see the light"" and acknowledge that their ""terrorist and sectarian freedom fighters"" are simply barbaric? Or, will the mass media peddle more lies in order to brush the latest news about sarin gas under the carpet; in order to meet the demands of political elites that have various agendas in destabilising and crushing the last major secular Arabic-speaking nation in the Middle East?""

It is clear that America, France, Turkey, and the United Kingdom have a lot of blood on their hands because all four nations have supported Qatar and Saudi Arabia in their ""unholy and immoral war."" This applies to helping the terrorist, military, and covert ratlines against Syria. The massacre in Khan al-Assal didn't serve the agenda of al-Qaeda affiliates and the FSA in relationship to the current military situation at the time in Syria. However, the massacre and barbaric atrocity did serve nations with ""a false flag agenda"" that needed to cover up the chemical angle.

US and bombing of Syria in 2017

Sadly, in 2017 it seems once more that Syria is being accused without any international investigation into an alleged chemical attack that took place recently. After all, with the Syrian armed forces being in better shape now than at any other time since outside nations began to destabilise Syria, then why would the government in Damascus commit such an own goal?

Equally, just like then, it is clear that some images don't make sense. For example, some images show a little child with her throat cut – yet, with Syria bombing from the sky then how could chemicals kill like this? Similarly, the alleged evidence is tainted by the source being the White Helmets – and other players being involved including Turkey manipulating information for personal gains. This is based on images of the White Helmets being seen firmly within sectarian and Takfiri networks with links to al-Qaeda and other brutal sectarian forces.

Modern Tokyo Times says, ""The devastating loss of innocent life in Khan Sheikhoun is truly tragic but sadly it is just a propaganda scoop for the enemies of Syria. Instead, real questions should be asked. For example, why did sectarian terrorists allow children to be in such close proximity to a munitions area known for making weapons?""

It should be noted that allies of America – and the intrigues of Obama prior to Trump – have all assisted various sectarian forces and militias that have links to al-Qaeda and other brutal Takfiri groups. Yet, somehow, it is fine for NATO Turkey to be an open conduit for international jihadists. Similarly, Qatar and Saudi Arabia are never held accountable for supporting brutal sectarian forces that follow the mantra of ""Alawites to the grave, Christians to Beirut."" Therefore, the usual Gulf and NATO powers – including France and the United Kingdom – are never held accountable for the cleansing of Alawites, Christians, Yazidis (Iraq), and endless terrorist attacks against the Shia.

Events in Khan Sheikhoun in 2017 resemble past brutal intrigues in Khan al-Assal way back in 2013. Likewise, past propaganda videos involve kidnapped Alawite children by several Sunni Takfiri groups, who were killed for propaganda purposes. Alas, once more the mass media and gullible international politicians are open to Gulf and NATO propaganda – with some leaders openly being devious – because of an agenda being set in the corridors of power in America, France, Qatar, Saudi Arabia, Turkey, and the United Kingdom.

In all truth, why would Syria and the Russian Federation seek to provide the enemies of both nations with ample power to isolate them further – and, to enforce the political elites of Moscow to abandon Damascus? After all, it is abundantly clear that the situation is more stable and encouraging for the government of Syria in 2017. Similarly, the timing of the intrigue came shortly after America appeared to be softening against Syria. Hence, two birds were killed with one stone in Khan Sheikhoun – this applies to maintaining the conflict in Syria and boosting more pressure on Assad in order to oust him – and, secondly, the naivety of Trump means that American and Russian relations are in tatters once more.

[by Murad Makhmudov and Lee Jay Walker]

http://moderntokyotimes.com/?p=6954",Modern Tokyo Times | Syria and Khan al-Assal Massacre: A forerunner to False Chemical Flag in Khan Sheikhoun against Syria,link,http://moderntokyotimes.com/?p=6954,2017-04-29 20:11:47,24,1,7,20,0,0,0,0,4
100681426711941_1335669013213170,"#Syria | #Aleppo Renaissance

#mustwatch Documentary about the theft and destruction of the industrial cities of Aleppo; by Sinan Saeed and Tom Duggan with Fares Shehabi (MP for Aleppo)

Apr 27, 2017

https://youtu.be/BCOVHGLPtL4",Documentary - Aleppo Renaissance,video,https://youtu.be/BCOVHGLPtL4,2017-04-29 17:28:12,22,3,12,22,0,0,0,0,0
100681426711941_1335134646599940,"#Syria | Alliance of Convenience: Why #Israel Supports #ISIS?

'Since the beginning of the war in Syria, Israel took the opportunity to pursue its strategic interests in the neighboring country, by tacitly and sometimes publicly allying itself with Al-Qaeda and ISIS. 
Syriana Analysis addresses the recent bombings of Israel and US on Syria, elaborating the geopolitical goals behind these strikes.' 

https://youtu.be/--bSKC0ErUw",Alliance of Convenience: Why Israel Supports ISIS?,video,https://youtu.be/--bSKC0ErUw,2017-04-29 05:13:18,33,0,12,28,0,0,0,0,5
100681426711941_1335086329938105,"French ""Investigation"" in #Syria Neither Impartial nor Independent | by Ulsan Gunnar - 28.04.2017

""France is one of several nations directly involved in a multi-year US-led effort to violently overthrow the Syrian government.

Terrorist organizations fighting in and along Syria's borders have, for 6 years now, brandished the black, green, white and red colonial flag of French-occupied Syria.

France itself has admittedly supplied militant groups fighting the Syrian government with financial, military and political support with many prominent members of the so-called residing within French territory, leading political efforts to overthrow the Syrian government remotely.""

 A six-page report by French intelligence services claims the nerve agent came from hidden stockpiles of chemical weapons that Damascus was supposed to have destroyed under an U.S.- and Russian-brokered deal in 2013.

http://journal-neo.org/2017/04/28/french-investigation-in-syria-neither-impartial-nor-independent/","French ""Investigation"" in Syria Neither Impartial nor Independent | New Eastern Outlook",link,http://journal-neo.org/2017/04/28/french-investigation-in-syria-neither-impartial-nor-independent/,2017-04-29 03:29:30,30,3,14,26,0,0,1,0,3
100681426711941_1334731543306917,"The United States of… False Flags

by Finian Cunningham

""The United States government is the world leader in purveying false flags and propaganda stunts. Or, more generally, downright, systematic lies. To justify the outrageous violation of international law, wars and aggression.""

https://sputniknews.com/columnists/201704251052983749-the-united-states-of-false-flags/",The United States of… False Flags,link,https://sputniknews.com/columnists/201704251052983749-the-united-states-of-false-flags/,2017-04-28 17:54:25,84,3,32,80,4,0,0,0,0
100681426711941_1334484829998255,"New spin of #NorthKorea - #Syria 'axis of evil' points to US war | by Finian Cunningham

https://www.rt.com/op-edge/386318-north-korea-us-chemical-weapons/",New spin of North Korea-Syria 'axis of evil' points to US war,link,https://www.rt.com/op-edge/386318-north-korea-us-chemical-weapons/,2017-04-28 11:37:16,25,3,12,18,0,0,1,2,4
100681426711941_1334091780037560,"#Lavrov to West: 'Don't Let Your Crazy Politicians Drag World Into War'

Russia's Foreign Minister urged the international community to denounce the 'philosophy of hegemony and one's own exclusivity' during the Sixth Moscow Conference on International Security.

http://russia-insider.com/en/politics/lavrov-west-dont-let-your-crazy-politicians-drag-world-war/ri19703",Lavrov to West: Don't Let Your Crazy Politicians Drag World Into War,link,http://russia-insider.com/en/politics/lavrov-west-dont-let-your-crazy-politicians-drag-world-war/ri19703,2017-04-28 02:11:05,183,6,109,165,14,0,0,2,2
100681426711941_1334084030038335,"Moscow slams #French_report on #Syria #chemical attack as inferior substitute to stalled #OPCW probe

""""Once again, we call for stopping foul political games around the Syrian chemical dossier and to make the steps Russia has been insisting on for the past three weeks, which is, to delegate a group of experts directly to Khan Shaykhun and Shayrat,"" the press release said.
""The group should include representatives of the countries that are not blinded by hatred towards Syria's legitimate government.""""

https://www.rt.com/news/386404-french-syria-chemical-attack-report/",Moscow slams French report on Syria chemical attack as inferior substitute to stalled OPCW probe,link,https://www.rt.com/news/386404-french-syria-chemical-attack-report/,2017-04-28 01:54:01,38,0,12,34,3,0,0,1,0
100681426711941_1333991233380948,"The 'preposterous popinjay' Boris Johnson says UK could join US military action in #Syria without Commons vote

'The Foreign Secretary says it would be 'very difficult to say no' if asked to join offensive against Assad regime by Trump administration'

http://www.independent.co.uk/news/uk/politics/boris-johnson-uk-bypass-commons-vote-syria-military-action-us-mps-parliament-a7704761.html",Timeline Photos,photo,https://www.facebook.com/handsoffsyria/photos/a.100724200040997.1471.100681426711941/1333991233380948/?type=3,2017-04-27 22:52:50,24,0,6,24,0,0,0,0,0
