status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
889307941125736_1376340812422444,"Before this year ends, I want to thank you again for your support of our campaign. While we didn't achieve the outcome we sought, I'm proud of the vision and values we fought for and the nearly 66 million people who voted for them.

I believe it is our responsibility to keep doing our part to build a better, stronger, and fairer future for our country and the world.

The holidays are a time to be thankful for our blessings. So let us rejoice in this season and look forward with renewed hope and determination.

I wish you and your family health, happiness, and continued strength for the New Year and the work ahead. I look forward to staying in touch in 2017. Onward!

With deep appreciation and warm wishes, I am,

Yours,

Hillary",,status,,2016-12-26 16:43:38,505001,42527,19760,391279,96377,304,2309,14157,575
889307941125736_1343809752342217,"Hillary for America general counsel Marc Elias on listening and responding to calls for an audit and recount:

""Over the last few days, officials in the Clinton campaign have received hundreds of messages, emails, and calls urging us to do something, anything, to investigate claims that the election results were hacked and altered in a way to disadvantage Secretary Clinton. The concerns have arisen, in particular, with respect to Michigan, Wisconsin and Pennsylvania — three states that together proved decisive in this presidential election and where the combined margin of victory for Donald Trump was merely 107,000 votes.

It should go without saying that we take these concerns extremely seriously. We certainly understand the heartbreak felt by so many who worked so hard to elect Hillary Clinton, and it is a fundamental principle of our democracy to ensure that every vote is properly counted.

Moreover, this election cycle was unique in the degree of foreign interference witnessed throughout the campaign: the U.S. government concluded that Russian state actors were behind the hacks of the Democratic National Committee and the personal email accounts of Hillary for America campaign officials, and just yesterday, the Washington Post reported that the Russian government was behind much of the ""fake news"" propaganda that circulated online in the closing weeks of the election.

For all these reasons, we have quietly taken a number of steps in the last two weeks to rule in or out any possibility of outside interference in the vote tally in these critical battleground states.
First, since the day after the election we have had lawyers and data scientists and analysts combing over the results to spot anomalies that would suggest a hacked result. These have included analysts both from within the campaign and outside, with backgrounds in politics, technology and academia.

Second, we have had numerous meetings and calls with various outside experts to hear their concerns and to discuss and review their data and findings. As a part of this, we have also shared out data and findings with them. Most of those discussions have remained private, while at least one has unfortunately been the subject of leaks.

Third, we have attempted to systematically catalogue and investigate every theory that has been presented to us within our ability to do so.

Fourth, we have examined the laws and practices as they pertain to recounts, contests and audits.

Fifth, and most importantly, we have monitored and staffed the post-election canvasses — where voting machine tapes are compared to poll-books, provisional ballots are resolved, and all of the math is double checked from election night. During that process, we have seen Secretary Clinton's vote total grow, so that, today, her national popular vote lead now exceeds more than 2 million votes.

In the coming days, we will continue to perform our due diligence and actively follow all further activities that are to occur prior to the certification of any election results. For instance, Wisconsin and Pennsylvania conduct post-election audits using a sampling of precincts. Michigan and many other states still do not. This is unfortunate; it is our strong belief that, in addition to an election canvass, every state should do this basic audit to ensure accuracy and public confidence in the election.

Beyond the post-election audit, Green Party candidate Jill Stein announced Friday that she will exercise her right as a candidate to pursue a recount in the state of Wisconsin. She has indicated plans to also seek recounts in Pennsylvania and Michigan.

Because we had not uncovered any actionable evidence of hacking or outside attempts to alter the voting technology, we had not planned to exercise this option ourselves, but now that a recount has been initiated in Wisconsin, we intend to participate in order to ensure the process proceeds in a manner that is fair to all sides. If Jill Stein follows through as she has promised and pursues recounts in Pennsylvania and Michigan, we will take the same approach in those states as well. We do so fully aware that the number of votes separating Donald Trump and Hillary Clinton in the closest of these states — Michigan — well exceeds the largest margin ever overcome in a recount. But regardless of the potential to change the outcome in any of the states, we feel it is important, on principle, to ensure our campaign is legally represented in any court proceedings and represented on the ground in order to monitor the recount process itself.

The campaign is grateful to all those who have expended time and effort to investigate various claims of abnormalities and irregularities. While that effort has not, in our view, resulted in evidence of manipulation of results, now that a recount is underway, we believe we have an obligation to the more than 64 million Americans who cast ballots for Hillary Clinton to participate in ongoing proceedings to ensure that an accurate vote count will be reported.""",,status,,2016-11-26 23:28:38,183725,29614,23996,156122,21033,3044,2071,246,1209
889307941125736_1334281259961733,"""For the sake of our children and our families and our country, I ask you to stay engaged, stay engaged on every level. We need you. America needs you. Your energy, your ambition, your talent. That's how we get through this. That's how we help to make our contributions to bend the arc of the moral universe toward justice. I know this isn't easy, I know that over the past week, a lot of people have asked themselves whether America is the country we thought it was. The divisions laid bare by this election run deep, but please listen to me when I say this. America is worth it. Our children are worth it. Believe in our country, fight for our values and never, ever give up."" —Hillary",,video,https://www.facebook.com/hillaryclinton/videos/1334281259961733/,2016-11-18 10:00:00,162854,18488,16119,125702,30599,164,1008,4916,465
889307941125736_1324433874279805,"Scripture tells us: Let us not grow weary in doing good, for in due season, we shall reap, if we do not lose heart.",Timeline Photos,photo,https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1324433874279805/?type=3,2016-11-09 13:57:16,368869,61444,29232,285432,54501,338,2936,24824,838
889307941125736_1324421317614394,"Last night, I congratulated Donald Trump and offered to work with him on behalf of our country. I hope that he will be a successful president for all Americans.

This is not the outcome we wanted or we worked so hard for, and I'm sorry we did not win this election for the values we share and the vision we hold for our country.

But I feel pride and gratitude for this wonderful campaign that we built together—this vast, diverse, creative, unruly, energized campaign. You represent the best of America, and being your candidate has been one of the greatest honors of my life.

I know how disappointed you feel, because I feel it too. And so do tens of millions of Americans who invested their hopes and dreams in this effort. This is painful, and it will be for a long time. But I want you to remember this: Our campaign was never about one person or even one election. It was about the country we love—and about building an America that's hopeful, inclusive, and big-hearted.

We have seen that our nation is more deeply divided than we thought. But I still believe in America—and I always will. And if you do, too, then we must accept this result—and then look to the future.

Donald Trump is going to be our president. We owe him an open mind and the chance to lead.

Our constitutional democracy enshrines the peaceful transfer of power, and we don't just respect that, we cherish it. It also enshrines other things—the rule of law, the principle that we're all equal in rights and dignity, and the freedom of worship and expression. We respect and cherish these things too—and we must defend them.

And let me add: Our constitutional democracy demands our participation, not just every four years, but all the time. So let's do all we can to keep advancing the causes and values we all hold dear: making our economy work for everyone, not just those at the top; protecting our country and protecting our planet; and breaking down all the barriers that hold anyone back from achieving their dreams.

We've spent a year and a half bringing together millions of people from every corner of our country to say with one voice that we believe that the American Dream is big enough for everyone—for people of all races and religions, for men and women, for immigrants, for LGBT people, and people with disabilities. Our responsibility as citizens is to keep doing our part to build that better, stronger, fairer America we seek. And I know you will. I am so grateful to stand with all of you.

I want to thank Tim Kaine and Anne Holton for being our partners on this journey. It gives me great hope and comfort to know that Tim will remain on the front-lines of our democracy, representing Virginia in the Senate.

To Barack and Michelle Obama: Our country owes you an enormous debt of gratitude for your graceful, determined leadership, and so do I.

To Bill, Chelsea, Marc, Charlotte, Aidan, our brothers, and our entire family, my love for you means more than I can ever express.
You crisscrossed this country on my behalf and lifted me up when I needed it most—even 4-month-old Aidan traveling with his mom.

I will always be grateful to the creative, talented, dedicated men and women at our headquarters in Brooklyn and across our country who poured their hearts into this campaign. For you veterans, this was a campaign after a campaign — for some of you, this was your first campaign ever. I want each of you to know that you were the best campaign anyone has had.

To all the volunteers, community leaders, activists, and union organizers who knocked on doors, talked to neighbors, posted on Facebook—even in secret or in private: Thank you.

To everyone who sent in contributions as small as $5 and kept us going, thank you.

And to all the young people in particular, I want you to hear this. I've spent my entire adult life fighting for what I believe in. I've had successes and I've had setbacks—sometimes really painful ones. Many of you are at the beginning of your careers. You will have successes and setbacks, too.

This loss hurts. But please, please never stop believing that fighting for what's right is worth it. It's always worth it. And we need you keep up these fights now and for the rest of your lives.

To all the women, and especially the young women, who put their faith in this campaign and in me, I want you to know that nothing has made me prouder than to be your champion.

I know that we still have not shattered that highest glass ceiling. But some day someone will—hopefully sooner than we might think right now.

And to all the little girls watching right now, never doubt that you are valuable and powerful and deserving of every chance and opportunity in the world.

Finally, I am grateful to our country for all it has given me.
I count my blessings every day that I am an American. And I still believe, as deeply as I ever have, that if we stand together and work together, with respect for our differences, strength in our convictions, and love for this nation—our best days are still ahead of us.

You know I believe we are stronger together and will go forward together. And you should never be sorry that you fought for that.
Scripture tells us: ""Let us not grow weary in doing good, for in due season, we shall reap, if we do not lose heart.""

My friends, let us have faith in each other. Let us not grow weary. Let us not lose heart. For there are more seasons to come and there is more work to do.

I am incredibly honored and grateful to have had this chance to represent all of you in this consequential election. May God bless you and God bless the United States of America.",,status,,2016-11-09 13:51:57,1107360,78099,150216,780879,175004,1430,5843,142313,1891
889307941125736_1322855124437680,"This team has so much to be proud of. Whatever happens tonight, thank you for everything.",Timeline Photos,photo,https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322855124437680/?type=3,2016-11-08 20:39:50,498103,31471,22038,375321,61983,682,4478,54611,1028
889307941125736_1322854277771098,"Remember, if you are in line before polls close, you can vote! Have a question? Call 1-917-444-5915.",Timeline Photos,photo,https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322854277771098/?type=3,2016-11-08 19:00:01,46144,5202,7209,41558,3122,73,643,307,441
889307941125736_1322853874437805,"Election Day is almost over. Don't wait—go vote now! 
Confirm where you vote at hillaryclinton.com/locate.",gph.is,link,http://gph.is/2eBttvp,2016-11-08 18:00:00,21539,3043,983,18952,1617,58,366,176,370
889307941125736_1323004387756087,"""Les pido que elijan, compatriotas, a esta luchadora, a esta mujer de Estado, a esta madre... Nuestra próxima presidenta de los Estados Unidos de América ¡Hillary Clinton!"" —Presidente Obama hillaryclinton.com/buscador",,video,https://www.facebook.com/hillaryclinton/videos/1323004387756087/,2016-11-08 17:05:28,59598,4600,6508,48317,8682,128,691,1113,667
889307941125736_1322849854438207,Our neighbors in battleground states need your help. Make calls right from your phone to remind fellow Hillary supporters to go vote:,Join Hillary's online Call Team!,link,http://hillaryclinton.com/calls,2016-11-08 16:00:00,13667,2064,480,12194,857,30,230,60,296
889307941125736_1322830897773436,"Today's the day when we show how much stronger we are together. Once you've voted, sign up for a volunteer shift:",Hillary can't win without you.,link,http://hillaryclinton.com/gotv,2016-11-08 14:58:56,24451,2788,1086,21339,2249,50,274,149,390
889307941125736_1322742257782300,"It's going to be close, and we need you on this team. Confirm where to vote today:",Confirm where you vote.,link,http://hillaryclinton.com/locate,2016-11-08 13:59:37,10271,2124,384,9168,681,17,120,29,256
889307941125736_1322677101122149,"If you've already voted, jump on the phone and remind voters in key battleground states to go vote: hillaryclinton.com/calls",Timeline Photos,photo,https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322677101122149/?type=3,2016-11-08 13:20:25,32868,2741,1740,29474,2688,59,179,83,385
889307941125736_1322536014469591,"""I am asking you to elect...this fighter, this mother, this grandmother, this patriot—our next president of the United States of America, Hillary Clinton!"" —President Obama hillaryclinton.com/locate",,video,https://www.facebook.com/hillaryclinton/videos/1322536014469591/,2016-11-08 12:12:15,98554,4914,14132,83215,13307,238,420,538,836
889307941125736_1322455081144351,Already voted? That's great! Now help Hillary win by signing up to make calls now:,There's one critical thing you can do to help Hillary Clinton win if you've already voted,link,http://hrc.io/2fw0fAk,2016-11-08 11:19:17,16727,2308,911,14966,1214,36,128,34,349
889307941125736_1322346901155169,"Today's the day when we show how much stronger we are together. Once you've voted, sign up for a volunteer shift: hillaryclinton.com/gotv",gph.is,link,http://gph.is/2fBdwGs,2016-11-08 10:05:48,11334,1632,502,10003,962,35,84,19,231
889307941125736_1322301641159695,Todo por lo que hemos trabajado se decide hoy. Comparte esto si apoyas a Hillary: hillaryclinton.com/buscador,Timeline Photos,photo,https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322301641159695/?type=3,2016-11-08 09:40:42,114986,4588,28462,100145,13434,167,286,286,668
889307941125736_1322225667833959,Everything we've worked toward comes down to today. Share this if you're voting for Hillary: hillaryclinton.com/locate,Timeline Photos,photo,https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322225667833959/?type=3,2016-11-08 09:01:00,312349,9254,70610,273687,34677,295,738,816,2136
889307941125736_1321992831190576,It's Election Day! Millions of Americans have cast their votes for Hillary—join them and confirm where you vote: hillaryclinton.com/locate,Confirm where you vote.,link,http://hillaryclinton.com/locate,2016-11-08 07:13:39,18480,2122,1187,16819,1347,28,85,26,175
889307941125736_1321929254530267,Es el Día de la Elección y los centros de votación están oficialmente abiertos. ¿A qué hora vas a ir a votar? Verifica dónde votar en: hillaryclinton.com/buscador,gph.is,link,http://gph.is/2fjBdny,2016-11-08 06:33:25,7434,1190,487,6608,624,27,43,7,125
889307941125736_1321867984536394,It's Election Day and polls are officially open. When will you vote today? Confirm where to go here: hillaryclinton.com/locate,gph.is,link,http://gph.is/2fckchn,2016-11-08 06:04:24,27962,9284,3575,24250,2875,87,99,26,625
