status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
188056068070045_646190482256599,"""We're originally from Nepal, but we've worked as watchmen in this building since the past 18 years, so this feels like our home now.  We've watched the children in this building play hide and seek behind the cars...and today they're the ones driving them!""
""Oh they're still children only --  ever since they were young, every holi they would rub color all over us, dirty our uniforms and run away...and even though now some of them have children of their own...they still do it! -- they still put color on us and run away!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/646190482256599/?type=3,2017-04-29 06:00:13,2638,22,27,2228,334,3,73,0,0
188056068070045_645799878962326,"""We're waiting to surprise our friend... she's a huge F.R.I.E.N.D.S fan, so we got her this Central Perk themed cake -- we can't wait to see her reaction, it's going to make her so happy!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/645799878962326/?type=3,2017-04-28 08:26:51,8719,338,88,7628,992,80,18,0,1
188056068070045_645300165678964,"While growing up, I would notice that the women around me would work very hard at home but still weren't well respected because they were economically dependent.  It was since then that I wanted to be financially empowered.  I knew I wanted to be a designer when I was 15 — it was just one of those things that was my calling. My mother would teach me how to cook and then think that I was learning some 'basic embroidery' like all 'good girls' are supposed to — she never thought of it as anything more.  But the business bug caught on early — since my first year of college I would participate in exhibitions with my friends and all the clothes we made would sell out — I've been financially independent since I was 20!
Initially, my parents were against me starting a business.  It was 1982 and women were expected to just get married — but I couldn't be stopped.  I sat in my room with two tailors and designed from there, because my work has been my religion — it's that sacred for me.  My parents used to watch people coming home through the day wanting me to design and they would ask , 'are these people really coming for your clothes?' and I think that's when they slowly accepted my work.
Around this time, I met my husband — we'd been dating on the sly for a few years, because we were from different religions and my parents were  against it.  But he was a charmer — one by one he started meeting all of my family members and they fell in love with him and then they all got together to convince my dad— it was all very filmy!  It's funny how we even spoke about marriage — my friends asked me 'where's this heading?' and I said, ' I don't know let me ask him'  so one day while we were hanging out I just popped the question- 'so what are we? Are we friends? Are we just having fun? Are you going to marry me? — I need to know' and he said, 'ofcourse we're getting married!' and that was that!
There was never a question of me stopping work post marriage. Very often, it's taken for granted that if there is a choice between a man's career and a woman's career — the woman will give hers up.  A woman's career choices are somehow never given as much importance — but I made it infinitely clear that work is my religion.  I still remember once, very early on in our marriage when my in-laws wanted me to stay at home and not attend a particular fashion week — they thought this was just some hobby I'd picked up and I could miss it…but I went and spoke to my husband and said, 'I have to go— it's important' and he said 'I'll handle it, don't worry' and that's the kind of support every woman needs.  I've been through pregnancy, and been involved in my son's life — but that didn't ever mean that I would stop working.  There have been days I've missed his PTA meetings, or sports days and as much as I would have liked to be there, sometimes I just couldn't make it and sometimes my husband couldn't — why is it always taken badly if a mother can't make it but it's okay if the father can't?
At times we both couldn't make it and we've had an excellent support system — my mother, mother in law and sisters who have stood by us and in so many ways they're the reason I'm here today.  From two sewing machines in my balcony, to a brand, from that first Anita Dongre store at Crossroads to hundreds… if I didn't have these people by my side and I wasn't so stubborn about fighting for what I love every step of the way… I would have never made it.""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/645300165678964/?type=3,2017-04-27 08:39:26,12077,454,1210,9846,1916,307,6,2,0
188056068070045_644666809075633,"""I stand here from about 4 in the evening until 10 at night.  Before that, I cook food for my children and help my wife with the household work --  she appreciates the help,  but I actually do it to spend time with her!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/644666809075633/?type=3,2017-04-25 23:32:34,17620,221,738,14298,3119,194,6,3,0
188056068070045_644449719097342,"""I grew up in a small village of Bihar which was prone to flooding.  Most of my childhood memories involve me playing in the mud and  swimming in a pond near our house — we all learnt to swim by ourselves.  I  grew up in a family of wrestlers, so even though I moved to Bombay for my education, I had a strong inclination towards sports. I'm from a humble background — I went to a Municipal school in Byculla and then got a diploma in mechanical engineering but my biggest interest was Karate.  I juggled studying late hours and training at sion until I was exhausted and this went on until I became a black belt in 2008.  That was just the beginning — I won 54 medals and won gold medals at the national and international level until one day in 2010, I felt a severe pain while walking and decided to get it checked.  
The MRI scan revealed that I had a tumour in my spinal chord. Even though the doctors said I would be able to walk again, two surgeries later I was still paralyzed.  This was the most depressing phase of my life — even my family members, except my mother and sister weren't supportive.  They kept saying 'my life was over' and how 'I used to be so capable'.  I felt frustrated — just because I was disabled meant my life was over?  That ideology is so screwed up — even the certificate I received from my doctor said '100% disabled' and I wondered how can someone else certify that I was a 100% incapable?
This pushed me to prove a point and I decided to start with something like swimming — I went to Shivaji Park Gymkhana and on seeing me on a wheelchair even the staff there were paranoid — they said they wouldn't let me swim without a supervisor.  I don't know how I got the courage, but I told them to just give me a chance and even though I hadn't swam after my surgeries, I took a leap of faith and jumped in... and I was okay!  I could swim with ease and from there I juggled my job at IBM and focused on my training. 
I won may awards at the national level as a paraplegic athlete, but I couldn't make it to the International level because I had no sponsorship.  Finally in 2015 my prayers were answered — I received a full scholarship from Sathyabama University an MBA school in Chennai and what's more is that the principal believed in me and decided to sponsor my training as well.  I left my job at IBM and haven't looked back since.  I trained harder than ever and in 2016 represented India at the International level in Canada and won a bronze medal!  Ever since, I'm training to participate in the 2018 Para Olympics in Tokyo and what's even better is that I found out that there's something known as 'wheelchair Karate' that I'm so excited about!
All I can say is, no one can motivate you but yourself.  From having a certificate that said 100% disabled — It now says that I'm 71% disabled, from having no hope of ever competing as a sportsman again I'm training for the para olympics!  I'm also the world record owner for longest open sea swimming in 2016.  How I did it?  I just said-  'so what?' and found a solution… Disabled, yes…but so what? There are a hundred things I can still do and I won't stop until I've achieved everything I've ever dreamed of. 
--

you can actually hear snippets of his conversation here - http://wavenote.in/share.php?id1=NjM0TUoxNDkzMTMyNDc&id2=634",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/644449719097342/?type=3,2017-04-25 10:29:32,6592,212,638,5296,955,338,1,2,0
188056068070045_644005899141724,"""I used to work so hard when my son was growing up that I missed his entire childhood...I didn't want to repeat that with my grand daughter so the second she was born -- I retired.  Now I spend all day with her... we're on our way to see the birds at the park...she loves them!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/644005899141724/?type=3,2017-04-24 10:26:51,10675,60,210,8938,1683,52,0,2,0
188056068070045_643464975862483,"""Father makes tea for everyone here at Dhobi Ghat, so when he leaves early in the morning he gets me here with him.""
""And what do you want to do?""
""Sleep!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/643464975862483/?type=3,2017-04-23 11:04:02,2661,15,26,2309,135,0,10,206,1
188056068070045_642865212589126,"""I need to finish washing and delivering these by 9 so I can go to work after...that's why I can't talk too much.""
""How old are you?""
""I'm 21.""
""What's your biggest struggle?""
""Struggle? No struggle...life is good!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/642865212589126/?type=3,2017-04-22 08:42:11,22298,280,2021,18377,3258,610,15,37,1
188056068070045_641889192686728,"""It was during my 10th standard Board exams that my father passed away — I think that was the hardest and lowest point in my life.  My mother was so strong for the both of us that she somehow yanked me out of it and gave me the strength to give my exams and face everything. Losing him at such a young age was hard, but everyday I work towards being better and making my parents proud.  I'm so close to my mother — she's my everything.  She's my friend more than anything else, and I don't think there's anything I hide from her — whether it's when I feel demotivated or want to talk about things at school — like cribbing about friends or boys…she's the first person I turn to.  She's so strong and calm — she always gives me the best advice.""
""What's the best piece of advice she's ever given you?""
""She told me that the world already has enough bitterness….what we need more of is kindness.  She said, 'be a good person, and trust that the rest will follow' and it really has.""
""What's the one big moment where you felt things fell into place?""
""I was the only delegate from India to attend the Presidential Inauguration in the US and just representing my country in front of speakers like Malala Yousafzai made me feel privileged.  I think it was then that for the first time I felt I was made to make a difference and wanted to do something for my country.  I don't know what that is yet…all I know is I'll get there.""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/641889192686728/?type=3,2017-04-20 09:35:47,10475,133,260,9233,1085,150,1,6,0
188056068070045_641341876074793,"""My sister and I fight a lot...she keeps troubling me, so even I trouble her everyday.""
""And who's your best friend?""
""My sister only...I love her the most!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/641341876074793/?type=3,2017-04-19 08:25:34,18159,1946,697,14914,2737,14,490,2,2
188056068070045_640856522789995,"""I had been in Bangalore for a few years before I moved back to Bombay.  When I got here, I didn't have as many friends so I downloaded Tinder, hoping to just meet new people.  I came across his profile and the first thing I noticed was that he had the lyrics of Smooth Criminal as his bio — I swiped right without really giving it much thought.  We matched and started chatting…and the conversation just seemed to flow…he never once felt like a stranger.  After about 4 or 5 days of chatting about Beef Fry and South Indian Food, he called one evening and asked if I was free to meet him…and I instantly agreed. Funny thing is, we were both talking to other people as well, but had he not called that night, maybe things would have been different.""
""When I went to see her the first time, it was pouring so much that my rickshaw kept breaking down every 500 meters on the flyover.  To add to that, my battery completely died out so I couldn't use Google Maps.  I had to keep stopping, running out in the rain, asking for directions and somehow making it to her building 3 hours later — but it was more than worth it.  We spoke for hours over cups of tea and when I hugged her to leave…I knew that I wanted to spend more time with her.  We started going on dates, I began to make plans with her and everything just happened so organically I knew I had to be with her.  
She was apprehensive when I asked her to date me only after about a week because she had rushed into things before and had been hurt…but I wanted to do anything to gain her trust.  I told her how I felt about her, honestly and really meant it…and I'm so glad she trusted me and gave us that chance.  On our 3rd date, she introduced me to her parent's as a 'friend' and after two weeks told them we were dating — there was no stress and no  apprehension.  We still don't know how the conversation came up, but within one month of dating, we were talking about a possible future — and it just fit.  Then one day, randomly out of the blue while we were at her house, watching TV she looked to me and said - 'Will you marry me?"" and her words were so innocent and heartfelt that even though I'd known it all along…I felt it on every level — that this is the woman I wanted to spend the rest of my life with.""
""What has been the happiest memory so far?""
""It's all been so exhilarating but I think the time we were in Goa for his birthday was definitely something special.  There was this one night where we were sitting on bean bags on the beach, under the stars and drinking beers when we randomly decided to take this quiz —  36 Questions to Know Whether You're in Love'.  I know it sounds really childish, but as we began answering these questions, it just hit us that we found something so special and meaningful… it was one of those beautiful epiphanies that will stay with me for a really long time.  I mean what can I say…he swiped right into my heart!""",Timeline Photos,photo,https://www.facebook.com/humansofbombay/photos/a.188058468069805.1073741828.188056068070045/640856522789995/?type=3,2017-04-18 08:19:50,14968,1061,414,11803,2986,155,23,1,0
