status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1397396907143628_1657515637798419,"Throughout this page's journey we have been consistent in not posting pictures that were not taken by one of us, but when we received Anshu's email, we knew we had to break protocol and publish this story. 

A Teach for India fellow, Anshu, had this to say:

""It was 8'o'clock in the morning when I was standing with my other three fellows from Teach for India, waiting for the morning assembly to start. We were standing at the back and looking at our girls. What we could discern from the back that the girls were shivering in the damp foggy cold. We went forward and ask our girls, ""are you girls alright?"" In a quivering voice, they answered, ""Ma'am and Sir, it's very cold."" It took us a moment realize that few of our girls don't have warmers. Some of them were wearing a pair of summer clothes under their school uniforms and some of them were wearing low-quality warmers that were pretty useless against the harsh cold.

This made us come up with an idea of a secret Santa, where each one us can become a secret Santa for these girls on this Christmas. We decided to create a fund and buy all girls thermals and warmers for winter. And this where we need your help!

There are 160 girls in our classes and we are now raising funds to place a bulk order. We need a little over Rs. 65k and we need your help in raising the required amount and making this a Merry Christmas for our girls!""

Account number: 50100098206480
IFSC CODE: HDFC0000256

#TeachForIndia #education #India #ChristmasWish #delhi #SupportEducation #NGO",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1657515637798419/?type=3,2015-12-23 01:10:55,46,3,8,46,0,0,0,0,0
1397396907143628_1655248121358504,"""I started smoking when I was 12. There was a time when I used to smoke almost 2 packs a day. But now I've cut it down to a couple of cigarettes a week.""

So what changed?
""Love happened. You may not care for yourself to begin with, but once there's someone who cares for you, you learn anew.""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1655248121358504/?type=3,2015-12-16 00:30:00,549,83,99,549,0,0,0,0,0
1397396907143628_1654616464755003,"""The adventure started with buying a cake for a friend whose birthday it was. Another friend and I called him to join us, but he couldn't so we decided to go around town and celebrate without him. My friend had a couple of drinks and around 1:30 am, we began to crave coffee. We checked a few cafes but everything was closed so we decided to head down to the railway station. Halfway along the way, we changed our minds and turned around and that's when the police stopped us. We still hadn't touched the cake that we had bought. The policemen started questioning me and I, like a bumbling idiot, asked them why were they focusing on me when it was my friend who had had a few drinks. Next they asked for the details of the vehicle and I told them it belonged to me friend. Well, turns out it wasn't. He had borrowed his father's car. By now the inspector was adamant on calling our parents but we somehow managed to make them call our professor instead. He took his sweet time, it was late in the night and I was hungry. I had already created enough trouble for the day and I really did not want to create a scene so I snuck around and finally got to the cake when the inspector noticed me. By this time, even he was done with me and just as I was about to explain my situation, he said ""Do whatever you want, but don't you dare open your mouth again!""
Nevertheless, I offered them cake.""

Spotted at The Grub Fest.",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1654616464755003/?type=3,2015-12-13 09:02:49,51,6,4,51,0,0,0,0,0
1397396907143628_1654529901430326,"""We travelled all the way to The Grub Fest for Brown Sugar's momos. They really should open an outlet in Gurgaon. It's about time!""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1654529901430326/?type=3,2015-12-12 23:00:00,64,5,3,64,0,0,0,0,0
1397396907143628_1654188168131166,"""Some of my happiest memories include heading to the street vendor for some fried food most evenings but growing up has taken that away. One learns to be health-conscious along the way. It's the one thing I miss the most and wish that I could go back to the simpler times.""

#Delhi #olddelhi #storyofdelhi #humans #HOND #Dilli #photostory #streetstory #street #TheGrubFest #CyberHub #GrubWeekend",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1654188168131166/?type=3,2015-12-12 06:30:01,56,1,1,56,0,0,0,0,0
1397396907143628_1654187981464518,"""I was motivated to start The Grub Fest because I was hungry.""

The Grub Fest is a vibrant three-day food festival in Delhi. This year, The Grub Fest entertained an estimated of 1,00,000 patrons, offering an unforgettable experience of indulging in an array of select Indian and International cuisines, chef demonstrations, entertainment and India's first multi storied pop-up restaurant, Grub Stories.

We're doing an exclusive series at The Grub Weekend at Cyber Hub over the weekend. Watch this space for more.

#Delhi #olddelhi #storyofdelhi #humans #HOND #Dilli #photostory #streetstory #street #TheGrubFest #CyberHub #GrubWeekend",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1654187981464518/?type=3,2015-12-12 03:30:01,57,1,1,57,0,0,0,0,0
1397396907143628_1654187331464583,"""In our household, making gujiyas has been a time-honoured tradition. My grandma taught my mother who, in turn, taught me and until very recently, that was one of my favourite activities that we indulged in together. Now that I'm married and away from my parents, it has become a memory that I will forever hold on to.""

#Delhi #olddelhi #storyofdelhi #humans #HOND #Dilli #photostory #streetstory #street #TheGrubFest #CyberHub #GrubWeekend",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1654187331464583/?type=3,2015-12-11 20:30:00,59,1,5,59,0,0,0,0,0
1397396907143628_1653940574822592,"After a long hiatus driven by personal reasons, we officially begin our second innings at the Grub Weekend tomorrow. Catch us at Cyber Hub, Gurgaon over the weekend!",,status,,2015-12-10 08:19:44,9,0,1,9,0,0,0,0,0
1397396907143628_1650398415176808,"""I own a small business supplying milk to the houses of this neighbourhood. I get up early each morning just to ensure that fresh & delicious milk reaches my customers before the sun's up. But my small business is no match for the packaged milk industry. Over the years, my business has slowed down and I may have to close down soon. My son has no interest in this old family business even though this is what my father and before that his father did. Now the family tradition will die with me."" 

#Delhi #olddelhi #storyofdelhi #humans #HOND #Dilli #photostory #streetstory #street",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1650398415176808/?type=3,2015-11-24 06:30:01,59,0,2,59,0,0,0,0,0
1397396907143628_1581423392074311,"If you think of giving a message to a large group of people, what it would be? 
Don't be impatient and rash,  be polite to every one, and the same will reflect like a mirror back to you and ur life will feel extremely Sweet. In my 24 years career as a contractor in DTC bus service,  I got politeness as response from same people... One thing I want to say is to be passionate always.",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1581406805409303/?type=3,2015-03-23 06:30:01,77,2,4,77,0,0,0,0,0
1397396907143628_1579329928950324,What is there in life...nothing to be so serious after all....So forget everything and enjoy life the way you want to the fullest.,Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1579299078953409/?type=3,2015-03-16 06:30:01,89,2,2,89,0,0,0,0,0
1397396907143628_1576726339210683,"""Every Home,Every Heart, Every Feeling,Every Moment Of happiness is incomplete without you, Only you can complete this world.""

 Wishes all the lovely woman in the world ""Happy Women's Day""",Humans of New Delhi - HOND,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1568455503371100/?type=3,2015-03-08 00:26:50,36,0,0,36,0,0,0,0,0
1397396907143628_1575322942684356,"""Life is so full of emptiness....so start giving meaning to it now....add color and suspense to each moment and make it exciting in every little way you can""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1575306906019293/?type=3,2015-03-04 07:00:00,63,2,4,63,0,0,0,0,0
1397396907143628_1569979916551992,"""I dont Need to take leaves from my seniors. I take leaves whenever I please because I am the captain of my ship.""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1569932733223377/?type=3,2015-02-16 06:30:01,133,3,2,133,0,0,0,0,0
1397396907143628_1576726525877331,"If you would like to give a piece of advice to a larger group of people, what would it  be?

We have attained this life and this body to live, not just to be alive. It means to actually live it to the fullest and feel that the body is a reflection of the soul. It is the moral duty to keep ourselves in a situation and state of mind and body that our soul remains happy. So you have to continuously work to maintain a healthy mind and body. 
Even a person with disability can like a 15 years wheel chair bound person with paralysis can through regular undergoing panels call despite so many problems like tumor removal surgery, below the chest paralysis, poor digestion, due to less walk, without gall bladder,. Poor blood circulation respiratory problem, . However, I maintain my spirit to make my soul remain happy. My message to people is: We have only one life and we have to  make the best of it. Life's problems will be there but we should balance it strongly with strong will power and great positive attitude. These are not mere words, i have practised it  and that's why i'm saying it. I m not reading and saying it from a text book,. But from live example of life. I walk everyday with some tumor but that has  not taken away the life from me.  I enjoy each day, I celebrate each day, I have lots of fun. So one can do it if we are alive and happy.  #iadoreme  #deepamalik  #wheelinghappiness",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1568455503371100/?type=3,2015-02-13 07:07:15,77,4,8,77,0,0,0,0,0
1397396907143628_1551327748417209,""" I take care of 350 dogs. I've lived here ever since they built PVR Anupam. I have all valid documents too. MCD officials can't just come in here and take my dogs without rhyme or reason. People come from far off places when they can't take care of their pets, they leave them with me. They say, ""Amma will care for them"". 
""How do you take care of all of them?""
""They are my kids so of course I'll take care of them. But it's not easy. I had a tea stall but that was demolished so now I scavenge. Someone sent in some clothes right now so that's good. The community, other animal lovers... they help. One person helped build the pakka wall over there in the back, someone donated rice, someone else sent in grains. That's how I can do what I do.""

""350 कुत्ते का ख्याल रखते हैं हम। जब PVR Anupam बनाये था तबसे रह रहें हैं हम यहाँ। सब कुछ है मेरे पास यहाँ के - Aadhar Card वगैरह सब। ऐसे कैसे मेरे डॉग को MCD वाले ले जायेंगे! दूर से लोग आते  हैं, pet का कभी ख्याल नहीं रख सकते तो यहाँ हमारे पास छोड़ के जाते हैं कि अम्मा रख लेगी।""
""कैसे रखते हो आप सबका ख्याल?""
""ये ही हमारे बच्चा हैं तो अम्मा तो इनके ख्याल रखेगी। पर अभी बहुत परेशानी हो रही है। पहले चाय का दुकान था वो तोड़ दिए तो अभी कूड़ा उठाते हैं। अभी कपड़े  कोई भेज दिया तो ऐसे हमको help करते हैं सब। Public है वो मिल के सब करता है... कोई आ के वो पीछे का दीवार पक्का करा के गयी, कोई चावल का कट्टा भिजवाई , कोई दाना भिजवायी। ऐसे सब मिल के ख्याल रखते हैं।""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1551297131753604/?type=3,2014-12-23 07:00:00,996,152,429,996,0,0,0,0,0
1397396907143628_1549705021912815,"You can spend an entire day roaming the streets for the perfect picture, but it happens when it happens.
This one took less than 10 seconds from the moment she walked into the frame, struck that pose and ran away before I could utter a word.",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1549673468582637/?type=3,2014-12-19 07:07:01,361,3,3,361,0,0,0,0,0
1397396907143628_1541540402729277,People call me a selfie queen just because I love Instagram. I'm not addicted to the selfie phenomenon as such. I enjoy taking pictures of anything and everything. My motto is 'Living life one square photo filter at a time.',Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi1/photos/a.1397790897104229.1073741828.1397396907143628/1541519296064721/?type=3,2014-11-24 07:00:00,373,23,9,373,0,0,0,0,0
