status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
140257279443990_435319043271144,"""Music gets everyone together, irrespective of their background. It unites people.""
What would you want to convey through your music?  
""Live and let live.""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/435318306604551/?type=3,2014-04-23 10:55:35,107,19,8,107,0,0,0,0,0
140257279443990_429997083803340,"""There's indiscipline in the society, here.""
""Your take on that?""
""Any kind of work shouldn't be considered small, one should do it with full dedication.""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/429995937136788/?type=3,2014-04-11 16:34:28,146,17,12,146,0,0,0,0,0
140257279443990_428552283947820,"""I'm a dancer, I love to create stuff."" 
Would you say something about Delhi?
""Delhi's about variety, I connect myself with Delhi"".

#HumansOfNewDelhi  #HOND",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/428552233947825/?type=3,2014-04-08 20:26:04,128,16,4,128,0,0,0,0,0
140257279443990_425108897625492,"Born in Malaysia, brought up in the Capital. 
Now working in Dubai 

""People in Dubai adore the Mehendi""
#HumansOfNewDelhi #HOND",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/425108807625501/?type=3,2014-04-01 03:18:19,52,8,0,52,0,0,0,0,0
140257279443990_425095157626866,"""Oh a picture, i wouldn't mind at all. Guess i suited up for this picture"".
So why did you suit up today ?.
""I like to stay in a suit even on weekends""

#HumansOfNewDelhi #HOND",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/425093560960359/?type=3,2014-04-01 02:14:11,130,12,2,130,0,0,0,0,0
140257279443990_423628327773549,"Meet the Twins 

I asked their mother. 
""Who taught them the 'V' sign'
""Their school ma'am did""

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/423617251107990/?type=3,2014-03-28 21:51:56,95,3,2,95,0,0,0,0,0
140257279443990_422976784505370,"""7 habits of highly effective people...yeah that. That is the book that  rules me. I think win win always, and I believe that is what strengthens me from within. Read it if you haven't and thank me later !""

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/422956251174090/?type=3,2014-03-27 12:01:19,53,5,1,53,0,0,0,0,0
140257279443990_422155741254141,"""The color has a significance. This one here symbolizes sacrifice representing courage and wisdom""

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/422154044587644/?type=3,2014-03-25 12:19:30,69,0,0,69,0,0,0,0,0
140257279443990_421709727965409,"""Patna se yahan ka safar tha to bahut mushkil par ab do saal bad yeh jaga ghar hi lagne lagi hai. Kaam bhi thik hai aur log bhi, yahi pe manager ki naukri mil jae usi ke lie kam raha hun ab"" 

Translation : The journey from Patna to Delhi has been a tough one, but after settling down which took almost 2 years, things have improved. Work seems fine and so do the people around, I aspire to be a manger at this very place, working hard towards the same 

#HOND #HumansOfNEwDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/421708071298908/?type=3,2014-03-24 11:19:31,43,1,0,43,0,0,0,0,0
140257279443990_421307844672264,"""Times keep changing, nothing's permanent. India has changed alot. It's a nice change, atleast I like it.""

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/421307781338937/?type=3,2014-03-23 11:26:59,48,0,1,48,0,0,0,0,0
140257279443990_420861521383563,"""I love teaching kids. My mum inspired me to take up that role. She was a teacher herself.""

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/420860688050313/?type=3,2014-03-22 11:22:36,67,0,1,67,0,0,0,0,0
140257279443990_420433018093080,"""If I talk too much I'll become the captain of Delhi. So I prefer to keep silent.""

#HumansOfNewDelhi #HOND",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/420432404759808/?type=3,2014-03-21 10:35:16,46,0,0,46,0,0,0,0,0
140257279443990_419613531508362,"""Dad's a clerk at Venky. I study English there to, in turn my dad allows me to keep him in the house""

#HumansOfNewDelhi #HOND",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/419612788175103/?type=3,2014-03-19 10:42:58,103,0,3,103,0,0,0,0,0
140257279443990_419167834886265,"""Isn't standing in the middle of the street too mainstream a pose for you now. Suggest something intriguing else I won't allow you to click me"" 

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/419164601553255/?type=3,2014-03-18 08:56:17,32,0,0,32,0,0,0,0,0
140257279443990_418801518256230,"""Well i love the work here. It helps me pay the rent. If you come to SAM bar, please signal me. I'll be happy to help"" 

#HOND #HumansOfNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/418801301589585/?type=3,2014-03-17 12:41:35,46,1,0,46,0,0,0,0,0
140257279443990_418263754976673,"""Life as an advocate doesnt give me much time to take out the kids. 

The entire Sunday is for them now and I always take them out. The mother is usually ill""
#HOND #HumansofNewDelhi",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/418263464976702/?type=3,2014-03-16 09:11:55,37,0,1,37,0,0,0,0,0
140257279443990_417849361684779,"""About New Delhi?""

""Umm can't say much, I'm always just passing by. Hope to spend more time here sometime.""",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/417848865018162/?type=3,2014-03-15 11:22:24,36,0,0,36,0,0,0,0,0
140257279443990_417446355058413,"Yes it has been away for a while but its hard to stay away. 

Humans Of New Delhi is back with more stories of lives of complete strangers on the streets of New Delhi.  Stay Tune #HOND",Cover Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.144242312378820.29201.140257279443990/417445685058480/?type=3,2014-03-14 12:40:36,14,0,0,14,0,0,0,0,0
140257279443990_282718001864583,""" Yahan bahut aate hain Sahab. Kabhi dubara aie, hum yahi milenge.""

Translation : Sir, many people visit this place. Do come again, you shall find me at the same spot.",Timeline Photos,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.262089237260793.1073741825.140257279443990/282717971864586/?type=3,2013-05-02 08:10:40,40,0,1,40,0,0,0,0,0
140257279443990_281132658689784,"""My grandfather established this shop in 1946 
 and my son is currently working with Anil Kapoor in Mumbai, I just bought him a camera same as yours.""

Spotted at : Chandni Chowk",The Humans Album - I,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.265997830203267.1073741827.140257279443990/281098228693227/?type=3,2013-04-28 12:49:30,55,0,5,55,0,0,0,0,0
140257279443990_269532906516426,"The Humans Of New Delhi Project is an effort to create a photographic census of the city of New Delhi, with an eye toward creating artistic portraits of strangers on the street. 
We hope that one day there will be a map of the whole world where you can click and see the people that live in each city.",Humans Of New Delhi's cover photo,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.144242312378820.29201.140257279443990/269532889849761/?type=3,2013-04-01 13:17:30,33,1,0,33,0,0,0,0,0
140257279443990_268222883314095,"In every few moments he would look at the Amar Jawan Jyoti behind him, with eyes full of pride.",The Humans Album - I,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.265997830203267.1073741827.140257279443990/268222863314097/?type=3,2013-03-29 09:44:48,57,0,2,57,0,0,0,0,0
140257279443990_267496793386704,"His eyes were fixed on the water for a long time.

""I have come to Delhi to study. I live with my Brother's family""",The Humans Album - I,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.265997830203267.1073741827.140257279443990/267496500053400/?type=3,2013-03-27 14:43:07,28,0,1,28,0,0,0,0,0
140257279443990_266868176782899,"""At first it was just a job but now this suit completes me and HE inspires me. I wish I could meet HIM.""",The Humans Album - I,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.265997830203267.1073741827.140257279443990/266868163449567/?type=3,2013-03-26 09:43:45,54,0,5,54,0,0,0,0,0
140257279443990_265998230203227,If you are living in Sarita Vihar and still haven't met this guy then you are missing out on a prodigy,The Humans Album - I,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.265997830203267.1073741827.140257279443990/265998146869902/?type=3,2013-03-24 11:47:03,40,7,1,40,0,0,0,0,0
140257279443990_263932883743095,"His son recently topped his class and aspires to join the army.

Taking dad's vision to the next level.
He gave me his son's email ID, I still have to email him this picture.",The Humans Album - I,photo,https://www.facebook.com/HumansOfNewDelhi/photos/a.265997830203267.1073741827.140257279443990/263932863743097/?type=3,2013-03-20 11:11:38,78,1,2,78,0,0,0,0,0
