status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
102099916530784_1703493493058077,"""I've been sitting here for three hours trying to figure out what to do.  I need to make a sale.  Rent is due in a week and I don't have the money.  I'm already starting to miss payments on a loan I took out recently.  I made two cold calls today and both of them went like shit.  I'd never do anything bad to get money, but who knows.  I'm beginning to dread going home.  My kids are small and want to be with me all the time, but I'm so stressed that I have no patience.  I've been losing my temper easily.  We were at my brother-in-law's house this weekend, and he's doing much better than I am.  His kids have a bunch of toys.  My son kept begging me to buy the same stupid little toy truck that his cousin had.  And I yelled at him to forget it.  I only had enough money in my pocket to get us home.""

(Lima, Peru)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1703493493058077/?type=3,2017-04-27 19:55:00,53464,1054,1073,21613,1639,126,24,30031,31
102099916530784_1703447276396032,"""I'm about to meet up with my ex-girlfriend.  We broke up two weeks ago and I'm hoping to get back together with her.  I restricted her freedom too much.  I scheduled all our classes together.  I always wanted to know where she was.  It all started a year ago when she cheated on me.  She called me immediately afterwards and confessed.  But ever since then, anytime she's away from me, I always imagine the worst.  She goes out with friends and some of them are male.  So it's hard for me to not get suspicious.  And if I get suspicious, she gets nervous.  Which makes me even more suspicious.""

(Lima, Peru)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1703447276396032/?type=3,2017-04-27 17:56:45,27500,3353,612,20426,381,330,53,6076,234
102099916530784_1701673349906758,"""We're talking about how important it is to take a shower every day.""

(Lima, Peru)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1701673349906758/?type=3,2017-04-26 15:15:47,165121,10015,4074,124614,7588,94,32796,20,9
102099916530784_1700243153383111,"""My mission is to get them interested in Star Wars.  My only chance is to get the big one hooked first because that's how my kids work.  I pitched Princess Leia as the most important character.  I might have told a little lie and said that she was the princess of the entire galaxy.  We had our first attempt the other day.  I got whiplash checking to see if they were still awake, and I lost both of them before Princess Leia even showed up.  I have faith in George Lucas though.  We're scheduling another screening with lots of candy.  I think if we can just stay awake for the entire movie, we'll be ready for The Empire Strikes Back.""  

(Lima, Peru)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1700243153383111/?type=3,2017-04-25 18:35:54,232186,15531,12111,170751,36928,82,24403,12,10
102099916530784_1696764167064343,"""I'm starting from nothing.  I lost everything back in Venezuela.  I had my own natural soap factory but the crisis made it impossible to get ingredients.  Then the government began to take 70% of my earnings.  I had to close it down.  Things got so bad that I couldn't even find food for my baby.  I had a little money, but there was nowhere to buy food.  I'd wait in line all day for one bag of flour.  We could go days without eating.  When I tried to breastfeed my daughter, I'd almost faint.  Leaving the country was my only chance.  I'd never said 'goodbye' to my daughter before.  She was screaming my name when I left.  It hurt worse than giving birth.  But I didn't have a choice.  I told her that I was going to Colombia. I told her that I was going to make a diamond, and I'd bring it back to her.  Now I sell key chains in the street.  When I make some money, I send packets of food back home.  I'm trying to keep a good spirit.  I'm doing OK.  I grew up very poor.  I came from nothing.  So I've been here before.""             

(Bogotá, Colombia)

------------------------------------------

My interpreter Juan has kept in touch with Rose, and we put together a small fundraiser if anyone would like to help: http://bit.ly/2pQbI5k",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1696764167064343/?type=3,2017-04-23 18:50:12,242368,6470,20871,130559,23899,937,130,86455,388
102099916530784_1691097537631006,"""I didn't even start gambling until I was 43.  I thought I was mature, but I was as vulnerable as a child.  I started going to the casino once or twice on the weekends.  It was a social thing.  I'd just play cards with my friends.  But I had good luck in the beginning.  I started to win.  And I started to love it.  I couldn't wait for the weekend.  Soon I started to go during the week.  I'd work the early shift and I'd have all afternoon to play.  I abandoned all my responsibilities.  Once you start playing-- you forget that you're hungry, you forget that you're thirsty, you even forget that you have a family.  I lost the grocery money, the rent money, everything.  Winning felt great.  And losing made me need to win.  I'd make up excuses every time I came home empty handed.  I'd say that I was mugged, or that my work hadn't paid us that week.  Eventually I had to sell my car.  I lost our house.  I lost my wife.  We'd been together for twenty years.  I just took for granted that she'd always be around.  The only thing that I didn't lose was my daughters.  They sat me down one day, and said: 'Dad, either quit gambling, or quit this house.'  And I never played again."" 

(Medellín, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1691097537631006/?type=3,2017-04-20 17:15:00,48578,997,1187,39249,3144,583,12,5566,24
102099916530784_1691069124300514,"""Sometimes I'd start crying in class for no reason.  Then when I got home from school, I'd just go straight to my room.  I couldn't even talk to my mom about it because I'd just start crying.  People would tell me: 'Just get up, exercise, and take a walk.'  But none of that helped.  Things got so bad that even the school was watching me.  I started bawling during a chemistry exam and I ended up in the school psychologist office.  I remember thinking: 'I don't care if I ever see another chemistry exam again.  Or my friends.  Or my mom.'  And I started to get this feeling that I was definitely going to do it.  I was going to lock myself in my room that night and take a bunch of pills.  The only thing that stopped me was imagining my mom finding my body.  That was three years ago.  That time seems so far away now.  I found a great therapist.  I learned so much about myself.  There's so much that I want to do now.  I want to travel.  I want to get married.  I want to have kids.  There are so many poems that I haven't written and songs I haven't heard.  So it's terrifying for me to think that I came so close.  My problems were small back then.  They were teenage problems.  But I came one step away from not being.  And I had made the decision to take that step.  I'm afraid that I can go back to that place again.  And next time, my problems will probably not be so small.""

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1691069124300514/?type=3,2017-04-20 13:45:00,130145,2359,9660,96088,21472,568,14,11988,15
102099916530784_1689826411091452,"""I think I'm obsessed with the idea of finding a girlfriend.  I think about it all the time.  I really want to know what it feels like.  I'm twenty-four.  I've never been in a relationship.  I'm terrified by the idea of being alone.  And I think that this desperation comes out in my energy.  The last girl I dated told me that I just needed to 'let it flow,' and 'see what happens.'  But I don't know how to do that.  I tried too hard to please her.  I wanted to make her fall in love with me.  I had to know for sure that we were together because she felt like my last chance to not be alone.  My anxiety ended up ruining everything.  When I finally get a girlfriend, I'm not sure how it will feel.  Maybe it will be great.  Or maybe then I'll just be terrified of losing her.""    

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1689826411091452/?type=3,2017-04-19 14:15:58,76679,5213,2266,56435,5283,414,93,14430,24
102099916530784_1688084367932323,"(3/3) ""The night I deserted was the most frightening moment of my life.  The guerrillas would have killed me if I'd been discovered.  I ran away in the middle of the night.  I found a road and hitched a ride with an oil truck from Ecuador.  I tried to cross the border but the army arrested me.  I thought for sure I would be executed.  But they gave me the chance to demobilize.  The first thing I wanted to do was see my family.  It was too dangerous to return home so I sent for them.  I thought my father would push me away, but he was very happy to see me.  My sisters told me that my disappearance had been very hard on him.  He had gotten very sick.  I'll always live with that regret, but we were able to spend four years together before he passed away.  I've rebuilt my life from scratch.  Leaving the guerrillas was like being born again.  I had no skills.  There was a lot of prejudice against me.  I had to work as a waitress and go to school at night.  But I'm almost finished with law school now.  And even though it took a lot of suffering to get here, I finally have the life that I imagined as a young girl.""

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1688084367932323/?type=3,2017-04-18 19:15:00,102624,1199,1674,78781,20087,3386,28,337,5
102099916530784_1688083331265760,"(2/3) ""I was the youngest one in the camp.  I felt very happy at first.  I didn't have to cook anymore.  I was having new experiences.  The guerrillas taught me rules.  They taught me how to use weapons.  They told me that we were fighting for the poor.  All of it sounded very good.  But then basic training began and it was very difficult.  I started to miss my family.  My father's birthday came around, and I could not stop thinking about him.  They sent me to another camp because my father kept searching for me.  I spent eight years with the guerillas.  We lived in the mountains.  I slept on the ground.  I didn't get a salary.  The fighting was continuous.  The army would bomb us day and night.  And I didn't speak to my family for a full seven years.  I always wondered what happened to them.  Finally it got to be too much, and I decided to desert.""  

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1688083331265760/?type=3,2017-04-18 17:15:00,28511,295,652,21863,550,2272,7,3806,13
102099916530784_1688082774599149,"(1/3)  ""I knew nothing about the guerrillas before I joined them.  The only thing I knew was that they lived better than me.  I grew up on a farm in a rural area.  We were very poor.  My mother abandoned our family so I had to take care of my younger siblings.  My father was a good man, but he didn't give me any liberties. He didn't let me go to town.  He didn't let me go to school.  He didn't let me have a boyfriend.  I wanted freedom, and the guerrillas seemed like my only way out.  They used to drive by our farm in their jeeps.  They seemed powerful.  Even the women wore camouflage.  One day the guerrillas stopped by our farm to buy some chickens, and I told them I wanted to join.  I was only thirteen years old.  They told me to meet them at a certain spot at 5 AM the next morning.  I didn't even say 'goodbye' to my father.  They told me that I was never allowed to speak to my family again.""       

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1688082774599149/?type=3,2017-04-18 15:16:15,36407,725,1082,24770,439,5117,12,6047,22
102099916530784_1686372734770153,"""We've been at war in this country for over fifty years.  There have been hundreds of thousands of deaths and millions of victims.  So a lot of people don't like the work that I do.  I manage a reintegration program for ex-combatants.  I'm trying to take away the main tool of war-- human beings.  We can't punish everyone who fought against us.  We can't jail them all.  That will only divide us further.  So we must find a way to reconcile with the 60,000 ex-combatants that live among us.  We must educate them.  We must find them jobs.  If we reject and stigmatize them, we will always be at war.  Reconciliation is a very hard task.  There are a lot of open wounds in this country.  People don't want to forgive.  Ex-combatants are often viewed as monsters.  My job is to show that their blood is like ours.  If we can't break the idea of 'good' and 'evil,' we will always be divided.  Reconciliation is the only way to change the course of our history.""  

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1686372734770153/?type=3,2017-04-17 13:08:41,96538,1211,6413,79893,14782,1570,11,266,16
102099916530784_1680202935387133,"""I'm unemployed right now, but it's my own decision.  I'm trying to rethink my life.  I've been a biology teacher for the past seven years.  I'd wake up at 5:30 AM every day and wouldn't get home until after 5 PM.  Then I'd spend the evening preparing lessons or grading exams.  Teaching was beautiful but I didn't like the philosophy of the school.  The focus was on being as productive as possible.  The kids were stressed.  They had no time to be children.  I just didn't feel that life should be like that.  It can't always be about growing, growing, growing.  There have to be cycles.  So I'm trying to take a step back.  I'm trying to enrich myself without having an exact objective.  I'm reading, and doing yoga, and participating in a dance group.  But it's been hard to appreciate the moment.  I've always felt such a pressure to work.  And when I'm not producing, it's hard to escape the feeling that I'm doing something wrong.""    

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1680202935387133/?type=3,2017-04-13 17:40:20,204256,4666,12110,180462,22389,945,36,418,6
102099916530784_1678454055562021,"""My father never valued my mother.  She did everything for him.  She worked all day, then she came home to cook dinner.  My father just came home to sleep.  She'd bring him his food on a tray.  Everything had to be perfect: right colors, right napkins, everything.  But he'd still call her names.  He'd get drunk and yell at her for nothing.  My mother was submissive and accepted it all.  She'd even get mad at me if I tried to intervene.  Eventually my father had an affair with our neighbor.  And two years ago he left our home to be with her.  Recently I spoke to him on the phone.  He sounded depressed.  He'd just broken up with the woman.  He told me that he'd given her everything, but she still left him.  He'd cooked for her, he'd treated her well, and he'd bought her whatever she wanted.  But nothing was enough.  I asked him if he realized what life was teaching him.  He had no answer.""

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1678454055562021/?type=3,2017-04-12 19:15:00,238948,3764,12621,196662,17899,2568,269,21255,295
102099916530784_1678417758898984,"""I'm really bothered by people using cocaine.  I get angry when I see people doing it for fun.  So many horrible things have happened in my country just so people can have 'fun.'  Cocaine was the motor behind the war in Colombia.  It financed the drug lords, the paramilitary, and the guerillas.  It paid for the bombs, and the guns, and the kidnappings.  It corrupted our government.  It ruined our reputation.  There isn't a family in Colombia that hasn't been hurt.  All of us lost friends and family members.  And this violence was funded by people who use cocaine. Yet none of them feel responsible for what happened.""

(Bogotá, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1678417758898984/?type=3,2017-04-12 17:16:05,120747,1976,9999,98371,4908,694,25,16229,520
102099916530784_1676818545725572,"""My mother abandoned me as an infant.  My father left when I was seven, and a year later I began working as a maid.  My earliest memories are cooking and cleaning.  When I turned seventeen, I got a job on a construction site.  I met a much older man there.  I thought he was very handsome.  And he was so nice to me.  He'd bring me flowers, and apples, and oranges.  If anyone was aggressive toward me, he would defend me.  He made me feel whole.  It was the first time that I'd ever felt truly happy.  When I found out I was pregnant, I was so excited to tell him.  I thought I would finally have a family.  He'd always told me that he wanted to be with me.  But when I gave him the news, he said: 'I have a wife and children.  We can never be together.'  Even now it hurts to remember.  It hurt me more than not having parents.""

(Medellín, Colombia)",Timeline Photos,photo,https://www.facebook.com/humansofnewyork/photos/a.102107073196735.4429.102099916530784/1676818545725572/?type=3,2017-04-11 18:06:24,85374,1270,1370,38016,2858,711,29,43074,686
