status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
24967709920_10155252156524921,"An incredible story of hard work & achievement. Congratulations to Kalpit Veerval!  360/360 at #JEEMains2017 topper is son of a school teacher, a Dalit",Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155252156524921/?type=3,2017-04-28 08:16:21,5066,290,301,4943,73,33,7,0,10
24967709920_10155251745684921,"अक्षय तृतीया और परशुराम जयंती की सभी को  हार्दिक शुभकामनाएं। यह दिन आप सबके जीवन में सुख,समृद्धि और सफलता लाये",Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155251745684921/?type=3,2017-04-28 04:50:03,2693,136,289,2644,35,7,5,1,1
24967709920_10155249607024921,"Repeated terrorist attacks, esp on army camps is extremely worrying. Must be met with strategic & decisive action",Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155249607024921/?type=3,2017-04-27 10:49:03,2780,106,145,2663,9,4,2,79,23
24967709920_10155248987044921,"A talented actor & an icon for an entire generation of cinema lovers,Mr Vinod Khanna's passing is indeed a sad loss. Condolences to his family",Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155248987044921/?type=3,2017-04-27 05:48:56,5009,157,196,4610,18,0,1,377,3
24967709920_10155248654189921,At the meeting of the North East Congress Coordination Committee. Discussed ways to strengthen the Party in the region,Photos from Rahul Gandhi's post,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10152353020269921.1073741825.24967709920/10155248654059921/?type=3,2017-04-27 02:40:55,4559,193,220,4490,37,7,25,0,0
24967709920_10155246296199921,"UDF leader Shri PK Kunhalikutty, who won the recent Lok Sabha bypoll in Malappuram, met Rahul Gandhi today.",Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155246296199921/?type=3,2017-04-26 10:29:56,7424,149,522,7267,110,15,29,2,1
24967709920_10155246289589921,Last heard 'demonetization' was the Govt's strategy to neutralize Naxalism. I hope the 'revised' strategy has a little more purpose & impact,Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155246289589921/?type=3,2017-04-26 08:02:22,2913,124,245,2787,12,6,38,63,7
24967709920_10155245256454921,We pay respect to the Brave martyrs who sacrificed their lives for the integrity of India,Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155245256454921/?type=3,2017-04-25 22:12:30,4572,225,557,4185,45,4,1,334,3
24967709920_10155240938379921,"Shocking breach of security of #AADHAR  has left millions of innocent citizens extremely vulnerable. I'm proud that we took the lead on Aadhaar, but let's not compromise a great initiative by turning a blind eye to major privacy & security concerns.",Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155240938379921/?type=3,2017-04-24 23:24:00,1895,73,153,1833,11,1,5,38,7
24967709920_10155240925904921,My sincere condolences to the families of CRPF personnel martyred in the attack in #Sukma. We salute the sacrifice&courage of our bravehearts. This thoughtless violence will never succeed in weakening our resolve to fight forces of extremism.,Timeline Photos,photo,https://www.facebook.com/India.RahulGandhi/photos/a.10150191619149921.323946.24967709920/10155240925904921/?type=3,2017-04-24 12:05:56,5455,183,393,4970,40,2,1,432,10
