status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
351616078284404_1295264453919557,"As attacks against India & Indians become more brazen, the question arises, is BJP capable of defending India?",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1295264453919557/?type=3,2017-04-30 06:30:00,386,29,52,369,0,1,1,7,8
351616078284404_1296044657174870,"""पर उपदेश कुशल बहुतेरे ,जे आचरहिं ते नर न घनेरे।""
- श्री रामचरित मानस

Meaning: An ounce of example is better than a ton of precept",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1296044657174870/?type=3,2017-04-30 05:13:30,1066,48,174,989,0,4,46,10,17
351616078284404_1295305193915483,"हमारा अपना संविधान अनुभव से बनकर तैयार हुआ है।  इसकी आत्मा में गांधी, गुरुदेव, देशबन्धु दास,नेहरु, बोस और भारत के लोग बसते हैं।",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1295305193915483/?type=3,2017-04-30 02:30:00,2753,64,346,2698,36,7,12,0,0
351616078284404_1295266877252648,"Pt. Jawaharlal Nehru, laying a wreath at the A.Bomb Victims' Memorial at Hiroshima during his visit to Japan in October, 1957.",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1295266877252648/?type=3,2017-04-29 21:30:00,2918,49,243,2864,36,8,7,2,1
351616078284404_1295277643918238,"Instead of providing a solution for peace, BJP has ensured that turmoil returns to the North East of India.",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1295277643918238/?type=3,2017-04-29 08:30:00,2000,74,385,1876,5,4,4,57,54
351616078284404_1295259153920087,"भाजपा का सैनिक प्रेम तो देखिये 
एक सैनिक की माँ 10 दिन से गायब है और सरकार उसे ढूढने की जगह सैनिक को ही गिरफ्तार करवा रही है",,video,https://www.facebook.com/IndianNationalCongress/videos/1295259153920087/,2017-04-29 06:04:50,5330,163,2924,4685,16,5,16,282,326
351616078284404_1295192837260052,"After leaving the agriculture sector in ruins over 3 yrs, Govt continues to raise Excise Duty on diesel. Is this not a 'Tax Terrorism' on farmers?",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1295192837260052/?type=3,2017-04-29 04:34:40,3459,113,886,3315,7,10,16,47,64
351616078284404_1295141607265175,"जनहानि ना हो और आतंकवाद रुके 
इसके लिए सरकार को कथनी और करनी में बदलाव की ज़रूरत है",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1295141607265175/?type=3,2017-04-29 03:00:36,2313,87,602,2124,3,7,3,112,64
351616078284404_1294349414011061,"Smt Indira Gandhi in the gardens at Anand Bhawan, her ancestral home after becoming Congress President, 1959.",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1294349414011061/?type=3,2017-04-28 23:30:00,7448,92,644,7327,91,15,14,0,1
351616078284404_1294686597310676,Rahul Gandhi today met Panjab University​  students who were brutally beaten by the Chandigarh police as they were protesting against the fee hike. He also met teachers  who raised the issue of financial difficulties that the university​ is facing.,Photos from Indian National Congress's post,photo,https://www.facebook.com/IndianNationalCongress/photos/a.618857401560269.1073742005.351616078284404/1294686400644029/?type=3,2017-04-28 12:46:07,8475,102,399,8371,64,15,25,0,0
351616078284404_1294291587350177,"Under BJP Govt you really need to focus on the hidden clauses of any scheme. The PM says 10%, hides 90%. Why can't he state all the facts?",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1294291587350177/?type=3,2017-04-28 09:00:00,3139,160,655,2774,6,8,278,12,61
351616078284404_1294255617353774,"When reality surpasses optics. You were promised Rs 2500 fare for flights within 500 kms, but the reality is that fares as high as Rs 16,000",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1294255617353774/?type=3,2017-04-28 04:29:00,1693,75,522,1532,7,3,106,8,37
351616078284404_1293518090760860,केंद्र सरकार आंतरिक सुरक्षा के लिए कितनी गंभीर है इन आकड़ो से आपको समझ आ जायेगा,Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1293518090760860/?type=3,2017-04-27 10:30:00,1681,42,379,1615,4,3,2,23,34
351616078284404_1293513460761323,"BJP Govt in Chhattisgarh refused to use latest technology in building roads, despite CRPF DIG advising constantly to invest in modernisation",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1293513460761323/?type=3,2017-04-27 09:30:00,4122,223,430,3829,16,1,1,229,46
351616078284404_1293511187428217,"नक्सली प्रभावित इलाकों के लिए UPA सरकार ने आदिवासी इलाकों के विकास के लिए 13000 करोड़ रूपये का फंड दिया, भाजपा सरकार ने आते उसे बंद कर दिया",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1293511187428217/?type=3,2017-04-27 08:30:00,3191,145,817,2980,5,13,16,85,92
351616078284404_1293485007430835,आप लोग ही देखिये छत्तीसगढ़ सरकार ने पुलिस को नक्सलवाद से लड़ने के लिए कितनी सुविधायें दे रखी हैं,Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1293485007430835/?type=3,2017-04-27 06:34:08,3040,64,781,2811,4,10,50,71,94
351616078284404_1293347017444634,"Congress President Smt Sonia Gandhi has condoled the sad demise of veteran film actor and Member of Parliament, Shri Vinod Khanna. Remembering him as a gifted actor, she said Vinodji had a profound influence over the masses by his simple & charismatic character and this hour of grief. Smt Gandhi has expressed solidarity with Shri Khanna's family and prayed for the departed soul.",Timeline Photos,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1293347017444634/?type=3,2017-04-27 02:18:35,4243,199,342,3910,29,1,0,303,0
351616078284404_1292695860843083,"UDF leader Shri PK Kunhalikutty, who won the recent Lok Sabha bypoll in Malappuram, met Rahul Gandhi today.",Photos from Indian National Congress's post,photo,https://www.facebook.com/IndianNationalCongress/photos/a.427925290653482.1073741832.351616078284404/1292695770843092/?type=3,2017-04-26 07:48:52,17616,144,621,17351,163,29,69,2,2
351616078284404_1292643654181637,"गंगा माँ उसके बेटे के लिए केवल वोट बटोरने का ज़रिया है
Read full story here: 
https://www.thequint.com/india/2017/04/25/pm-narendra-modi-namami-gange

Courtesy: The Quint",,video,https://www.facebook.com/IndianNationalCongress/videos/1292643654181637/,2017-04-26 07:00:00,5207,170,2304,4686,21,17,260,159,64
