status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
139188202817559_1521092487960450,What's better than movies containing trains? How about movies with train fight scenes? But are those scenes actually possible? Let's find out,10 Epic Movie Train Fight Scenes (Are They Really Possible?),link,http://interestingengineering.com/10-epic-movie-train-fight-scenes-are-they-really-possible/,2017-04-29 06:05:00,57,4,17,52,1,3,0,0,1
139188202817559_1520764154659950,Scientists accidentally discovered how to make Martian bricks. The bricks can potentially be used to build habitats on Mars.,Engineers Find A Surprisingly Simple Way to Make Bricks from Martian Soil,link,http://interestingengineering.com/engineers-find-surprisingly-simple-way-make-bricks-martian-soil/,2017-04-28 21:55:00,348,24,51,320,8,17,2,0,1
139188202817559_1520756247994074,"Construction projects are far from problem free, but when they involve massive loss of life we hope we can learn from history.",10 Deadliest Construction Projects in History,link,http://interestingengineering.com/10-deadliest-construction-projects-in-history/,2017-04-28 18:30:00,563,22,167,501,5,29,1,27,0
139188202817559_1520550691347963,"If you're an engineer who enjoys investments and thought about investing in these 5 stocks 10 years ago, you would have made a pretty penny.",5 Best Investments You Could Have Made 10 Years Ago,link,http://interestingengineering.com/5-best-investments-made-10-years-ago/,2017-04-28 13:55:00,217,17,48,204,5,7,0,0,1
139188202817559_1520520164684349,Mats Järlström was fined with $500 by the state of Oregon for conducting research on traffic lights and for illegal practice of engineering.,Calling Himself An 'Engineer' Got This Man Fined $500,link,http://interestingengineering.com/calling-himself-engineer-got-this-man-fined-500/,2017-04-28 10:45:19,1220,174,285,696,12,115,169,15,213
139188202817559_1520044461398586,"An MRI scanner was to be decommissioned at a med school, so what did a bunch of students do? Throw lots of things into it, of course!",How Dangerous is an MRI?,link,http://interestingengineering.com/dangerous-mri/,2017-04-28 06:05:00,862,69,306,703,16,107,34,1,1
139188202817559_1520039958065703,The difference in electricity transmission around the world has to do with Tesla and Edison's feud and early electricity monopolies.,Why the USA Uses 110V 60 HZ AC and Other Countries Don't,link,http://interestingengineering.com/why-the-usa-uses-110v-60-hz-ac-and-other-countries-dont/,2017-04-28 02:00:00,1840,68,961,1748,28,49,8,4,3
139188202817559_1519711234765242,Turn up as the coolest character in a costume or Halloween party with this DIY Wolverine claw by following this easy YouTube tutorial video.,Anyone Can Be Wolverine With This Easy DIY Tutorial,link,http://interestingengineering.com/video/anyone-can-be-wolverine-with-this-easy-diy-tutorial/,2017-04-27 21:45:00,301,32,87,261,3,12,24,1,0
139188202817559_1519708881432144,"Let's take a closer look at the 24 Greek letters and see what they are used for in the world of science, mathematics, and engineering.","The Most Common Uses of All the Greek Letters in Science, Maths and Engineering",link,http://interestingengineering.com/common-uses-greek-letters-science-maths-engineering/,2017-04-27 19:00:00,2563,60,1365,2439,84,34,6,1,0
139188202817559_1519706084765757,Discover how tornadoes form and how they grow into a behemoth vortex. Find out what the most destructive tornado is in recorded history.,Discover How Tornadoes Form and Turn Into a Behemoth Vortex,link,http://interestingengineering.com/video/discover-tornadoes-form-turn-behemoth-vortex/,2017-04-27 15:55:00,119,4,33,107,0,12,0,0,0
139188202817559_1519584898111209,NASA has released new photos of the James Webb Space Telescope that is expected to discover the history of the universe on its launch in 2018,Everything You Need to Know About the Glorious James Webb Space Telescope,link,http://interestingengineering.com/everything-need-know-glorious-james-webb-space-telescope/,2017-04-27 13:55:00,439,9,73,408,16,14,1,0,0
139188202817559_1519570241446008,The I-400 submarine aircraft carriers were developed by the Imperial Japanese Navy to raid the American coastline during the World War II. 😯,Uncovering the I-400 Class Japanese Submarine Aircraft Carriers of WW2,link,http://interestingengineering.com/uncovering-i-400-japanese-submarine-aircraft-carriers-ww2/,2017-04-27 11:55:00,271,6,51,241,9,21,0,0,0
139188202817559_1512832698786429,"With this Super Secure Backpack you'll never have to worry about Pickpockets Again..

Available here : https://goo.gl/p9GQ8M",The Best Functional Anti-theft BackPack,video,https://www.facebook.com/interestingengineering/videos/1512832698786429/,2017-04-27 11:00:00,2970,124,902,2708,123,133,6,0,0
139188202817559_1519398681463164,Learning to code has been proclaimed as one of the best new things you can learn to do to help your career – here's the how and why. 👊,Learning to Code: The Hottest Career Path of the 21st Century,link,http://interestingengineering.com/learning-to-code-hottest-career-path-21st-century/,2017-04-27 09:05:00,469,29,137,454,11,3,1,0,0
139188202817559_1519113191491713,"Life gets pretty noisy, but these new ear plugs can allow users to adjust exactly how noisy or peaceful they want their surroundings.",You Can Turn Down the Volume of the World Around You With These New Ear Plugs,link,http://interestingengineering.com/turn-down-volume-world-around-new-ear-plugs/,2017-04-27 06:05:00,2784,289,821,2382,193,192,17,0,0
139188202817559_1518616524874713,TrussFab software generates structures made out of plastic bottles. It can even help you design a functional boat that can take two people.,This Software Helps You Turn Plastic Bottles Into Strong Large-Scale Structures,link,http://interestingengineering.com/software-turn-plastic-bottles-into-strong-large-scale-structures/,2017-04-26 21:55:00,3355,113,1338,3074,102,168,11,0,0
139188202817559_1518610361541996,"Just in time for National Geographic's new show ""Genius,"" we put together some famous Einstein quotes that the physicist never really said.",13 Inspiring Einstein Quotes Never Actually Said by Einstein,link,http://interestingengineering.com/13-inspiring-einstein-quotes-never-actually-said-by-einstein/,2017-04-26 19:30:00,449,15,178,407,13,10,19,0,0
139188202817559_1518609058208793,Some chemical reactions are much more exciting than others. Here are 13 of the craziest chemical reactions in the world!,13 Most Mind-Blowing Chemical Reactions,link,http://interestingengineering.com/13-most-mind-blowing-chemical-reactions/,2017-04-26 16:30:00,644,12,239,595,21,26,2,0,0
139188202817559_1518599401543092,The Shenzhen city in China started using the robot lane technology to reduce road traffic congestions during morning rush hours.,New Robot Lane Technology Helps Solve China's Terrible Traffic Jams,link,http://interestingengineering.com/video/robot-lane-technology-helps-solve-china-traffic-jams/,2017-04-26 13:45:00,825,33,252,762,22,38,3,0,0
139188202817559_1518540801548952,A Tesla Model X owner asks Tesla China for a $1 million compensation after Falcon wing doors trap passengers inside the wrecked car.,Model X Owner Sues Tesla for $1 Million After Falcon Doors Fail to Open in Fiery Crash,link,http://interestingengineering.com/model-x-owner-sues-tesla-for-1-million-doors-fail-open-fiery-crash/,2017-04-26 10:09:12,540,92,89,388,4,92,38,13,5
139188202817559_1518417601561272,This unusual short action movie intelligently uses a Rube Goldberg machine to tell the story of three ball brothers.,This Epic Adventure Movie's Star is a Rube Goldberg Machine,link,http://interestingengineering.com/video/epic-adventure-movies-star-rube-goldberg-machine/,2017-04-26 09:15:00,261,12,109,228,14,5,14,0,0
139188202817559_1518338311569201,A larger than life project is currently taking place for the transportation of the world's biggest spar platform called the Aasta Hansteen.,World's Largest Spar Platform Starts Its Journey From South Korea to Norway,link,http://interestingengineering.com/worlds-largest-spar-platform-journey-from-south-korea-to-norway/,2017-04-26 06:20:15,1713,46,453,1496,25,185,5,1,1
139188202817559_1518188618250837,"Researchers developed an artificial womb for lambs. One day, this could save the lives of millions of premature infants around the world. 😮😮😮","This Artificial Womb Just Successfully Grew a Sheep, Humans Could Be Next",link,http://interestingengineering.com/artificial-womb-just-successfully-grew-sheep/,2017-04-26 01:54:25,5186,369,1644,3827,157,1111,13,38,40
139188202817559_1517842091618823,MasterCard wants to make it harder for thieves to take your credit information by tacking on thumbprint biometrics in addition to your PIN.,MasterCard Reveals Next-Generation Card With Built-In Fingerprint Reader,link,http://interestingengineering.com/mastercard-reveals-next-generation-card-with-built-in-fingerprint-reader/,2017-04-25 22:06:46,841,73,182,776,20,33,4,2,6
139188202817559_1517841241618908,"In 10 years, tiny nanobots in your blood might help keep you from getting sick or even transmit your thoughts to a wireless cloud.",Nanobots Will Be Flowing Through Your Body by 2030,link,http://interestingengineering.com/nanobots-will-flowing-body-2030/,2017-04-25 19:04:59,812,119,327,659,30,104,8,0,11
139188202817559_1517832448286454,Would you play the five finger fillet with a robot arm? This daredevil puts at risk his left hand playing the knife game with a Staubli TX40.,This Daredevil Plays the Five Finger Fillet Game With a Robot Arm!,link,http://interestingengineering.com/video/daredevil-plays-five-finger-fillet-game-robot-arm/,2017-04-25 15:44:53,544,99,156,453,11,49,29,1,1
139188202817559_1517677124968653,The speed of light has long been mused over since antiquity but how exactly have we managed to measure it? Let's find out. 😊,A Brief History of the Speed of Light,link,http://interestingengineering.com/a-brief-history-of-the-speed-of-light/,2017-04-25 14:15:08,162,9,43,157,2,1,2,0,0
139188202817559_1517676064968759,"Bored of your regular Facebook friends and ordinary Messenger conversations? Thanks to National Geographic, you can talk to Einstein himself.",You Can Now Talk to Einstein on Facebook Messenger,link,http://interestingengineering.com/talk-einstein-facebook-messenger/,2017-04-25 11:39:04,496,24,110,411,10,26,49,0,0
139188202817559_1517393028330396,Researchers analyzed current renewable energy technologies to examine what would be needed to run the world off of sustainable energy.,What It Would Really Take to Run the World off of Renewable Energy,link,http://interestingengineering.com/really-take-run-world-off-renewable-energy/,2017-04-25 09:05:00,541,48,238,517,11,10,1,1,1
139188202817559_1517323011670731,"A Silicon Valley company, backed by Google's Larry Page has just unveiled the latest all-electric 'flying car' called the Kitty Hawk Flyer.",Here's the First Footage of the Larry Page-Backed 'Flying Car',link,http://interestingengineering.com/video/heres-first-footage-larry-page-backed-flying-car/,2017-04-25 06:05:00,501,33,166,461,9,24,6,1,0
139188202817559_1516732661729766,The world's oldest planetarium dates back to the 18th-century. It is located in the living room of a sweet canalside house in the Netherlands.😍,Discover the World's Oldest Functioning Planetarium,link,http://interestingengineering.com/discover-worlds-oldest-functioning-planetarium/,2017-04-24 20:45:00,777,17,157,699,30,47,0,1,0
139188202817559_1516732005063165,"Are you a frequent flyer? If yes, then you've probably noticed the swirls on aircraft engines. Let's find out what those marks are for!",Here's Why Airplane Engines Have White Spiral Marks on Them,link,http://interestingengineering.com/heres-why-airplane-engines-have-white-spiral-marks-on-them/,2017-04-24 17:30:00,1339,71,283,1289,13,33,3,0,1
139188202817559_1516503321752700,A robot gripper plays with a toy train by quickly removing and placing down the tracks just before the train passes by. 😂😂,Watching This Robot Gripper Place Track for a Toy Train Is Extremely Satisfying,link,http://interestingengineering.com/video/watching-robot-gripper-place-track-toy-train-extremely-satisfying/,2017-04-24 12:27:51,792,40,127,732,25,12,23,0,0
139188202817559_1516059798463719,"Kuwaiti designer Kawther Al Saffar has created mixed metal bowls called Dual Bowls, which combine sand-casting with a contemporary twist.",These Incredible Mixed Metal Bowls Revive the Lost Art of Sand-Casting,link,http://interestingengineering.com/incredible-mixed-metal-bowls-revive-lost-art-sand-casting/,2017-04-24 09:05:00,443,13,68,414,14,13,1,1,0
139188202817559_1516042101798822,Chinese company NIO released a sleek electric SUV that could rival the Tesla Model X. NIO also plans on debuting vehicles in the US in 2020.🤔,Chinese Startup's All-Electric SUV Could Give Tesla Serious Competition,link,http://interestingengineering.com/chinese-startups-all-electric-suv-could-give-tesla-serious-competition/,2017-04-24 06:05:00,612,66,101,531,11,50,19,0,1
139188202817559_1516025135133852,The compact and innovative PLUB block simplifies the listening experience by making any wired headphones into a wireless setup.,This Tiny Little Gadget Can Make Any Headphone Wireless,link,http://interestingengineering.com/plub-this-tiny-little-gadget-can-make-any-headphone-wireless/,2017-04-24 03:30:00,271,15,37,253,5,12,1,0,0
139188202817559_1515664921836540,The 1week 1project team has designed a jail ship called Panama Papers Jail. The design looks more luxurious rather than a prison cell.,This Prison Ship Looks More Like a Luxury Cruise Liner Than Jail,link,http://interestingengineering.com/prison-ship-looks-luxury-cruise-liner-than-jail/,2017-04-23 20:05:00,1280,142,319,1093,13,74,94,2,4
139188202817559_1515655605170805,This video definitely makes textbook physics principles exciting and intriguing if not outright harrowing for the faint of heart.,Brave Physicist Fires a Gun at Himself Underwater Because... Physics,link,http://interestingengineering.com/video/brave-physicist-fires-a-gun-at-himself-underwater-because-physics/,2017-04-23 17:02:08,2073,89,633,1809,34,186,42,0,2
139188202817559_1515591465177219,A team of scientists estimates over $17.2 billion was lost in the Deepwater Horizon explosion and oil spill in 2010 that killed 11 workers.,The Worst Oil Spill in U.S. History Caused Over $17 Billion in Global Damages,link,http://interestingengineering.com/researchers-calculate-massive-oil-spill-caused-nearly-17-billion-global-damages/,2017-04-23 15:22:03,759,77,134,525,6,37,3,109,79
139188202817559_1515430848526614,You can now pre-order AeroMobil's new flying car model with both driving and flying capabilities and expect it to be delivered in early 2020. 😍😍,"If You Have $1 Million to Spare, You Can Get This Flying Car by 2020",link,http://interestingengineering.com/if-you-have-1-million-to-spare-you-can-get-this-flying-car-by-2020/,2017-04-23 12:44:01,1067,70,308,960,37,59,6,4,1
139188202817559_1514925308577168,"The Tron Light Cycle, iconic, sleek and formerly condemned to exist only in the digital world created by ENCOM.. want one?😍",You Can Now Ride Your Very Own 'Tron' Light Cycle,link,http://interestingengineering.com/you-can-now-ride-your-very-own-tron-light-cycle/,2017-04-23 09:15:00,1352,57,247,1186,74,86,6,0,0
139188202817559_1514922395244126,"Jagadish Chandra Bose was a physicist, a biologist, a botanist, an archaeologist, an author, and a connoisseur of fine arts. 🙏",Jagadish Chandra Bose: The Father of Modern Wi-Fi,link,http://interestingengineering.com/jagadish-chandra-bose-father-modern-wi-fi/,2017-04-23 06:15:00,932,13,214,885,21,25,1,0,0
139188202817559_1514780505258315,"One Japanese twitter user has found a pretty ingenious way to stop your laptop from overheating, stack copper coins on it! 🙂",Solve Your Computer's Overheating Problem by Stacking Copper Coins on It,link,http://interestingengineering.com/solve-computers-overheating-problem-stacking-copper-coins/,2017-04-23 01:30:00,3800,349,974,3150,50,266,333,0,1
139188202817559_1514778371925195,The revolutionary 2-in-1 knife and cutting board that chops and slices your favorite foods in seconds!,Clever Cutter - Knife and Cutting Board In One,video,https://www.facebook.com/interestingengineering/videos/1514778371925195/,2017-04-22 23:53:19,2836,292,731,2642,64,82,41,5,2
139188202817559_1514554415280924,MIT has developed a series of apps called WaitSuite to help users learn a new language during their idle times.,This App Teaches You a New Language While You Wait for a Text Back,link,http://interestingengineering.com/mit-created-app-teaches-new-language-spare-time/,2017-04-22 22:15:00,408,17,126,375,17,13,3,0,0
139188202817559_1514552801947752,Learn about oil platform engineering and discover some of the highly bespoke and giant iceberg-like structures across the deep seas.😉,Check out These Gigantic Oil Platforms of the Seas,link,http://interestingengineering.com/check-gigantic-oil-platforms-of-the-seas/,2017-04-22 19:30:00,741,27,119,692,14,31,1,2,1
139188202817559_1514549231948109,"Who owns what ? See owners of the biggest automotive brands..
Update : Opel is now part of Peugeot Citroen , and Mitsubishi is a member of Renault-Nissan Alliance",Who owns what in the automotive industry ?,video,https://www.facebook.com/interestingengineering/videos/1514549231948109/,2017-04-22 17:37:36,9855,751,10536,9326,169,339,13,4,4
139188202817559_1514514261951606,A car enthusiast installed high-quality tires on his Honda S2000 and found that it performed better than an Alfa Romeo 4C. Via Engineering Explained,This Guy Shows Why You Should Never Go Cheap on Tires,link,http://interestingengineering.com/video/this-guy-shows-why-you-should-never-go-cheap-on-tires/,2017-04-22 16:37:22,611,67,142,592,9,7,3,0,0
