status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
273824104039_10155376994914040,"There is a battlefield. And tanks. The multiplayer is local, and you use a wheel controller, a headset, and a monitor. But this is unlike anything else you might've seen before.",Multiplayer Like You've Never Seen Before,link,http://trib.al/34GX14a,2017-04-29 07:30:35,105,8,27,92,3,6,4,0,0
273824104039_10155375647754040,"From almost-winless to toppling an undefeated team, SG just won one of the biggest upsets of the year in Dota 2.",The Lowest Seed In Dota's Kiev Major Just Beat The Top Team,link,http://trib.al/ufXnSfQ,2017-04-28 18:45:22,549,39,65,461,37,9,41,1,0
273824104039_10155375532734040,"KongDoo Panthera lost to Lunatic Hai's wild Genji plays, but they looked damn good doing it.",Not Even Excellent Outfits Can Save Overwatch Pros From Other Team's Genji,link,http://trib.al/IVNvrBe,2017-04-28 17:38:22,80,7,8,73,1,0,6,0,0
273824104039_10155374719384040,Saturday will mark nine years since GTA IV came out. And it still might have the best start of any game in the series.,GTA IV's Slow Opening Hours Were Also Some Of Its Best,link,http://trib.al/VlAWPdj,2017-04-28 11:57:01,1329,107,125,1163,145,18,3,0,0
273824104039_10155374586734040,YoDa will sit on the bench for three games after making derogatory comments about Japanese League players.,Brazilian League Player Suspended After Tweeting Racist Jokes,link,http://trib.al/NXphviR,2017-04-28 11:21:16,390,111,45,263,13,9,91,4,10
273824104039_10155374439949040,"Players are upset that the ban was announced two days after April's ""Banned and Restricted"" cards list.",Magic: The Gathering Issues Rare Emergency Card Ban,link,http://trib.al/en89XqE,2017-04-28 10:35:23,586,93,173,469,7,26,76,5,3
273824104039_10155374341329040,"The latest Highlight Reel features crossbow shots, plane bonks, casual teamkills in Rainbow 6 Siege, and much more!

Full list of sources here: http://bit.ly/2ppqMUQ",Highlight Reel #298,video,https://www.facebook.com/kotaku/videos/10155374341329040/,2017-04-28 10:02:19,233,13,17,196,6,1,30,0,0
273824104039_10155374079164040,"Fight For The Crown didn't do right by the burgeoning ""battle royale"" genre of esports.",Battle Royale Esports Are Still A Work In Progress,link,http://trib.al/8xJfnRT,2017-04-28 08:13:38,73,11,6,68,0,1,4,0,0
273824104039_10155372387319040,"Five years after her Kickstarter began, Anita Sarkeesian concludes her series about women in games with a video that has pros, cons and a look at how women--and men--fare as sidekicks in games.",'Tropes Vs. Women In Video Games' Wraps Up With A Final Episode,link,http://trib.al/yPC6kom,2017-04-27 17:31:11,533,274,60,306,32,3,117,6,69
273824104039_10155372169334040,"Disney isn't afraid to tell you about multiple upcoming Marvel and Star Wars movies, but game publishers' reluctance to speak beyond the next sequel can sometimes backfire badly.",The Call Of Duty People Could Have Leveled With Fans Last Year,link,http://trib.al/O3o2SgV,2017-04-27 16:01:45,465,45,32,440,3,4,17,0,1
273824104039_10155372084444040,"Little Nightmare's world is moody and imaginative. But if you've pushed one block, you've pushed 'em all.",Little Nightmares Is Fun But Predictable,link,http://trib.al/0OL1TGI,2017-04-27 15:29:11,70,5,2,66,3,1,0,0,0
273824104039_10155371758864040,No one has time to play everything. So here's some very specific advice in case you have to fake it.,How To Fake Your Way Through Conversations About The Hottest Video Games,link,http://trib.al/2AgDT51,2017-04-27 13:18:55,233,62,61,161,12,1,57,1,1
273824104039_10155371598764040,The Pirates of the Caribbean ride's greatest strength was its lack of a singular narrative--but adding a central character changed all that.,Jack Sparrow Ruined Disney's Pirates Of The Caribbean Ride,link,http://trib.al/6O87Azm,2017-04-27 12:28:36,874,176,102,642,11,8,139,16,58
273824104039_10155371233634040,"Today on the podcast we're talking Call of Duty WWII, LucasArts, Bethesda, and much more.",Podcast: Stories From LucasArts And Bethesda,link,http://trib.al/DY2ZS9k,2017-04-27 10:36:01,45,1,0,44,0,1,0,0,0
273824104039_10155371206784040,"What we played of Marvel vs Capcom Infinite was promising, and perhaps indicates a change of direction for a developer that's fumbled with other major releases.",Marvel vs. Capcom Infinite Wants Even Newbies To Have A Blast,link,http://trib.al/pDGQ425,2017-04-27 10:23:53,1213,78,230,1099,78,10,20,1,5
273824104039_10155369312869040,"Stefano ""Verbo"" Disalvo's parents didn't want him to go pro. When he wasn't allowed to play Overwatch, he had to get creative.",Teen Overwatch Player Goes Pro Despite Parents Taking Away His Internet,link,http://trib.al/To0XVb5,2017-04-26 18:56:50,1559,52,257,1268,100,19,170,2,0
273824104039_10155368171539040,"This week's indie pick is Scanner Sombre, a moody exploration game by the makes of Prison Architect.",Prison Architect Creators' New Game Lets You Paint Caves With Light,link,http://trib.al/CuYa4FS,2017-04-26 10:57:49,61,2,13,55,1,5,0,0,0
273824104039_10155367998159040,"Nintendo and McDonald's team up to sell more McDonald's, but that doesn't mean you have to eat it.",You Don't Have To Eat McDonald's To Get Super Mario Happy Meal Toys,link,http://trib.al/sdby54m,2017-04-26 09:46:10,1183,187,351,1015,92,53,23,0,0
273824104039_10155366087879040,"Conan's new dance emotes have some, uh, interesting interactions with dick physics (warning: definitely NSFW).",Conan Exiles Now Has Terrifying Dancing Dicks,link,http://trib.al/jFePqb9,2017-04-25 17:35:06,241,41,59,147,2,3,89,0,0
273824104039_10155366003744040,"""Hayven had fought epithelioid sarcoma, a rare and severe form of cancer that usually affects teenagers and young adults. You will always be missed Hayven, and although you lost to cancer, you have forever won our hearts.""",Beloved World Of Warcraft YouTuber Dies At Age 26,link,http://trib.al/kTeAm6E,2017-04-25 16:52:15,1716,56,186,638,22,39,4,1012,1
273824104039_10155365929404040,Planescape: Torment is full of strong writing and smart design. Heather breaks down the best moments in this critical video.,The Two Moments That Make Planescape: Torment A Masterpiece,link,http://trib.al/Uu1aK4e,2017-04-25 16:17:32,69,5,11,59,10,0,0,0,0
273824104039_10155365893119040,Adam Mudd created the malware when he was 16 and several thousand users have carried out an alleged 1.7 million attacks against services like Xbox Live.,Hacker Jailed Two Years For Making Software That Causes DDoS Attacks,link,http://trib.al/EUI2Zeo,2017-04-25 15:58:45,387,59,71,290,14,20,54,5,4
273824104039_10155365393479040,"Unlike a lot of the other obvious favorites for a title like this, the M1 was a real historical weapon, not the product of some video game studio's imagination.",The Best Video Game Gun,link,http://trib.al/9rAvMFZ,2017-04-25 12:17:36,398,117,53,364,27,2,5,0,0
