status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
426895610773497_1230853140377736,We prefer to meet agents or middlemen or dalals who are present in the office before we even meet any staff in the office.,How To Deal With Middlemen System Which Is Deeply Rooted In Our Government Procedures,link,https://thelogicalindian.com/story-feed/opinion/dalal-system-in-govt-offices/,2017-04-29 06:30:00,262,10,47,245,0,3,2,10,2
426895610773497_1231641023632281,"We conveniently ignore, ""is the amount/toll fee being collected is correct?"" , ""is the contractor not exceeding the period of toll collection ?"" , ""are they issuing the correct challan for the toll fee?""",Calculate Toll Tax Between Two Cities; Make Sure That You Are Paying Correct Amount,link,https://thelogicalindian.com/good-to-know/government-awareness/toll-plazas-info/,2017-04-29 00:30:00,259,11,59,248,3,8,0,0,0
426895610773497_1230977500365300,The fine imposed is a welcome move as the lake needs to be rid of pollutants and cleaned at the earliest.,Bengaluru: Contractor Fined Rs 5 Lakh For Dumping Waste Into The Bellandur Lake,link,https://thelogicalindian.com/news/bellandur-lake-contractor/,2017-04-29 00:00:00,2596,78,145,2321,22,12,75,15,151
426895610773497_1230990363697347,15-yr-old girl had absconded from home in July last year after falling in love with a 32-year-old man who used to work near her house.,Minor Children Can Choose To Not Live With Their Parents: Delhi High Court,link,https://thelogicalindian.com/story-feed/awareness/minor-children-can-choose-to-not-live-with-their-parents/,2017-04-28 16:30:00,206,18,25,169,1,3,10,5,18
426895610773497_1231343383662045,"People vote for the party who gives them more money, and they are failing to see their future for the next five years.","A 12-Year-Old Girl On Politics: Politicians Give A Lot Of Lectures, But Only Action Can Bring About Change",link,https://thelogicalindian.com/story-feed/get-inspired/politicians/,2017-04-28 15:30:00,314,6,34,300,13,1,0,0,0
426895610773497_1230990107030706,"From now, former CMs of Rajasthan who have served for five years will be entitled to a government bungalow, car, and other facilities for life.

Read to know the other benefits they and current MLAs will be getting.","Rajasthan Govt Increases Salaries & Allowances For All MLAs & Ministers, Know About It",link,https://thelogicalindian.com/news/rajasthan-govt-increases-salaries/,2017-04-28 15:00:00,289,20,57,199,2,0,22,1,65
426895610773497_1231051760357874,"""The truth is that the population bomb is being defused round the world. But the consumption bomb is still primed and ever more dangerous. It is over-consumption related to over-population that matters"" - Fred Pearce

The population of India is expected to rise to 2 billion by 2040. And with the economy growing rapidly, our consumption pattern is massively changing. 

Ten-twenty years from now, our wants were fewer. We bought clothes on occasions and ate food that was simpler. But as money in our hands in increasing, we buy more than required and spend more than needed. 

In our quest for comfort, we often forget that resources are limited. Over-consumption and wastage are degrading our environment - the air we breathe, and the water we consume - and it needs to be curbed. 

As individuals, what efforts do you think we can take to lead simpler lives? What efforts can we take to stop over-consumption and reduce wastage?

#LetsTalk",,status,,2017-04-28 08:45:00,333,63,45,325,4,2,1,1,0
426895610773497_1230796090383441,15-yr-old girl had absconded from home in July last year after falling in love with a 32-year-old man who used to work near her house.,Minor Children Can Choose To Not Live With Their Parents: Delhi High Court,link,https://thelogicalindian.com/story-feed/awareness/minor-children-can-choose-to-not-live-with-their-parents/,2017-04-28 04:00:00,915,75,67,678,8,30,103,22,74
426895610773497_1230837287045988,"From now, former CMs of Rajasthan who have served for five years will be entitled to a government bungalow, car, and other facilities for life.

Read to know the other benefits they and current MLAs will be getting.","Rajasthan Govt Increases Salaries & Allowances For All MLAs & Ministers, Know About It",link,https://thelogicalindian.com/news/rajasthan-govt-increases-salaries/,2017-04-28 02:41:54,3017,328,733,1459,9,32,451,42,1024
426895610773497_1230765670386483,"via - Sports Possible

With an exciting mix of players, we are hopefully in the process of making massive strides towards the ultimate goal of lifting the senior World Cup in 2018 and the Tokyo Olympics in 2020.",Will an experimental Indian team be crowned 'Sultans' of Azlan Shah?,link,https://thelogicalindian.com/story-feed/sports/azlan-shah-cup/,2017-04-28 01:28:07,352,2,6,343,8,1,0,0,0
