status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7245371700_10154675070291701,""" Maybe this ever-growing archive of police brutality caught on camera will help us realize that rioting is a symptom and not the illness.""",What Civilian Monitoring Of The Police Really Sees,link,http://on.mtv.com/2qg4Yep,2017-04-29 05:57:10,98,5,1,94,2,1,1,0,0
7245371700_10154674852036701,"Some small steps you can take to make a big impact on the environment, thanks to Lauren Singer.",How Did Lauren Singer Fit Five Years Of Trash Into A Single Mason Jar?,link,http://on.mtv.com/2qeNlhY,2017-04-29 02:53:26,134,1,3,130,1,0,2,0,1
7245371700_10154674817036701,The Maryland MC begins by rapping from the perspective of someone who wants to take their own life.,Logic's New Song With Alessia Cara Applauds Suicide Prevention Hotlines,link,http://on.mtv.com/2purC4R,2017-04-29 02:21:48,415,4,25,394,19,1,1,0,0
7245371700_10154674735201701,"Nearly a year into their relationship, the Season 4 alums are learning more and more about each other every day.",Is Mikameron's Relationship Disintegrating On Are You The One: Second Chances?,link,http://on.mtv.com/2oTQY8V,2017-04-29 01:11:17,222,4,1,219,1,0,2,0,0
7245371700_10154674581956701,"After supplying the beat for Selena Gomez's post-split brooding on ""It Ain't Me,"" Kygo has tapped his next A-list collaborator.",Is Kygo And Ellie Goulding's New Song The 'Closer' Of 2017?,link,http://on.mtv.com/2pulWI2,2017-04-29 00:05:17,641,8,7,599,35,1,5,1,0
7245371700_10154674534606701,"Liz Garcia's One Percent More Humid premiered at Tribeca this week, but it's been in the making for more than 15 years.",The Antidote To The 'Hideous Teen-Boy Gross-Out Comedy': A Conversation With Liz Garcia,link,http://on.mtv.com/2pu12Zz,2017-04-28 23:28:54,160,0,0,157,2,1,0,0,0
7245371700_10154674478501701,"""I ended up with a pretty simple but definitive narrative arc that highlights the cause in a sweet but quiet and confronting way.""",Kristen Stewart Teamed Up With Chvrches For An Intimate New Music Video,link,http://on.mtv.com/2oU9gad,2017-04-28 22:56:25,773,5,8,730,36,2,5,1,0
7245371700_10154674302546701,The muscle behind the Underdogs began to atrophy on this week's episode of The Challenge.,Can Nicole Win The Challenge Without Her Love Interest Laurel?,link,http://on.mtv.com/2oTbypT,2017-04-28 21:00:13,189,1,0,184,3,0,2,0,0
7245371700_10154674240686701,Victorious power couple Jade and Beck continue to be relationship goals four years after the finale.,Jade And Beck From Victorious Want To Be The Next Mr. And Mrs. Smith,link,http://on.mtv.com/2oU0yJa,2017-04-28 20:19:27,4687,27,149,4187,407,71,22,1,1
7245371700_10154674112736701,"Sylvan Esso invoke old-school video game synths and make skipped-CD noises sound beautiful on their latest album, ""What Now.""",Sylvan Esso And The Art Of Disassembly,link,http://on.mtv.com/2pcY2Ap,2017-04-28 19:05:21,243,2,0,212,26,3,1,0,1
7245371700_10154673660051701,"Psst, here's Adam Devine's lost Suicide Squad audition 🔪 Need more Adam? He's hosting the MTV Movie and TV Awards on Sunday, May 7th at 8/7c!",,video,https://www.facebook.com/MTV/videos/10154673660051701/,2017-04-28 15:06:58,306,5,9,262,25,4,15,0,0
