status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
177526890164_10158683852870165,"Bhagwan Basaveshwara's rich contribution towards social equality & emphasis on education & women empowerment are very much relevant today.

Focus on 'Sabka Saath, Sabka Vikas' is guided by the rich ideals of Bhagwan Basaveshwara & his dream of a prosperous & inclusive society.",Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158683852870165/?type=3,2017-04-29 04:10:13,77872,836,3337,76678,973,163,36,10,14
177526890164_10158683850980165,Delighted to have joined a programme to celebrate Basava Jayanthi.  Dedicated to the nation 23 volumes of Holy 'Vachanas' in 23 languages. This would further spread the rich thoughts of Bhagwan Basaveshwara.,Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158683850980165/?type=3,2017-04-29 04:09:12,32346,350,1463,31788,445,86,15,2,10
177526890164_10158680103905165,Held extensive discussions on ways to deepen India's ties with Cyprus during my meeting with President Νίκος Αναστασιάδης (Nicos Anastasiades).,Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158680103905165/?type=3,2017-04-28 08:56:30,82560,808,1668,81460,805,234,28,9,24
177526890164_10158678712675165,"जो हवाई चप्पल पहनकर घूमता है, वह हवाई जहाज में भी दिखना चाहिए, यह मेरा सपना है।",,video,https://www.facebook.com/narendramodi/videos/10158678712675165/,2017-04-28 00:47:27,71500,1924,8755,68992,1747,554,166,13,28
177526890164_10158675683980165,"Addressed a rally in Shimla. Himachal Pradesh is a 'Dev Bhoomi' & 'Veer Bhoomi' that has contributed greatly to India's growth. Spoke on Centre's efforts for Himachal's growth.

While Centre is taking strong steps to eliminate corruption, corruption is flourishing in Himachal. The state needs a non-corrupt Govt. http://nm-4.com/kds4",Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158675683980165/?type=3,2017-04-27 11:52:24,83553,956,1911,82088,973,417,40,8,27
177526890164_10158674246740165,"Will always remember Vinod Khanna as a popular actor, dedicated leader & a wonderful human. Pained by his demise. My condolences.",Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158674246740165/?type=3,2017-04-27 04:39:14,339415,3300,8903,317711,2921,176,95,18422,91
177526890164_10158673497025165,"Looking forward to being in Shimla, where I will flag off the first UDAN flight under Regional Connectivity Scheme, on Shimla-Delhi sector. Inaugural UDAN flights on Kadapa–Hyderabad and Nanded-Hyderabad sectors will also be flagged off. 

UDAN makes air travel accessible to a wider range of citizens & enhances connectivity with many more airports across India.",Photos from Narendra Modi's post,photo,https://www.facebook.com/narendramodi/photos/a.10156627257580165.1073741881.177526890164/10158673493915165/?type=3,2017-04-26 23:09:21,33396,682,1702,32665,508,199,10,3,11
177526890164_10158670632390165,"Today's PRAGATI session had extensive deliberations on railways, infrastructure projects & Swachhta Action Plans.  Discussed ways to improve uptake of immunisation programmes at districts where it is not happening at a quick enough pace.

On AMRUT Mission, highlighted ways through which latest technology can be invigorated in the efforts towards modernising our cities. 
http://nm-4.com/u8r4",PM's interaction through PRAGATI,link,http://nm-4.com/u8r4,2017-04-26 09:54:28,44414,777,1065,43819,443,117,17,2,16
177526890164_10158669698510165,Held comprehensive talks with PM Ranil Wickremesinghe on ways to strengthen India-Sri Lanka ties for the benefit of our citizens.,Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158669698510165/?type=3,2017-04-26 04:45:34,106562,999,2328,105086,1079,301,37,12,47
177526890164_10158669548665165,"Grateful to the people of Delhi for the faith in BJP. I laud the hardwork of the BJP Delhi team, which made the resounding MCD win possible.",,status,,2017-04-26 03:30:13,89455,2345,1810,86989,1916,361,118,12,59
177526890164_10158665976175165,Talked about India-Nepal relations during the telephone conversation with PM Pushpa Kamal Dahal 'Prachanda.' http://nm-4.com/s2r4,Nepal Prime Minister speaks to the Prime Minister on telephone,link,http://nm-4.com/s2r4,2017-04-25 09:12:53,54055,1186,1075,53377,467,118,29,11,53
177526890164_10158657056730165,During today's NITI Aayog meeting we had insightful & informative presentations on key issues. http://nm-4.com/ukr4.,"Presentations on NITI Aayog's work, GST, and raising agricultural income, made at meeting of Governing Council, NITI Aayog",link,http://nm-4.com/ukr4,2017-04-23 13:14:57,43281,1415,1037,42678,452,117,11,6,17
177526890164_10158645681550165,"At the core of the 'Reform, Perform and Transform' agenda are the political leadership, civil servants & public participation. 

Political will gives the impetus for reform & civil services set the tone to perform. And the power of Jan Bhagidari transforms. http://nm-4.com/4br4",Every Policy Must Be Outcome Centric: PM Modi on Civil Services Day,link,http://nm-4.com/4br4,2017-04-21 07:51:40,56150,1317,1454,55304,641,146,24,2,33
177526890164_10158645212335165,On #CivilServicesDay I congratulate all the civil servants across India who have served & are serving people in various capacities.,Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158645212335165/?type=3,2017-04-21 05:22:16,48952,821,1599,48156,601,146,18,4,28
177526890164_10158634931535165,From my Surat visit. Always humbled by the warmth and affection of the people of India.,Timeline Photos,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158634931535165/?type=3,2017-04-19 05:13:38,128836,1623,2367,126553,1741,397,71,12,62
177526890164_10158630717935165,We are honoured to welcome President Bidya Devi Bhandari of Nepal. Had fruitful talks with her.,Photos from Narendra Modi's post,photo,https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158630714590165/?type=3,2017-04-18 08:18:56,228292,1851,5552,225807,1775,501,97,22,90
177526890164_10158629754830165,"Empower yourself with all the latest news and information on your mobiles, via the 'Narendra Modi Mobile App.' Have you downloaded it yet? http://nm4.in/dnldapp",,video,https://www.facebook.com/narendramodi/videos/10158629754830165/,2017-04-18 03:47:25,19582,463,1145,19092,362,100,16,0,12
