status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
219012311450917_1503640076321461,The independent candidate caused a political earthquake last week when he emerged as the top challenger to far-right populist Marine Le Pen.,"Emmanuel Macron: The ""knight"" whose job it is to slay France's far-right party",link,http://trib.al/6Jmlvgd,2017-04-29 07:50:17,45,9,4,41,1,0,1,0,2
219012311450917_1503355213016614,"Following a terror alert outside the Houses of Parliament, London Met Police's deputy assistant commissioner Neil Basu described an ""extraordinary day"" with anti-terror arrests.","London terror threats thwarted, top terror cop says",link,http://trib.al/RyE2OY5,2017-04-29 01:00:39,68,1,5,67,0,0,0,1,0
219012311450917_1502988526386616,"The test comes a day after President Trump told Reuters in an interview that the U.S. and North Korea could be headed toward a ""major, major conflict.""","North Korea test-fires ballistic missile, U.S. official says",link,http://trib.al/zKzAzt2,2017-04-28 16:48:58,387,51,103,311,5,14,22,5,30
219012311450917_1502953569723445,"Spare a thought for employees at the Tate Modern and Tate Britain galleries  — including cleaners and security officers — who were told they might want to contribute money to buy a sailing boat for their $214,000-a-year boss.","Workers slam ""insensitive"" idea to chip in to buy boss a sailing boat",link,http://trib.al/FblZVgF,2017-04-28 16:01:29,50,4,10,22,0,4,12,1,11
219012311450917_1502830649735737,A woman was pulled over by her hair. Others ditched their shoes and attempted to escape by climbing over a balcony and sliding down an upturned piece of furniture.,Massive brawl engulfs Macedonia's parliament leaving at least 100 injured,link,http://trib.al/ipyY2s7,2017-04-28 13:31:13,56,12,3,50,0,1,1,1,3
219012311450917_1502803899738412,"A woman was shot and five people were arrested in the anti-terror raid in the northwest of the city, London's Metropolitan Police said in a statement.","""Active plot"" foiled as London police raid home amid heightened terror fears",link,http://trib.al/UExQg03,2017-04-28 13:01:22,104,7,18,89,0,3,0,5,7
219012311450917_1502732709745531,Secretary of State Rex Tillerson called for sanctions on countries trading with North Korea to pressure a dismantling of its nuclear program.,"Sec. Tillerson urges the UN Security Council to act ""before North Korea does""",link,http://trib.al/KuuUrSZ,2017-04-28 11:36:14,191,46,34,169,3,1,9,0,9
219012311450917_1502697043082431,Secretary of State Rex Tillerson will chair a special meeting of the United Nations Security Council where the focus will be on North Korea's growing nuclear threat.,U.S. keen to try sanctions and diplomacy before force on North Korea,link,http://trib.al/otICKYs,2017-04-28 11:01:05,276,12,29,267,1,3,0,1,4
219012311450917_1502642949754507,"Employees at one of the world's leading art galleries were told they might want to chip in to buy their boss, who makes $214,000, a sailing boat.","Workers slam ""insensitive"" idea to chip in to buy boss a boat",link,http://trib.al/QnR7u03,2017-04-28 10:07:09,189,23,30,72,2,12,58,3,42
219012311450917_1502580003094135,"Macedonia 's parliament erupted into chaos as demonstrators - mostly supporters of the country's dominant conservative party - invaded parliament and assaulted opposition lawmakers.

Police said 102 people were injured during the Thursday night violence following the election of a new parliament speaker. Social Democrat party leader Zoran Zaev was among the victims, along with 22 police officers.

Read more: http://nbcnews.to/2oQ4lWN",Violence erupts as nationalists storm Macedonian parliament,video,https://www.facebook.com/NBCNewsWorld/videos/1502580003094135/,2017-04-28 09:14:30,115,52,40,71,1,14,17,5,7
