status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
30702412762_10154799532352763,We have to follow peace that's good for our people and for #Pakistan and for India: #HamidKarzai,Former Afghan President speaks exclusively to NewsX,link,http://www.newsx.com/world/62539-former-afghan-president-speaks-exclusively-newsx,2017-04-29 08:50:51,1,0,0,1,0,0,0,0,0
30702412762_10154799522777763,"In a shocking case of medical negligence, a baby's head was severed during operation at a hospital in #Murshidabad district of Bengal.",Bengal horror! Newborn's head severed during delivery,link,http://www.newsx.com/national/62545-bengal-horror-newborns-head-severed-operation,2017-04-29 08:47:02,0,0,0,0,0,0,0,0,0
30702412762_10154799433552763,"LIVE — With AB de Villiers gone, can Virat Kohli rescue Royal Challengers Bangalore against Rising Pune Supergiant 

#Supergiants #RangWahiJungNayi #IPL #RPSvRCB #NoSharam #Dhoni #SteveSmith #ViratKohli #PlayBold #RPSvsRCB #RCB iPiccy Photo Editor Steve Smith MS Dhoni","LIVE — IPL 2017, RPS vs RCB: Rising Pune Supergiant vs Royal Challengers Bangalore",link,http://www.newsx.com/sports/62531-ipl-live-match-score-rps-vs-rcb-rising-pune-supergiant-royal-challengers-bangalore-online-video-streaming-virat-kohli-dhoni-steve-smith-de-villiers-cricket-update,2017-04-29 07:51:38,2,0,0,2,0,0,0,0,0
30702412762_10154799351402763,"LIVE — #IPL ALERT!

Rising Pune Supergiant restricted at 157/3 by disciplined Royal Challengers Bangalore bowlers

#Supergiants #RangWahiJungNayi #IPL #RPSvRCB #NoSharam #Dhoni #SteveSmith #ViratKohli #PlayBold #RPSvsRCB #RCB IPL - Indian Premier League Virat Kohli Steve Smith MS Dhoni","LIVE — IPL 2017, RPS vs RCB: Rising Pune Supergiant vs Royal Challengers Bangalore",link,http://www.newsx.com/sports/62531-ipl-live-match-score-rps-vs-rcb-rising-pune-supergiant-royal-challengers-bangalore-online-video-streaming-virat-kohli-dhoni-steve-smith-de-villiers-cricket-update,2017-04-29 07:03:56,3,1,0,2,1,0,0,0,0
30702412762_10154799236127763,#SonikaSingh died in the car accident while actor Vikram Chatterjee sustained injuries on the shoulder and head.,"Kolkata model Sonika Singh dies in car accident, actor Vikram Chatterjee injured",link,http://www.newsx.com/entertainment/62535-kolkata-model-sonika-singh-dies-car-accident-actor-vikram-chatterjee-injured,2017-04-29 06:16:43,5,0,0,5,0,0,0,0,0
30702412762_10154799198327763,"The first of its kind on Indian television, #NewsX launches a LIVE news show #CONNECT that integrates the digital media with mainstream television media.",CONNECT LIVE — Integrating digital media with mainstream TV media,link,http://www.newsx.com/tech/62536-connect-live-integrating-digital-media-mainstream-tv-media,2017-04-29 05:54:39,1,0,1,1,0,0,0,0,0
30702412762_10154799166087763,"LIVE — Royal Challengers Bangalore wins the toss, elects to bowl first against Rising Pune Supergiant

#Supergiants #RangWahiJungNayi #IPL #RPSvRCB #NoSharam #Dhoni #SteveSmith #ViratKohli #PlayBold #RPSvsRCB #RCB IPL - Indian Premier League Virat Kohli Steve Smith MS Dhoni","LIVE — IPL 2017, RPS vs RCB: Rising Pune Supergiant vs Royal Challengers Bangalore",link,http://www.newsx.com/sports/62531-ipl-live-match-score-rps-vs-rcb-rising-pune-supergiant-royal-challengers-bangalore-online-video-streaming-virat-kohli-dhoni-steve-smith-de-villiers-cricket-update,2017-04-29 05:24:59,2,0,0,2,0,0,0,0,0
30702412762_10154799150772763,"In a bizarre incident coming from #Bengaluru, a movie theatre played the second-half of the movie first.
#Baahubali2",Bengaluru theatre ruins 'Baahubali 2' suspense; plays second-half of movie first,link,http://www.newsx.com/entertainment/62534-bengaluru-theatre-ruins-baahubali-2-suspense-plays-second-half-movie-first,2017-04-29 05:11:17,4,0,0,3,0,0,0,1,0
30702412762_10154799136387763,"LIVE — It's Virat Kohli vs Steve Smith all over gain.

Royal Challengers Bangalore may be facing an early exit this #IPL season but #Kohli and camp will not ensure there is no freebie for Rising Pune Supergiant

Catch ball-by-ball update and in-depth analysis in our live-blog

#Supergiants #RangWahiJungNayi #IPL #RPSvRCB #NoSharam #Dhoni #SteveSmith #ViratKohli #PlayBold #RPSvsRCB #RCB IPL - Indian Premier League","LIVE — IPL 2017, RPS vs RCB: Rising Pune Supergiant vs Royal Challengers Bangalore",link,http://www.newsx.com/sports/62531-ipl-live-match-score-rps-vs-rcb-rising-pune-supergiant-royal-challengers-bangalore-online-video-streaming-virat-kohli-dhoni-steve-smith-de-villiers-cricket-update,2017-04-29 04:56:48,3,0,0,3,0,0,0,0,0
30702412762_10154799108387763,"#GulPanag becomes the first Indian woman to do drive Formula E #racecar 
Gul Panag - Official FB",Gul Panag drives Formula E race car — First Indian woman to do so,link,http://www.newsx.com/entertainment/62530-gul-panag-drives-formula-e-race-car-first-indian-woman,2017-04-29 04:32:50,1,0,0,1,0,0,0,0,0
