status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10643211755_10155566596811756,"She's got 3 questions she asks about African films, including: ""Are there Africans who are having fun?""",She Calls Her Movies 'Afro Bubble Gum Art',link,http://www.npr.org/sections/goatsandsoda/2017/04/29/526031278/she-calls-her-movies-afro-bubble-gum-art?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 08:52:00,24,1,5,24,0,0,0,0,0
10643211755_10155566367601756,"Opponents will tell you his presidency has been exactly what they expected, ""chaos."" Supporters still overwhelmingly love him.",Trump Continues To Have Staunch Supporters And Determined Opposition,link,http://www.npr.org/2017/04/29/526091739/trump-continues-to-have-staunch-supporters-and-determined-opposition?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 08:11:00,552,318,66,134,7,39,47,119,207
10643211755_10155566233106756,FDR signed a record 15 major pieces of legislation in those first 100 days. But it's not as simple as the legend would make it seem.,The First 100 Days: 'A Standard That Not Even Roosevelt Achieved',link,http://www.npr.org/2017/04/29/525810758/the-first-100-days-a-standard-that-not-even-roosevelt-achieved?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 07:20:00,152,35,27,142,1,6,2,0,1
10643211755_10155565764466756,Uber hopes to launch working prototypes by 2020 and to eventually reduce the cost so that it's comparable to an UberX ride.,Flying Cars Are (Still) Coming: Should We Believe The Hype?,link,http://www.npr.org/sections/alltechconsidered/2017/04/25/525540611/flying-cars-are-still-coming-should-we-believe-the-hype?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 06:30:00,112,38,41,91,0,7,11,0,3
10643211755_10155565710516756,"Sen. Mike Enzi told high school students that a man who wears a tutu to a bar ""kind of asks for"" a fight. He has since apologized.",Tutu Protests And Parties Break Out In Wyoming Over Senator's Remark,link,http://www.npr.org/sections/thetwo-way/2017/04/28/526073329/tutu-protests-and-parties-break-out-in-wyoming-over-senators-remark?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 05:40:00,7445,260,1144,5752,768,126,652,28,119
10643211755_10155565734316756,"""As with all Endless Boogie material, 'Back In '74' is wryly deliberate. ... It hits a stride from the first beat and provides a rich background for a countercultural, Raymond Carver-esque reminiscence.""",Endless Boogie's 'Back In '74' Chronicles KISS At A Kite Festival,link,http://www.npr.org/2017/04/28/525745629/songs-we-love-endless-boogie-back-in-74?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 04:41:00,42,5,7,41,1,0,0,0,0
10643211755_10155565718661756,"""If you take fusion in its literal sense, that happened at least 30 years before that happened in the '70s, and it started with Dizzy Gillespie and Chano Pozo.""",Radical Grooves And Hometown Heroes: Cuba's Lasting Jazz Legacy,link,http://www.npr.org/2017/04/28/526017295/radical-grooves-and-hometown-heroes-cubas-lasting-jazz-legacy?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170429,2017-04-29 03:41:00,194,7,50,176,17,1,0,0,0
10643211755_10155564951176756,"Frederick Wiseman's controversial 1967 documentary ""Titicut Follies"" exposed conditions at Bridgewater State Hospital in Massachusetts. Fifty years later, the filmmaker, now 87, has adapted it to dance.",A Haunting '60s Film About Mental Illness And Incarceration Becomes A Ballet,link,http://www.npr.org/2017/04/28/526019758/a-haunting-60s-film-about-mental-illness-and-incarceration-becomes-a-ballet?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-29 00:30:00,331,16,65,280,20,31,0,0,0
10643211755_10155564662631756,"""As a longtime Silicon Valley correspondent, I have to say, there is a lot that this comic and spooky film gets right,"" says NPR's Laura Sydell.","In 'The Circle', What We Give Up When We Share Ourselves",link,http://www.npr.org/sections/alltechconsidered/2017/04/28/525916707/in-the-circle-what-we-give-up-when-we-share-ourselves?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 23:30:00,1145,43,239,1080,23,42,1,0,0
10643211755_10155564917346756,"Princess Barbare Jorjadze is renowned for her cookbook. But she spent most of her life writing letters, poems and essays to fight for a greater public role for Georgian women.",19th Century Princess And Cookbook Author Was Also Georgia's First Feminist,link,http://www.npr.org/sections/thesalt/2017/04/28/524404924/19th-century-princess-and-cookbook-author-was-also-georgias-first-feminist?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 22:45:00,824,18,201,763,47,14,0,0,0
10643211755_10155564910571756,"In ""Latin History for Morons,"" John Leguizamo wears tweed, issues demerits and wields chalk like a magic wand, with the occasional samba break thrown in, all to highlight lost moments in Latin American history.",Actor John Leguizamo's Career Goal: To Give Latino Kids Their Own Heroes,link,http://www.npr.org/2017/04/12/523631629/actor-john-leguizamo-s-career-goal-to-give-latino-kids-their-own-heroes?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 22:15:00,11998,137,1599,10512,1441,32,17,1,1
10643211755_10155564734751756,"In 2004, Michael Yandell was a U.S. Army bomb tech during Operation Iraqi Freedom when he and his partner were exposed to sarin. Almost 13 years later, he talks about the experience with his wife for StoryCorps.",One Soldier's Lasting Memories Of Sarin Exposure,link,http://www.npr.org/2017/04/28/525879416/one-soldiers-lasting-memories-of-exposure-to-sarin-gas?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 21:45:00,670,17,142,377,7,68,1,215,2
10643211755_10155564652876756,"Gorillaz new album, ""Humanz,"" captures our world in a kindred transition between the darkness of a capitalistic/oligarchical present so obsessed with profit it renders the future meaningless, and true enlightenment, writes Barry Walters.",Gorillaz Are Human After All,link,http://www.npr.org/sections/therecord/2017/04/27/525865275/gorillaz-are-human-after-all?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 21:15:00,3406,101,729,3003,370,28,5,0,0
10643211755_10155564685536756,"If you're planning to travel to an area where the CDC recommends being inoculated against yellow fever, you'd better try to get the vaccine now. ""And if you can't get it, then you should postpone your trip,"" the CDC says.",U.S. Supply Of Yellow Fever Vaccine Will Run Out By Midsummer,link,http://www.npr.org/sections/health-shots/2017/04/28/526067401/u-s-supply-of-yellow-fever-vaccine-will-run-out-by-midsummer?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 20:45:00,1698,233,1464,622,2,847,10,186,31
10643211755_10155563520531756,Pre-hospice care is designed to give elderly patients treatment at home so they can stay out of the hospital as long as possible.,"For Some, Pre-Hospice Care Can Be A Good Alternative To Hospitals",link,http://www.npr.org/sections/health-shots/2017/04/28/524512767/for-some-pre-hospice-care-can-be-a-good-alternative-to-hospitals?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 20:16:00,1973,46,471,1825,144,4,0,0,0
10643211755_10155564941281756,The Defense Department says it is investigating the possibility that two service members were killed by friendly fire during a raid on ISIS leaders in eastern Afghanistan this week.,The Pentagon Investigates Possible Friendly Fire Deaths In Afghanistan,link,http://www.npr.org/sections/thetwo-way/2017/04/28/526117060/the-pentagon-investigates-possible-friendly-fire-deaths-in-afghanistan?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 19:46:00,496,38,52,78,1,36,2,353,26
10643211755_10155564616956756,"So what, exactly, did the Women's March accomplish? It doesn't make sense to expect major political change just yet, says one political scientist.","100 Days In, Women's March Still Inspires. But Can The Enthusiasm Hold?",link,http://www.npr.org/2017/04/28/525764938/100-days-in-womens-march-still-inspires-but-can-the-enthusiasm-hold?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20170428,2017-04-28 19:18:00,568,148,49,506,45,0,17,0,0
