status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5281959998_10151155827254999,Interested in only painting? We have those shows. Looking for art reflecting the fraught politics of our time? We have those too.,47 Galleries That Bring You the Art of Now,link,https://www.nytimes.com/2017/04/27/arts/design/47-galleries-that-bring-you-the-art-of-now.html?smid=fb-nytimes&smtyp=cur,2017-04-29 08:55:00,36,7,6,33,2,0,1,0,0
5281959998_10151154755784999,"Forget the neck pillow; Anthony Bourdain advises travelers to bring a ""scrunchable lightweight down jacket"" instead.",What Anthony Bourdain Can't Travel Without,link,https://www.nytimes.com/2017/04/26/travel/anthony-bourdain-foodie-travel-advice.html?smid=fb-nytimes&smtyp=cur&smvar=wknd,2017-04-29 08:25:00,423,42,68,406,13,5,0,0,0
5281959998_10151156176184999,"The inevitable question for Theo Epstein: If he was able to turn around two of the most enduring losers in American sports and make them champions, what can't he do?","Theo Epstein, Conquering Hero, Returns With Chicago Cubs to Fenway Park",link,https://www.nytimes.com/2017/04/28/sports/baseball/theo-epstein-chicago-cubs-boston-red-sox.html?smid=fb-nytimes&smtyp=cur,2017-04-29 07:55:00,133,18,14,132,1,0,0,0,0
5281959998_10151154716369999,"Clothing. Cars. Computers. Even when a product is manufactured in the U.S., it's typically made up of parts and pieces from around the world.",How Deals Like Nafta Have Affected U.S. Trade,link,https://www.nytimes.com/interactive/2016/12/02/business/economy/globalties-exports-imports.html?smid=fb-nytimes&smtyp=cur,2017-04-29 07:25:00,246,18,86,230,3,1,2,9,1
5281959998_10151156278794999,Trying to find differing perspectives worth your time is hard. That's why we have scoured the internet for political writing from the right and left that you might not have seen.,Right and Left: Partisan Writing You Shouldn't Miss,link,https://www.nytimes.com/2017/04/28/us/politics/right-and-left-partisan-writing-you-shouldnt-miss.html?smid=fb-nytimes&smtyp=cur,2017-04-29 06:49:00,362,21,90,344,12,3,1,1,2
5281959998_10151152866269999,"James Beard, the father of modern American cookery, once asked, ""Where would we be without salt?"" 

The answer: adrift in a sea of blandness.",The Single Most Important Ingredient,link,https://www.nytimes.com/2017/04/25/dining/how-to-season-food-with-salt.html?smid=fb-nytimes&smtyp=cur&smvar=wknd,2017-04-29 06:25:00,417,56,107,396,19,3,0,0,0
5281959998_10151153594979999,"Did you think Mark Twain said, ""a lie can travel halfway around the world while the truth is still putting on its shoes?"" You're not the only one.",That Wasn't Twain: How a Misquotation Is Born,link,https://www.nytimes.com/2017/04/26/books/famous-misquotations.html?smid=fb-nytimes&smtyp=cur,2017-04-29 05:25:00,242,18,63,223,12,1,5,1,0
5281959998_10151152958189999,"After almost 20 years together, discovering new territory is what keeps Phoenix inspired. ""The landscape is too wide, and we're having too much fun to stop.""","Phoenix's New Album Arrives in a Darker World, but the Beat Goes On",link,https://www.nytimes.com/2017/04/24/arts/music/phoenix-ti-amo-interview.html?smid=fb-nytimes&smtyp=cur&smvar=wknd,2017-04-29 03:25:00,345,27,20,323,22,0,0,0,0
5281959998_10151153737404999,"While some parents are glad to be free of having to make such arrangements, not everyone is thrilled.",Travel Agents for Youth Sports Teams? Not All See It as a Perk,link,https://www.nytimes.com/2017/04/26/business/smallbusiness/27entrepreneurship-youth-sports-team-travel.html?smid=fb-nytimes&smtyp=cur,2017-04-29 02:25:00,102,18,7,97,3,2,0,0,0
5281959998_10151152630249999,"In this portrait series, New York's abuelas present themselves as stoic, proud, happy or sexy.","Far From Mexico, These Abuelas Keep it Close to Their Hearts",link,https://lens.blogs.nytimes.com/2017/04/25/far-from-mexico-but-close-to-their-hearts/?smid=fb-nytimes&smtyp=cur&smvar=wknd,2017-04-29 01:25:00,438,18,81,381,53,1,3,0,0
5281959998_10151155985004999,"Behind the scenes with the photographer Erik Madigan Heck as he captured a model in Rei Kawakubo's fall 2017 collection.

Read about the 74-year-old force behind the avant-garde label Comme des Garçons: http://nyti.ms/2oUpVui",Behind the Scenes with The New York Times Magazine,video,https://www.facebook.com/nytimes/videos/10151155985004999/,2017-04-29 00:55:00,289,58,58,258,11,12,5,3,1
5281959998_10151156196349999,Elated about moving in together? Who will stay in the event of a breakup? Who will pay any fees or taxes? Time for a plan.,What I Wish I'd Known Before Moving in Together,link,https://www.nytimes.com/2017/04/28/realestate/what-i-wish-id-known-before-moving-in-together.html?smid=fb-nytimes&smtyp=cur,2017-04-28 23:55:00,473,49,97,443,17,8,3,0,2
5281959998_1853654814852032,A whirlwind tour of the triumphs and setbacks that marked the first 100 days of Donald J. Trump's presidency.,The Trump Administration: 100 Days in 2 Minutes,video,https://www.facebook.com/nytimes/videos/1853654814852032/,2017-04-28 23:12:00,802,175,146,347,13,21,202,23,196
5281959998_10151156158699999,"""Thank you for the privilege of serving you for 20 years. Would that I had done it better.""",2 Choate Life Trustees Resign Amid Sexual Abuse Investigation,link,https://www.nytimes.com/2017/04/28/nyregion/choate-life-trustees-resign-sex-abuse.html?smid=fb-nytimes&smtyp=cur,2017-04-28 22:55:00,173,19,18,132,3,8,3,11,16
5281959998_10151156157909999,"George Takei in The New York Times Opinion Section: ""I was 5 years old at the beginning of our internment in Arkansas. I remember every school morning reciting the Pledge of Allegiance, my eyes upon the stars and stripes of the flag, but at the same time I could see from the window the barbed wire and the sentry towers where guards kept guns trained on us.""","Opinion | George Takei: Internment, America's Great Mistake",link,https://www.nytimes.com/2017/04/28/opinion/george-takei-japanese-internment-americas-great-mistake.html?smid=fb-nytimes&smtyp=cur,2017-04-28 22:25:00,4076,111,940,2316,133,37,6,1535,50
5281959998_10151156084619999,"""Demagogic forms of populism are on the rise. These certainly do not help to consolidate peace and stability. No incitement to violence will guarantee peace, and every unilateral action that does not promote constructive and shared processes is in reality a gift to the proponents of radicalism."" —Pope Francis","Pope Francis, in Egypt, Delivers a Blunt Message on Violence and Religion",link,https://www.nytimes.com/2017/04/28/world/middleeast/pope-francis-muslims-egypt.html?smid=fb-nytimes&smtyp=cur,2017-04-28 21:25:00,2546,72,553,2244,262,27,3,10,0
5281959998_10151155475449999,Emma Watson has to spend way too much time looking concerned while staring at various screens. And Tom Hanks doesn't have much to do.,"Review: In 'The Circle,' Click Here if You Think You're Being Watched",link,https://www.nytimes.com/2017/04/27/movies/the-circle-review-emma-watson-tom-hanks.html?smid=fb-nytimes&smtyp=cur,2017-04-28 20:55:00,312,23,19,283,14,4,11,0,0
5281959998_10151156087434999,"As President Donald J. Trump took the stage at an NRA convention, Senator Chris Murphy took to Twitter and shared the names, ages and pictures of gun violence victims.",Senator Responds to Trump's N.R.A. Speech With Photos of Shooting Victims,link,https://www.nytimes.com/2017/04/28/us/politics/christopher-murphy-guns-trump.html?smid=fb-nytimes&smtyp=cur,2017-04-28 20:35:00,31840,833,3065,26819,2286,170,25,2379,170
5281959998_10151155980359999,"In the Senate, legislators have appeared to stop trying. In the House, not even a healthy Republican majority has proved enough.",Congress at 100 Days: Frenetic Action but Few Accomplishments,link,https://www.nytimes.com/2017/04/28/us/politics/congress-100-days-trump.html?smid=fb-nytimes&smtyp=cur,2017-04-28 20:25:00,553,63,64,315,7,22,126,18,65
5281959998_10151156068719999,The ruling has brought the United Methodist Church's 13-million-member denomination to the brink of schism.,Methodist High Court Rejects First Openly Gay Bishop's Consecration,link,https://www.nytimes.com/2017/04/28/us/methodist-high-court-rejects-first-gay-bishops-consecration.html?smid=fb-nytimes&smtyp=cur,2017-04-28 19:55:00,2710,320,581,497,17,94,13,1119,970
5281959998_10151156000469999,"Saying goodbye to Firefighter William N. Tolley, a 14-year veteran of the New York City Fire Department (FDNY).",New York Firefighters Say a Final Goodbye to a Brother in Blue,link,https://www.nytimes.com/2017/04/27/nyregion/new-york-firefighters-say-a-final-goodbye-to-a-brother-in-blue.html?smid=fb-nytimes&smtyp=cur,2017-04-28 18:55:00,618,16,42,333,39,3,0,243,0
5281959998_10151156011834999,"The clock is ticking. As early as Tuesday, television and movie writers could go on strike.","As Hollywood Writers' Contract Ends, Studios Are More Vulnerable",link,https://www.nytimes.com/2017/04/28/business/media/strike-hollywood-writers-studios.html?smid=fb-nytimes&smtyp=cur,2017-04-28 18:25:00,134,39,35,102,5,17,2,8,0
5281959998_10151155980274999,We did the math. President Donald J. Trump could save tens of millions of dollars in a single year under his proposed changes to the tax code.,Trump Could Save Tens of Millions of Dollars in One Year Under His Proposed Tax Plan,link,https://www.nytimes.com/interactive/2017/04/28/us/politics/trump-savings-tax-plan.html?smid=fb-nytimes&smtyp=cur,2017-04-28 17:55:00,6186,492,2117,1599,17,443,143,95,3891
5281959998_10151155946639999,"Breaking News: A North Korean missile test has sputtered, the second failure this month, as the U.S. and China seek to curb the North's military aims.",A New North Korean Missile Test Ends in Failure,link,https://www.nytimes.com/2017/04/28/world/asia/north-korea-missile-test.html?smid=fb-nytimes&smtyp=cur,2017-04-28 16:58:55,734,103,232,502,10,99,86,13,24
5281959998_10151155762454999,"The firing of acting attorney general Sally Yates.
The White House barring media outlets. 
The Syrian chemical attack.

Our reporters relive Donald J. Trump's first 100 days.",Our White House Reporters Recall Their Most Vivid Moments of Trump's First 100 Days,link,https://www.nytimes.com/2017/04/28/us/politics/trump-white-house-first-100-days-new-york-times-reporters.html?smid=fb-nytimes&smtyp=cur,2017-04-28 15:55:00,273,49,60,195,5,8,3,7,55
5281959998_10151155583839999,"With the FIFA World Cup on its doorstep, Russia is cracking down hard on its soccer hooligans.",Russian Hooligans' Toughest Opponents? Russia's Police,link,https://www.nytimes.com/2017/04/28/sports/soccer/russian-hooligans-toughest-opponents-russias-police.html?smid=fb-nytimes&smtyp=cur,2017-04-28 14:40:00,138,24,20,116,6,1,12,0,3
5281959998_10151155728384999,"That ""10 concerts I've been to"" meme? It could also be used by marketers to target ads or by hackers to breach your account.",'10 Concerts' Facebook Meme May Reveal More Than Musical Tastes,link,https://www.nytimes.com/2017/04/28/technology/10-concerts-facebook-meme-may-reveal-more-than-musical-tastes.html?smid=fb-nytimes&smtyp=cur,2017-04-28 13:55:00,1329,141,2065,935,9,201,155,12,17
5281959998_10151155768574999,"Liev Schreiber is here to talk about his new film, ""Chuck,"" playing in the Tribeca Film Festival. Submit your questions below, and NYT movies editor Mekado Murphy will ask some.","Liev Schreiber on his new film, ""Chuck""",video,https://www.facebook.com/nytimes/videos/10151155768574999/,2017-04-28 13:48:40,782,211,50,613,155,9,4,0,1
5281959998_10151155711234999,"""We still have Flint, Ferguson, all those places nothing has changed. The oppression is deep rooted and it doesn't go away. History has a way of repeating itself.""

Were you in Los Angeles during the riots? If so, what do you remember?",The L.A. Riots 25 Years Later: A Return to the Epicenter,link,https://www.nytimes.com/2017/04/28/us/la-riots-rodney-king-south-central-1992.html?smid=fb-nytimes&smtyp=cur,2017-04-28 13:25:00,237,41,56,178,3,2,2,44,9
5281959998_10151155598799999,What if part of your job became teaching a computer everything you know about doing someone's job — perhaps your own?,Meet the People Who Train the Robots (to Do Their Own Jobs),link,https://www.nytimes.com/2017/04/28/technology/meet-the-people-who-train-the-robots-to-do-their-own-jobs.html?smid=fb-nytimes&smtyp=cur,2017-04-28 13:05:00,184,23,48,158,6,11,1,7,1
5281959998_10151155738414999,Breaking News: The NSA is halting part of its warrantless spying: collecting Americans' emails sent overseas that merely mention foreign targets.,N.S.A. Halts Collection of Americans' Emails About Foreign Targets,link,https://www.nytimes.com/2017/04/28/us/politics/nsa-surveillance-terrorism-privacy.html?smid=fb-nytimes&smtyp=cur,2017-04-28 12:47:18,290,44,77,239,4,30,5,1,11
5281959998_10151155660289999,It was supposed to be an opulent festival in the Bahamas. But Fyre Festival descended into dysfunction and disarray as soon as it started.,"Fyre Festival, a Luxury Music Weekend, Crumbles in the Bahamas",link,https://www.nytimes.com/2017/04/28/arts/music/fyre-festival-ja-rule-bahamas.html?smid=fb-nytimes&smtyp=cur,2017-04-28 11:55:00,891,140,125,501,15,49,318,5,3
5281959998_10151155459939999,"President Donald J. Trump will be the first sitting president since Ronald Reagan to address the NRA's annual convention, which spent over $30 million to help get him elected.",Trump to Tell N.R.A. in Person: Thank You,link,https://www.nytimes.com/2017/04/28/us/politics/donald-trump-nra.html?smid=fb-nytimes&smtyp=cur,2017-04-28 11:25:00,4224,544,582,561,25,171,85,178,3204
5281959998_10151155654879999,"We're live with Matt Walsh, who plays a White House press secretary on the HBO show VEEP. He's in Washington ahead of President Donald J. Trump's 100 day mark, chatting with NYT White House reporter Julie Hirschfeld Davis. Leave your questions in the comments, and we'll ask some.",Matt Walsh at U.S. Capitol Building,video,https://www.facebook.com/nytimes/videos/10151155654879999/,2017-04-28 11:15:52,572,228,81,480,57,7,25,1,2
5281959998_10151155648924999,The U.S. government will not shut down this weekend. Congress gave itself an extra week to finalize a long-term spending deal.,Congress Approves Stopgap Funding Measure to Avert Government Shutdown,link,https://www.nytimes.com/2017/04/28/us/politics/congress-government-funding-stopgap.html?smid=fb-nytimes&smtyp=cur,2017-04-28 11:05:56,370,140,67,210,2,10,96,6,46
5281959998_10151155437564999,"""I have strong thoughts as a woman and what I can do on my own. It's like I am being reborn here,"" said a Syrian refugee in Germany.","Three Syrian Sisters, No Men and a World of New Gender Mores",link,https://www.nytimes.com/interactive/2017/04/28/world/europe/syrian-refugees-weimar-germany-women.html?smid=fb-nytimes&smtyp=cur,2017-04-28 10:55:00,1319,31,101,1194,110,12,1,2,0
5281959998_10151155591419999,Analysis: The most likely explanation for President Trump's comments on North Korea is that he simply reverted to an old habit.,Trump on North Korea: Tactic? 'Madman Theory'? Or Just Mixed Messages?,link,https://www.nytimes.com/2017/04/28/world/asia/trump-kim-jong-un-north-korean.html?smid=fb-nytimes&smtyp=cur,2017-04-28 10:25:00,497,218,82,254,4,27,42,16,154
5281959998_10151155529634999,"Rikers Island was in crisis. But the man hired to reform it was away for a quarter of 2016 — often in Maine, by way of his city-owned car.","Chaos at Rikers, but City Jails Chief Was Gone for 90 Days",link,https://www.nytimes.com/2017/04/28/nyregion/new-york-correction-commissioner-joseph-ponte-reprimand.html?smid=fb-nytimes&smtyp=cur,2017-04-28 09:27:00,385,42,64,161,1,47,4,8,164
5281959998_1853379434879570,"The Times spent months with several Syrian refugee families as they navigated integration into Weimar, Germany. In 360, step inside the home of Sarah, a German, and Omar, a refugee, to see how they are adjusting. Read more: http://nyti.ms/2oBCGh6","At Home With Omar and Sarah, a Syrian Refugee Story",video,https://www.facebook.com/nytimes/videos/1853379434879570/,2017-04-28 09:10:01,418,51,44,362,43,9,1,1,2
5281959998_10151155495589999,"The government just released that the gross domestic product (G.D.P.), or the value of the nation's total output, for the first quarter of 2017 is the slowest quarterly growth rate in 3 years. The first quarter has repeatedly been slow in the current recovery with growth picking up speed later in the year. NYT reporter Nelson Schwartz is here to explain what's going on. Leave your questions in the comments, and he'll answer some.",G.D.P. 2017 Q1,video,https://www.facebook.com/nytimes/videos/10151155495589999/,2017-04-28 08:38:46,630,235,204,447,16,79,18,16,55
5281959998_10151155472934999,"""I loved my previous life,"" Donald J. Trump told Reuters. ""I had so many things going. This is more work than in my previous life. I thought it would be easier.""",Trump on Being President: 'I Thought It Would Be Easier',link,https://www.nytimes.com/2017/04/28/us/politics/trump-interview-quotes.html?smid=fb-nytimes&smtyp=cur,2017-04-28 08:25:00,45714,7714,15301,11359,108,2304,21106,836,10003
5281959998_10151155468249999,Missed the NFL draft last night? Here's a look at how each team fared in the first round.,N.F.L. Draft: Analysis of Every Pick in Round 1,link,https://www.nytimes.com/2017/04/27/sports/nfl-draft-round-1.html?smid=fb-nytimes&smtyp=cur,2017-04-28 08:11:04,64,9,8,58,3,0,2,0,1
5281959998_10151155435864999,"From The New York Times Opinion Section: ""What we're looking at here isn't policy; it's pieces of paper whose goal is to soothe the big man's temper tantrums. Unfortunately, we may all pay the price of his therapy.""",Opinion | Living in the Trump Zone,link,https://www.nytimes.com/2017/04/28/opinion/living-in-the-trump-zone.html?smid=fb-nytimes&smtyp=cur,2017-04-28 07:55:00,5167,277,1908,3519,31,113,59,626,819
5281959998_10151155454769999,"Breaking News: The U.S. economy grew at a sluggish 0.7% rate to start 2017, the weakest quarterly showing in 3 years.",U.S. Economy Grew at 0.7% Rate in First Quarter,link,https://www.nytimes.com/2017/04/28/business/economy/economy-gross-domestic-product-first-quarter.html?smid=fb-nytimes&smtyp=cur,2017-04-28 07:38:27,3496,550,1672,1751,9,550,803,240,143
5281959998_10151155443949999,"Pope Francis has arrived in Egypt, where many Christians live in fear. Follow for live updates from his 2-day visit.","Pope Francis Arrives in Cairo, Bearing Message of Peace",link,https://www.nytimes.com/2017/04/28/world/middleeast/pope-francis-egypt.html?smid=fb-nytimes&smtyp=cur,2017-04-28 07:24:44,1365,195,277,1124,189,35,5,5,7
5281959998_10151155401979999,Humpback whales have been dying in extraordinary numbers along the Eastern Seaboard since the beginning of last year.,Mass Die-Off of Whales in Atlantic Is Being Investigated,link,https://www.nytimes.com/2017/04/27/climate/whales-atlantic-mass-dieoff-noaa.html?smid=fb-nytimes&smtyp=cur,2017-04-28 06:50:00,2639,102,405,459,2,173,0,1915,90
5281959998_10151155407664999,What we can learn about the Donald J. Trump administration from the taxes it would cut.,'The Daily': The Tax Plan Explained,link,https://www.nytimes.com/2017/04/28/podcasts/the-daily/trump-tax-plan-sheryl-sandberg.html?smid=fb-nytimes&smtyp=cur,2017-04-28 06:00:00,175,52,41,102,2,3,2,7,59
5281959998_10151155401549999,"The man was arrested on suspicion of the commission, preparation and instigation of acts of terrorism, the police said.",Man Outside U.K. Parliament Carrying Knives Is Arrested,link,https://www.nytimes.com/2017/04/27/world/europe/uk-parliament-arrest.html?smid=fb-nytimes&smtyp=cur,2017-04-28 05:38:22,192,28,13,161,2,14,2,4,9
5281959998_10151155399364999,"""Both sides will need to change."" Times reporters have documented how Syrian refugees are adapting to one German city — and vice versa.",Welcome to Weimar,link,https://www.nytimes.com/interactive/2017/04/28/world/europe/weimar-germany-syrian-refugees.html?smid=fb-nytimes&smtyp=cur,2017-04-28 05:25:38,322,56,80,311,7,1,1,1,1
5281959998_10151155367304999,"As a lawmaker in the European Parliament, Marine Le Pen misses votes, mocks the process and cheers for the demise of the EU. But she is willing to accept a salary of 101,808 euros.","Far-Right Leaders Loathe the European Parliament, but Love Its Paychecks",link,https://www.nytimes.com/2017/04/27/world/europe/marine-le-pen-european-parliament.html?smid=fb-nytimes&smtyp=cur,2017-04-28 04:55:00,3242,230,763,1727,10,102,298,40,1066
5281959998_10151155377469999,"A video showed one member of the Social Democrats, Radmila Sekerinska, being grabbed by her hair and tossed backward.","Zoran Zaev, Macedonian Lawmaker, Is Bloodied in Attack on Parliament by Nationalists",link,https://www.nytimes.com/2017/04/27/world/europe/macedonia-parliament-attacked-nationalists.html?smid=fb-nytimes&smtyp=cur,2017-04-28 04:25:00,777,66,136,408,8,64,9,122,166
5281959998_10151155379154999,"""I was his oldest friend, and I did something Truman could not forgive: I wrote a novel that sold,"" Harper Lee wrote about Truman Capote in a private letter.","In Harper Lee's Letters: Books, Fame and a 'Lying' Capote",link,https://www.nytimes.com/2017/04/28/arts/in-harper-lees-letters-books-fame-and-a-lying-capote.html?smid=fb-nytimes&smtyp=cur,2017-04-28 04:15:44,1476,52,358,1327,53,86,5,5,0
5281959998_10151155347344999,"A condemned man experienced ""coughing, convulsing, lurching, jerking"" after the state administered midazolam, the first of three lethal injection drugs.","After Arkansas Execution, Questions Are Raised About Drug's Effectiveness",link,https://www.nytimes.com/2017/04/28/us/arkansas-execution-midazolam-lethal-injection.html?smid=fb-nytimes&smtyp=cur,2017-04-28 03:25:00,544,524,117,225,14,12,28,103,162
5281959998_10151155045554999,"Liu Xiyu, a real estate executive in Beijing, still lacks the convenience he says he most wants in life: a U.S. green card.",Wealthy Chinese Scramble for Imperiled Commodity: U.S. 'Golden Visa',link,https://www.nytimes.com/2017/04/27/world/asia/china-eb-5-golden-visa.html?smid=fb-nytimes&smtyp=cur,2017-04-28 00:55:00,287,39,65,227,7,23,25,2,3
5281959998_10151155129164999,"A resolution extended a ""heartfelt apology"" for their mistreatment and wrongful convictions and urged Florida's governor to grant them full pardons.","Florida Apologizes for 'Gross Injustices' to Four Black Men, Decades Later",link,https://www.nytimes.com/2017/04/27/us/groveland-four-apology-florida.html?smid=fb-nytimes&smtyp=cur,2017-04-27 23:55:00,836,37,254,588,7,34,1,157,49
5281959998_10151155168934999,"With perhaps only 2 or 3 left, the Vaquita, the world's smallest porpoise, is so inbred that genetically ""they basically all have the same last name.""","Only Captivity Will Save the Vaquita, Experts Say",link,https://www.nytimes.com/2017/04/27/world/americas/only-captivity-will-save-the-vaquita-experts-say.html?smid=fb-nytimes&smtyp=cur,2017-04-27 23:25:00,5924,189,1004,1366,22,298,11,4080,147
