status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1220332944702810_1322926331110137,Join me LIVE at the U.S. Department of Veterans Affairs as I give remarks and sign an Executive Order on Improving Accountability and Whistleblower Protection.,President Trump Signs an Executive Order on Improving Accounta...,video,https://www.facebook.com/POTUS/videos/1322853431117427/,2017-04-27 15:40:19,10348,4565,1830,7630,2217,35,150,33,283
1220332944702810_1322073381195432,"Altogether, the previous administration bypassed the states to place over 265 million acres of land and water under federal control through the abuse of the monuments designation.

The Antiquities Act does not give the federal government unlimited power to lock up millions of acres of land and water, and it's time we ended this abusive practice.",The White House,photo,https://www.facebook.com/WhiteHouse/photos/a.1199645353456529.1073741828.1191441824276882/1295660193855044/?type=3,2017-04-26 14:48:44,10968,1565,2,8794,1324,44,45,34,727
1220332944702810_1319952978074139,Tune in today at 10am EDT as I congratulate NASA Astronaut Peggy Whitson! #CongratsPeggy https://www.nasa.gov/nasalive,NASA - National Aeronautics and Space Administration,photo,https://www.facebook.com/NASA/photos/a.67899501771.69169.54971236771/10155133858181772/?type=3,2017-04-24 07:23:23,6471,551,0,5701,584,142,24,3,17
1220332944702810_1317517731650997,My administration has offered a new vision: the well-being of the American citizen and worker will be placed second to none. Since day one I have been fighting for the hardworking people of this country. This week we took historic action to continue delivering on that promise.,The White House,video,https://www.facebook.com/WhiteHouse/videos/1289567874464276/,2017-04-21 10:22:54,19818,4133,6,15728,2878,39,735,40,398
1220332944702810_1315230668546370,"In America, we honor work. We honor grit. We honor craftsmanship. We honor the men and women who turn dreams into reality with their own two hands. In America, we honor all of you. #BuyAmericanHireAmerican

http://45.wh.gov/gSedQW",Buy American Hire American,video,https://www.facebook.com/POTUS/videos/1315230668546370/,2017-04-19 06:56:24,22192,2281,4340,18933,2743,39,339,12,126
1220332944702810_1309648552437915,I want to hear your ideas and suggestions on how the government can be better organized to work for the American people.,Reorganizing the Executive Branch: We Need Your Input!,link,https://www.whitehouse.gov/reorganizing-the-executive-branch?utm_source=facebook&utm_medium=social&utm_content=potus_20170413_GOV_keeping-gov-accountable_twitter_share-your-ideas,2017-04-13 16:49:12,11194,5439,3638,9313,1287,76,398,17,103
1220332944702810_1306401002762670,Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for America! #SCOTUS,Associate Justice Neil Gorsuch,video,https://www.facebook.com/POTUS/videos/1306401002762670/,2017-04-10 17:13:42,18890,2708,1352,15273,2752,31,52,47,735
1220332944702810_1306008872801883,The Honorable Neil Gorsuch will be sworn in at the Rose Garden of The White House today at 11:00 A.M. Watch it live! He will be a great Justice. Very proud of him!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1276648502422880/,2017-04-10 08:31:57,11160,1086,1,8675,1871,26,44,35,509
1220332944702810_1300378426698261,Join LIVE as I deliver remarks at the 2017 North America's Building Trades Unions National Legislative Conference.,President Trump Speaks at the 2017 NABTU National Legislative Conference,link,http://45.wh.gov/pqxHvm,2017-04-04 11:22:34,4046,815,406,3372,486,6,45,9,128
1220332944702810_1289650637771040,You were given many lies with #Obamacare! Go with our plan! Call your Representative & let them know you're behind #AHCA ➡️ 45.wh.gov/Rame8F,Support #AHCA,video,https://www.facebook.com/POTUS/videos/1289650637771040/,2017-03-23 07:33:28,8786,9592,3439,6512,798,35,375,58,1008
1220332944702810_1289072131162224,"Readout of the President's Call with Prime Minister Theresa May of the United Kingdom:

President Donald J. Trump spoke today with Prime Minister Theresa May of the United Kingdom to offer his condolences on today's terror attack in London and his praise for the effective response of security forces and first responders. He pledged the full cooperation and support of the United States Government in responding to the attack and bringing those responsible to justice.",,status,,2017-03-22 14:48:36,9913,1420,2385,8368,892,22,24,546,61
1220332944702810_1288144177921686,Joined the House Republicans this morning at the U.S. Capitol. #RepealAndReplace #Obamacare #PassTheBill ➡️ http://readthebill.gop,Pass the American Health Care Act,link,http://readthebill.gop/,2017-03-21 12:49:17,5530,1960,383,4429,522,23,77,20,459
1220332944702810_1288034734599297,Judge Gorsuch is the kind of judge we need on #SCOTUS - someone with a brilliant legal mind & a commitment to constitutional principles.,#SCOTUS Nominee Neil Gorsuch,video,https://www.facebook.com/POTUS/videos/1288034734599297/,2017-03-21 09:56:52,11216,2375,1056,9508,1369,27,60,9,243
1220332944702810_1284526444950126,I am fighting to #RepealAndReplace #Obamacare because of stories like Dr. Armstrong's. Share your own story: http://45.wh.gov/2Hneor,The White House,video,https://www.facebook.com/WhiteHouse/videos/1252187841535613/,2017-03-17 10:10:10,4620,1182,1,3937,368,20,36,161,98
1220332944702810_1282765831792854,"We are committed to fighting for reforms that will bring costs down and increase access to care for all Americans. It's time to #RepealAndReplace #Obamacare.

Share your own story: http://45.wh.gov/2Hneor",The White House,video,https://www.facebook.com/WhiteHouse/videos/1250444878376576/,2017-03-15 10:37:01,3801,967,1,3142,337,27,28,173,94
1220332944702810_1282206571848780,"Millions of hard-working Americans have been impaired by soaring costs, cancelled plans, and overbearing mandates. And stories like this are why we are fighting to #RepealAndReplace #Obamacare.

Share your own story: http://45.wh.gov/2Hneor",The White House,video,https://www.facebook.com/WhiteHouse/videos/1249853245102406/,2017-03-14 18:03:34,4953,1433,1,4097,382,17,29,322,106
1220332944702810_1281318331937604,"Obamacare came packaged as the healthcare solution for all Americans. Instead, the country was given hundreds of pages of broken promises.",President Trump Meets With Victims of Obamacare,link,https://www.whitehouse.gov/blog/2017/03/13/president-trump-meets-victims-obamacare,2017-03-13 17:49:35,5704,2203,728,4865,372,47,66,74,280
1220332944702810_1281017865300984,Today I'm hosting a listening session on healthcare with people affected by the disaster known as Obamacare. Time to #RepealAndReplace!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1248645871889810/,2017-03-13 09:42:47,6156,1631,1,5196,742,16,54,16,132
1220332944702810_1273324796070291,There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS! Please enjoy this important video announcement.,Bringing Back the JOBS,video,https://www.facebook.com/POTUS/videos/1273324796070291/,2017-03-06 17:41:37,32053,6254,6630,26016,4660,111,335,34,897
1220332944702810_1269207589815345,"Join me LIVE as I make remarks at the PCU Gerald R. Ford in Newport News, Virginia!",President Trump Makes Remarks at the PCU Gerald R. Ford,video,https://www.facebook.com/POTUS/videos/1269162123153225/,2017-03-02 14:24:12,23912,9296,4046,16231,6978,77,194,43,389
1220332944702810_1249268728475898,"Join me as I deliver the Weekly Address at 4pm ET. 

We will defend our country, protect our Constitution, and deliver real prosperity for our people.

God bless you, and God bless America.",The White House,video,https://www.facebook.com/WhiteHouse/videos/1220174424736955/,2017-02-10 15:16:46,11273,4247,2,9301,1673,21,147,16,115
1220332944702810_1249085578494213,Join us as Dr. Tom Price is sworn in as Secretary of Health and Human Services!,The White House,video,https://www.facebook.com/WhiteHouse/videos/1219984631422601/,2017-02-10 10:39:51,8525,1461,0,7200,1012,18,36,21,238
1220332944702810_1248316085237829,"Join me live as I participate in the swearing-in of our new Attorney General, Jeff Sessions!",The White House,video,https://www.facebook.com/WhiteHouse/videos/1219111788176552/,2017-02-09 10:02:32,13181,2753,0,10466,2046,27,69,36,537
1220332944702810_1246910592045045,"Betsy DeVos is a reformer, and she is going to be a great Education Secretary for our kids!",The White House,video,https://www.facebook.com/WhiteHouse/videos/1217701148317616/,2017-02-07 18:02:17,16288,3986,2,12431,2115,38,139,106,1459
1220332944702810_1243203959082375,"It has been another historic week at the White House. Please enjoy my second weekly address to you, the American people.",,video,https://www.facebook.com/POTUS/videos/1243203959082375/,2017-02-03 17:08:35,62598,27516,12860,36395,20867,322,803,383,3828
1220332944702810_1240452822690822,"This has been the most transparent Supreme Court selection process in the history of our country. 

Congratulations to Judge Neil M. Gorsuch!",Gorsuch Facts on Twitter,link,https://twitter.com/GorsuchFacts/status/826600267525259265,2017-01-31 20:40:07,24695,2103,1521,20776,3264,39,97,25,494
1220332944702810_1240366106032827,Thank you for joining me as I make a very special announcement regarding my nomination for United States Supreme Court Justice.,,video,https://www.facebook.com/POTUS/videos/1240366106032827/,2017-01-31 19:40:48,226637,118325,30878,136218,72069,1543,3134,1460,12213
1220332944702810_1236581346411303,Today I am delivering my first weekly address to the nation as President. God bless you and God bless America!,,video,https://www.facebook.com/POTUS/videos/1236581346411303/,2017-01-28 12:41:49,179178,68378,42896,109855,55965,1004,2058,1073,9223
1220332944702810_1235797579823013,"Exciting afternoon! Following the Ceremonial Swearing-in of our Secretary of Defense James Mattis, I am signing new executive actions.",,video,https://www.facebook.com/POTUS/videos/1235797579823013/,2017-01-27 16:42:17,26838,6261,3652,19737,5537,105,190,91,1178
1220332944702810_1235586643177440,"Join me as I hold a joint press conference with Theresa May, Prime Minister of the United Kingdom.",,video,https://www.facebook.com/POTUS/videos/1235586643177440/,2017-01-27 13:11:38,76761,22460,12517,51365,21189,451,912,310,2534
