status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
35695491869_10155209929161870,"Researchers can now measure the urine people leave in swimming pools and hot tubs, reports Science News for Students.",Scientists know that you pee in the pool,link,https://www.sciencenewsforstudents.org/article/scientists-know-you-pee-pool,2017-04-29 01:00:00,108,13,15,92,2,1,13,0,0
35695491869_10155209248676870,"A hard look at experimental setups may start to explain dueling predictions on whether ocean acidification will boost, or choke, vital marine nitrogen fixers.",Ocean acidification may hamper food web's nitrogen-fixing heroes,link,https://www.sciencenews.org/article/ocean-acidification-food-web-nitrogen-fixing,2017-04-28 14:00:00,98,7,6,91,0,0,0,6,1
35695491869_10155208459056870,"Particles with mind-bending quantum properties still follow a standard gravitational rule, at least as far as scientists can tell.",Key Einstein principle survives quantum test,link,https://www.sciencenews.org/article/key-einstein-principle-survives-quantum-test,2017-04-28 08:00:00,1012,11,215,957,29,26,0,0,0
35695491869_10155206804361870,Cassini has beamed back stunning images from the spacecraft's daring dive between Saturn and its rings.,Cassini's ring dive offers first close-up of Saturn's cloud tops,link,https://www.sciencenews.org/article/cassinis-ring-dive-offers-first-close-saturns-cloud-tops,2017-04-27 21:00:00,664,9,85,597,35,32,0,0,0
35695491869_10155205864321870,Researchers have been trying for 60 years to make an artificial womb or artificial placenta to help premature babies.,Faux womb keeps preemie lambs alive,link,https://www.sciencenews.org/article/faux-womb-keeps-preemie-lambs-alive,2017-04-27 11:00:00,438,16,105,375,24,38,0,0,1
35695491869_10155202154346870,"Data suggest that the heliosphere, the bubble of particles surrounding the solar system, is spherical, not comet-shaped.","No long, twisted tail trails the solar system",link,https://www.sciencenews.org/article/no-long-twisted-tail-trails-solar-system,2017-04-26 21:27:00,93,3,19,90,0,3,0,0,0
35695491869_10155202887741870,"Here are five things we learned from a massive genetics study of more than 1,300 dogs representing 161 breeds.",Dog DNA study maps breeds across the world,link,https://www.sciencenews.org/blog/science-ticker/dog-dna-study-maps-breeds-across-world,2017-04-26 17:00:00,218,10,57,208,7,3,0,0,0
35695491869_10155203057881870,"The New World was a surprisingly old destination for humans or our evolutionary relatives, a new study suggests.","First settlers reached Americas 130,000 years ago, study claims",link,https://www.sciencenews.org/article/first-settlers-reached-americas-130000-years-ago-study-claims,2017-04-26 12:14:59,375,21,86,335,8,32,0,0,0
35695491869_10155200880311870,"Tonight Cassini takes its first pass through the 2,400-kilometer-wide gap between Saturn and its rings.","In 'grand finale,' Cassini spacecraft sets off on collision course with Saturn",link,https://www.sciencenews.org/blog/science-ticker/grand-finale-cassini-spacecraft-sets-collision-course-saturn,2017-04-25 21:00:00,478,12,75,428,8,26,0,16,0
35695491869_10155200008096870,A fluid-filled bag that mimics the womb kept premature lambs alive and developing normally for four weeks.,Faux womb keeps preemie lambs alive,link,https://www.sciencenews.org/article/faux-womb-keeps-preemie-lambs-alive,2017-04-25 15:00:00,3898,133,1193,2876,195,802,4,12,9
35695491869_10155189089086870,"Tonight, a new TV series about Albert Einstein premieres on National Geographic, but be prepared for an emphasis on drama, sex and love stories, not science.",The drama of Albert Einstein's life unfolds in the new series Genius,link,https://www.sciencenews.org/article/drama-albert-einsteins-life-unfolds-new-series-genius,2017-04-25 08:00:00,178,12,33,170,6,0,1,0,1
35695491869_10155197876121870,Studying the way venom molecules from diverse fishes inflict pain might help researchers understand how nerve cells sense pain and lead to novel ways to dull the sensation.,Venomous fish have evolved many ways to inflict pain,link,https://www.sciencenews.org/article/venomous-fish-have-evolved-many-ways-inflict-pain,2017-04-25 05:00:00,128,7,12,120,0,8,0,0,0
35695491869_10155192045666870,"For one thing, we learned that Thomas Jefferson was a real stickler about typos in scientific texts.",We went to the March for Science in D.C. Here's what happened,link,https://www.sciencenews.org/blog/science-public/we-went-march-science-dc-heres-what-happened,2017-04-25 02:00:00,62,1,4,62,0,0,0,0,0
35695491869_10155196606711870,A potential sign of dark matter is looking less convincing in the wake of a new analysis.,Gamma-ray evidence for dark matter weakens,link,https://www.sciencenews.org/article/gamma-ray-evidence-dark-matter-weakens,2017-04-24 11:00:00,296,7,41,281,2,9,0,4,0
35695491869_10155192052046870,"Ötzi the Tyrolean Iceman died of exposure to cold temperatures in the Italian Alps, a new study concludes.",Ötzi the Iceman froze to death,link,https://www.sciencenews.org/article/otzi-iceman-froze-death,2017-04-24 08:10:22,158,10,19,142,0,9,1,6,0
35695491869_10155168531656870,Some babies who go on to receive autism diagnoses may have more cerebrospinal fluid on part of their brain that babies who do not get diagnosed with autism.,Scientists seek early signs of autism,link,https://www.sciencenews.org/article/scientists-seek-early-signs-autism,2017-04-23 21:00:00,98,4,22,90,0,8,0,0,0
35695491869_10155192076136870,"A 2013 circumpolar expedition discovered hundreds of tons of plastic debris, from fishing lines to plastic films, in the Arctic Ocean.",The Arctic is a final garbage dump for ocean plastic,link,https://www.sciencenews.org/blog/science-ticker/arctic-final-garbage-dump-ocean-plastic,2017-04-23 17:00:00,112,3,33,68,0,3,0,24,17
