status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
164665060214766_1734132883267968,"""Theresa May says she debates Jeremy Corbyn at PMQs and that should be enough. I disagree.""",Sky Views: Leaders' TV election debates are so important,link,http://news.sky.com/story/sky-views-why-leaders-tv-election-debates-are-so-important-10855338,2017-04-29 08:33:34,70,59,8,59,2,0,4,0,5
164665060214766_1734207509927172,"""It's time to step up ... You are the future"" - Jeremy Corbyn makes direct plea to young voters",Corbyn urges young to stop 'Brexit for few',link,http://news.sky.com/story/corbyn-urges-young-voters-to-stop-brexit-for-few-10855222,2017-04-29 06:30:00,439,177,41,326,23,2,66,2,20
164665060214766_1734125573268699,"""Britain should not have advantages after [Brexit] that other countries don't have"", says Germany's finance minister",Germany: 'No free lunch for UK' after Brexit,link,http://news.sky.com/story/eu-leaders-meet-to-approve-brexit-strategy-and-red-lines-10855327,2017-04-29 03:30:00,630,249,72,469,7,5,107,4,38
164665060214766_1733549216659668,"After discovering the waste clogging up our waterways, Lizzie Outside decided to battle plastic waste from her paddleboard #OceanHeroes",Fighting plastic from a paddleboard,video,https://www.facebook.com/skynews/videos/1733549216659668/,2017-04-29 01:00:00,835,51,112,753,51,27,2,2,0
164665060214766_1733838866630703,"The widow of Patrick Swayze has said she has ""mixed feelings"" about the upcoming auction of several of the late star's memorabilia, including his Dirty Dancing leather jacket.",Swayze's widow has 'mixed feelings' over auction,link,http://news.sky.com/story/patrick-swayzes-widow-has-mixed-feelings-over-memorabilia-auction-10855100,2017-04-28 19:16:47,647,87,60,331,35,15,0,263,3
164665060214766_1733731046641485,A British inventor has created his very own human propulsion jet suit - he's being dubbed the real-life 'Iron Man',The real-life 'Iron Man',video,https://www.facebook.com/skynews/videos/1733731046641485/,2017-04-28 16:28:50,1011,118,303,902,21,79,9,0,0
164665060214766_1733598826654707,"""A calamitous and disorderly 100 days"" Former UK Ambassador to the US Sir Christopher Meyer gives his damning summary on Trump's presidency so far","""A calamitous and disorderly 100 days""",video,https://www.facebook.com/skynews/videos/1733598826654707/,2017-04-28 13:51:45,127,84,27,96,5,3,22,0,1
164665060214766_1733408603340396,"Foreign Sec Boris Johnson: ""UK believes it is vital for this council to stand ready to take further significant measures on North Korea""",Boris Johnson calls for North Korean denuclearisation,video,https://www.facebook.com/skynews/videos/1733408603340396/,2017-04-28 10:05:47,540,339,143,406,18,8,33,3,72
164665060214766_1733094503371806,Polls suggest it cannot be done but is PM Jeremy Corbyn really such a long shot?,Why it might be worth a punt on a Corbyn win,link,http://news.sky.com/story/why-it-might-be-worth-a-punt-on-a-corbyn-win-10853900,2017-04-28 09:30:00,651,321,80,456,34,2,147,1,12
164665060214766_1733321110015812,"""He has mutilated me"" - one of the victims of a breast surgeon who carried out needless operations makes a tearful statement outside court","""He has mutilated me""",video,https://www.facebook.com/skynews/videos/1733321110015812/,2017-04-28 08:37:09,122,31,23,62,2,7,1,40,10
164665060214766_1732934220054501,"""The Tories currently give the impression that, with Labour having fallen to the hard Left, there is no need for them to woo the business vote.""",Sky Views: Tories must make time to woo business vote,link,http://news.sky.com/story/sky-views-tories-must-make-time-to-woo-business-vote-10853661,2017-04-28 05:00:00,83,41,10,74,0,1,8,0,0
164665060214766_1733077486706841,"'Marine A': ""Prison officers regularly came up to him and said 'you shouldn't be here'"" - Alexander Blackman's lawyer speaks about his release from prison",Alexander Blackman's lawyer speaks about his release from prison,video,https://www.facebook.com/skynews/videos/1733077486706841/,2017-04-28 04:00:47,1126,146,186,1027,78,1,1,13,6
164665060214766_1733060226708567,"Carole Malone thinks Donald J. Trump's ""willy waving"" over North Korea is working - what do you think? #ThePledge",The Pledge,video,https://www.facebook.com/thepledgeshow/videos/436516626699011/,2017-04-28 03:30:44,163,72,0,142,7,2,10,0,2
164665060214766_1733039530043970,"""We are making arrests on a near-daily basis"" - Metropolitan Police Service counter terrorism update following the unrelated Whitehall arrest and anti-terror raid",Terror arrests: Police statement,video,https://www.facebook.com/skynews/videos/1733039530043970/,2017-04-28 03:01:06,589,130,213,522,28,21,4,5,9
164665060214766_1732915780056345,"Woman shot and four arrested in anti-terror operation

Read more on the story: http://news.sky.com/story/woman-shot-by-police-during-anti-terror-raid-in-london-10853728",Woman shot by police during anti-terror raid,video,https://www.facebook.com/skynews/videos/1732915780056345/,2017-04-28 00:35:49,1481,221,407,1145,23,183,21,21,88
164665060214766_1732494490098474,Joshua vs Klitschko: How do they match up? We compare the two men's stats ahead of their Saturday bout,Joshua v Klitschko: How do they match up?,video,https://www.facebook.com/skynews/videos/1732494490098474/,2017-04-27 14:32:25,1876,176,474,1792,54,24,3,2,1
164665060214766_1732494150098508,Carole Malone insists that students should focus on getting a job as soon as they graduate #ThePledge,The Pledge,video,https://www.facebook.com/thepledgeshow/videos/436518123365528/,2017-04-27 14:30:32,75,55,0,65,2,0,6,0,2
164665060214766_1732455780102345,A YouGov survey has found 45% of people now believe it was the wrong decision to vote to withdraw from the EU,"Brexit poll - EU decision 'wrong', 45% say",video,https://www.facebook.com/skynews/videos/1732455780102345/,2017-04-27 13:56:02,1044,842,142,557,15,19,346,6,101
164665060214766_1732305006784089,"A Brit suspected of being an IS militant told Sky News that living under the terror group's command was like being in ""a prison""",The British man on the run from IS,video,https://www.facebook.com/skynews/videos/1732305006784089/,2017-04-27 11:10:07,299,341,90,174,1,2,57,5,60
164665060214766_1732285510119372,"The man arrested in connection with preparing a terror attack on Whitehall appeared ""relaxed"", according to one eyewitness","Terror attack suspect appeared ""relaxed""",video,https://www.facebook.com/skynews/videos/1732285510119372/,2017-04-27 10:47:56,214,85,86,149,2,18,1,7,37
164665060214766_1732238503457406,Armed officers have arrested a man in connection with preparing a terror attack just yards from Downing Street. Read the full story here: http://trib.al/uySicFN,Timeline Photos,photo,https://www.facebook.com/skynews/photos/a.213165348698070.67079.164665060214766/1732238503457406/?type=3,2017-04-27 10:07:04,3116,1067,1241,1759,16,210,18,31,1082
164665060214766_1732205273460729,"As Theresa May refuses to guarantee the triple lock on pensions, our Economics Editor Ed Conway takes a look at the numbers behind it",The numbers behind the pensions triple lock,video,https://www.facebook.com/skynews/videos/1732205273460729/,2017-04-27 09:30:20,124,80,45,99,1,1,1,0,22
164665060214766_1732083183472938,"A Tottenham Hotspur fan has been attacked by supporters of the same club, who may have thought he was a Chelsea Football Club fan",Fan attacked by fellow supporter in 'mix-up',link,http://trib.al/SfQSUBI,2017-04-27 09:30:00,1135,401,333,489,6,64,242,72,262
