status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
338233632988842_2299374960208023,"What a machine! 💪🏼💪🏼

Anthony Joshua's daily diet ahead of his fight with Wladimir Klitschko is outrageous. How?!",Anthony Joshua's Diet Is As Insane As You Would Think It Would Be | SPORTbible,link,http://www.sportbible.com/football/news-anthony-joshuas-diet-is-as-insane-as-you-would-think-20170429,2017-04-29 06:15:29,3288,275,130,3202,41,40,4,0,1
338233632988842_2299348706877315,"Too far, Mario? 😳

Mario Balotelli absolutely ripped into Kim Kardashian on Instagram earlier, but deleted shortly after 👀",Mario Balotelli Fires Shots At Kim Kardashian On Instagram But Quickly Deletes | SPORTbible,link,http://www.sportbible.com/football/weird-mario-balotelli-fires-shots-at-kim-kardashian-on-instagram-20170429,2017-04-29 05:32:02,1286,86,20,1101,17,2,166,0,0
338233632988842_2298998033579049,"The most powerful interview you'll ever watch. 

Bournemouth midfielder Harry Arter has opened up about the loss of his daughter. Huge respect 🙏🏼",WATCH: Harry Arter Gives Incredibly Moving Interview About Loss Of His Daughter | SPORTbible,link,http://www.sportbible.com/football/news-reactions-watch-harry-arter-gives-moving-interview-about-loss-of-his-daugher-20170429,2017-04-29 04:30:00,763,15,87,647,52,1,0,63,0
338233632988842_2298780460267473,"Al Foran Comedy's hilarious Football Season Review as Rio, Van Gaal, Mourinho, Koeman, Trump, De Niro, Peschi & Tyson",Al Forans' Season Review,video,https://www.facebook.com/SPORTbible/videos/2298780460267473/,2017-04-29 04:00:00,2069,344,249,1854,32,1,181,1,0
338233632988842_2298923123586540,"IMAGINE THE SCENES. 

Spurs fans are convinced that the club will be relegated next season 😅",Why Tottenham Fans Think They Will Be Relegated Next Season | SPORTbible,link,http://www.sportbible.com/football/reactions-spurs-fans-reckon-theyll-get-relegated-after-confirming-wembley-move-20170428,2017-04-28 23:00:00,828,290,37,669,6,3,147,2,1
338233632988842_2298902370255282,"It looks like he might be ready to leave Old Trafford...

The club are ready to make Marouane Fellaini an offer. Will he go? 😮 👀",Manchester United Midfielder Marouane Fellaini Linked With Move Away | SPORTbible,link,http://www.sportbible.com/football/news-manchester-united-midfielder-marouane-fellaini-linked-with-move-away-20170428,2017-04-28 21:00:07,881,124,13,798,55,1,22,5,0
338233632988842_2298948170250702,"OH MY DAYS!

Once a king, always a king. Ronaldinho Gaúcho has still got it 👑",WATCH: Ronaldinho Just Produced Ridiculous No-Look Assist vs Real Madrid Legends | SPORTbible,link,http://www.sportbible.com/football/take-a-bow-news-watch-ronaldinho-produced-outrageous-no-look-pass-vs-real-madrid-20170428,2017-04-28 18:30:05,9790,782,486,9011,615,141,26,1,0
338233632988842_2298592390286280,"At the age of 21, Timo Werner is wanted by some of European football's biggest clubs...",Meet The Most In-Demand Player In Europe Right Now | SPORTbible,link,http://www.sportbible.com/football/news-take-a-bow-meet-the-most-in-demand-player-in-europe-right-now-20170428,2017-04-28 13:45:00,1504,129,11,1467,26,2,2,0,7
338233632988842_2298548323624020,Ander Herrera going from 12-14 months out with a broken leg to fully match fit in 3 seconds... 😂,WATCH: Ander Herrera's Dive vs Manchester City Goes Viral | SPORTbible,link,http://www.sportbible.com/football/fails-news-reactions-watch-ander-herreras-dive-vs-manchester-city-goes-viral-20170428,2017-04-28 07:18:04,3370,633,191,2816,23,5,510,2,15
338233632988842_2298487020296817,Robert Huth brilliantly trolls Alexis Sanchez for posting cut lip snap with his own injury... 😂👏,Robert Huth Uploads Picture Of Hilarious Injury Sustained During Arsenal Game | SPORTbible,link,http://www.sportbible.com/football/news-funny-take-a-bow-robert-huth-reveals-hilarious-injury-sustained-during-arsenal-game-20170428,2017-04-28 05:46:58,2887,202,66,2512,42,0,327,3,3
