status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
782503618434620_1572489536102687,"BREAKING: Syrian Army and allies liberate a string of villages and hilltops from ISIS in northeastern Homs 
https://aml.ink/ILncW",BREAKING: Syrian Army and allies liberate a string of villages and hilltops from ISIS in northeastern Homs,link,https://www.almasdarnews.com/article/breaking-syrian-army-allies-liberate-string-villages-hilltops-isis-northeastern-homs/,2017-04-30 05:28:39,55,1,4,51,4,0,0,0,0
782503618434620_1571921672826140,"VIDEO: Hama frontier becomes killing ground for elite Syrian Army troops (+18 graphic) 
https://aml.ink/fp0DN",VIDEO: Hama frontier becomes killing ground for elite Syrian Army troops (+18 graphic),link,https://www.almasdarnews.com/article/video-hama-frontier-becomes-killing-ground-elite-syrian-army-troops-18-graphic/,2017-04-29 18:23:35,113,4,10,105,6,1,0,1,0
782503618434620_1571858039499170,"Trouble in jihadist paradise as Jaysh Al-Islam demands HTS surrender in east Damascus 
https://aml.ink/5frOW",Trouble in jihadist paradise as Jaysh Al-Islam demands HTS surrender in east Damascus,link,https://www.almasdarnews.com/article/trouble-jihadist-paradise-jaysh-al-islam-demands-hts-surrender-east-damascus/,2017-04-29 17:10:16,20,0,0,14,3,0,3,0,0
782503618434620_1571846596166981,"In pictures: Syrian Army exploits rebel infighting to advance in east Damascus 
https://aml.ink/ABhrE",In pictures: Syrian Army exploits rebel infighting to advance in east Damascus,link,https://www.almasdarnews.com/article/pictures-syrian-army-exploits-rebel-infighting-advance-east-damascus/,2017-04-29 16:52:58,73,1,2,60,12,1,0,0,0
782503618434620_1571773466174294,"Since the beginning of the war in #Syria, Israel took the opportunity to pursue its strategic interests in the neighboring country, by tacitly and sometimes publicly allying itself with Al-#Qaeda and #ISIS. 
Syriana Analysis addresses the recent bombings of #Israel and #US on Syria, elaborating the geopolitical goals behind these strikes. 

https://www.youtube.com/watch?v=--bSKC0ErUw&feature=youtu.be",Alliance of Convenience: Why Israel Supports ISIS?,video,https://www.youtube.com/watch?v=--bSKC0ErUw&feature=youtu.be,2017-04-29 15:16:36,9,0,5,8,0,0,0,1,0
782503618434620_1571766769508297,"Another video demonstrating how Israhell helps terrorists in #Syria 25 04 2017
Israhell's former military affairs minister admitted a tacit alliance with Daesh
......................................................................
Un altro video che dimostra come #Israele aiuta i terroristi
L'ex ministro degli affari militari dell Israel ha ammesso un'alleanza tacita con #Daesh
......................................................................
Еще одно видео, демонстрирующее, как Исраэль помогает террористам в Сирии
Бывший министр военных дел Исраэля признал молчаливый союз с ДАИШ

https://www.youtube.com/watch?v=LaHlvTfhY-k",Another video demonstrating how Israhell helps terrorists in Syria 25 04 2017,video,https://www.youtube.com/watch?v=LaHlvTfhY-k,2017-04-29 15:09:51,20,0,12,16,0,0,0,0,4
782503618434620_1571720166179624,"A number of volunteer teams took part this morning in ""Syria sweetest"" campaign to clean and beautify Baramkah region in Damascus🇸🇾❤",Real Syria I La Siria Vera,photo,https://www.facebook.com/syria.for.all.people.love.it/photos/a.616119915222523.1073741828.616103798557468/789150577919455/?type=3,2017-04-29 14:26:45,28,0,0,25,3,0,0,0,0
782503618434620_1571685156183125,"Jaish Al-Islam executes Al-Qaeda commander as rival jihadists slaughter each other in Damascus 
https://aml.ink/7Z08y",Jaish Al-Islam executes Al-Qaeda commander as rival jihadists slaughter each other in Damascus,link,https://www.almasdarnews.com/article/jaish-al-islam-executes-al-qaeda-commander-rival-jihadists-slaughter-damascus/,2017-04-29 13:48:07,114,13,13,77,10,1,25,1,0
782503618434620_1571543966197244,"""Syrian Democratic Forces"" surrounded the IS * headquarter in Tabka

MOSCOW, April 29 - RIA Novosti. ""The Syrian Democratic Forces"" (SDF), based on the Kurdish militia, continue to take over the Syrian city of Tabka and move toward the center, the Kurdish Firat agency reported.
Heavy confrontations between the SDF and the Islamic State (IS) * began Saturday morning around the local Watani hospital, the agency said. This hospital had been transformed by IS militants into one of their headquarters, where wounded militants were also treated. The SDF started its attack in the morning.
A group of militants attempted to break the siege by car, but was destroyed.
During the day, the SDF managed to penetrate the city for a depth of 1 km.
In addition, the SDF has organized the evacuation of civilians from hazardous areas - such as the al-Wahab area, where two thousand people have been evacuated. Among them - three children who had been injured by IS bombings, the agency reported.
The bulk of SDS forces consist of Kurdish militia, and local Arab tribes. The operation was supported by US aircraft and special forces. In turn, this has led to the official protest of Damascus, which emphasizes that Americans act without the consent of the Syrian government, and their presence in northern Syria is in fact proven by the intervention
-----------------------------------------------------------
""Le forze democratiche siriane"" hanno circondato la sede della IG * in Tabka

MOSCA, 29 Aprile - RIA Novosti. ""Le forze democratiche siriane "" (SDF), basate sulla milizia curda, continuano a prendere d'assalto la città siriana di Tabka e si muovono verso il centro, ha riferito l'agenzia curda Firat.
Pesanti scontri tra l'SDF e lo ""stato islamico"" (IS) * sono iniziati nella mattinata di sabato intorno all'ospedale locale ""Watani"", segnala l'agenzia. Questo ospedale era stato trasformato dai militanti dell'ISRS in uno dei loro quartier generali, dove venivano anche curati i militanti feriti. L'SDF ha iniziato il suo attacco di mattina.
Un gruppo di militanti ha tentato di rompere l'assedio in macchina, ma è stato distrutto.
Durante il giorno, l'SDF è riuscita a penetrare nella città per la profondità di 1 km.
Inoltre, l'SDF ha organizzato l'evacuazione dei civili dalle zone pericolose - come, la zona di al-Wahab, dove duemila persone sono state evacuate. Tra essi - tre bambini che erano stati feriti dai bombardamenti dell'ISIS, ha riferito l'agenzia.
Il grosso delle forze dell'SDF è costituito dalle milizie curde, e da tribù arabe locali. L'operazione è stata supportata da aerei statunitensi e dalle forze speciali. A sua volta, questo ha portato alle proteste ufficiale di Damasco, che sottolinea come gli americani agiscano senza il consenso del governo siriano, e la loro presenza nel nord della Siria, infatti, è provata dall'intervento.
---------------------------------------------------------
""Сирийские демократические силы"" окружили штаб ИГ* в Табке

МОСКВА, 29 апр – РИА Новости. ""Сирийские демократические силы"" (SDF), основу которых составляют курдские ополченцы, продолжают штурм сирийского города Табка, они движутся к центру города, сообщило курдское агентство Firat.
Тяжелые столкновения между SDF и ""Исламское государство"" (ИГ)* начались утром в субботу вокруг местного госпиталя ""Ватани"", сообщило агентство. Этот госпиталь был превращен боевиками ИГ в один из своих штабов, где также лечились раненые боевики. Утром SDF начали его штурм.
Группа боевиков попыталась прорвать осаду на машине, но была уничтожена.
В течение дня SDF удалось продвинуться на 1 километр вглубь города.
Кроме того, SDF организовали эвакуацию из опасных районов мирного населения – так, из района аль-Вахаб было эвакуировано две тысячи человек. В их числе – три ребенка, которые были ранены обстрелами со стороны ИГ, сообщило агентство.
Основой SDF являются курдские отряды, а также ополчения местных арабских племен. Операция идет при поддержке американской авиации и спецназа. В свою очередь, это вызвало протесты официального Дамаска, который подчеркивает, что американцы действуют без согласия сирийских властей, и их присутствие на севере Сирии, по сути, является интервенцией.

https://ria.ru/syria/20170429/1493381506.html","""Сирийские демократические силы"" окружили штаб ИГ* в Табке",link,https://ria.ru/syria/20170429/1493381506.html,2017-04-29 11:18:13,5,0,4,5,0,0,0,0,0
782503618434620_1571531809531793,"VIDEO: Islamist rebels in disarray as non-stop airstrikes devastate northern Hama 
https://aml.ink/vRTxj",VIDEO: Islamist rebels in disarray as non-stop airstrikes devastate northern Hama,link,https://www.almasdarnews.com/article/video-islamist-rebels-disarray-non-stop-airstrikes-devastate-northern-hama/,2017-04-29 11:04:15,61,0,4,55,6,0,0,0,0
