status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1399644386964883_1840544506208200,http://www.genocideinsyria.org/so/5Lk_Ve9D#/main #Syria this story plus Syria news click to read more,Syria's war: Kurdish forces advance in Tabqa,link,http://www.genocideinsyria.org/so/5Lk_Ve9D#/main,2017-04-30 06:02:32,7,0,3,5,0,0,0,2,0
1399644386964883_1840535059542478,OPCW Began Probing April 4 Sarin Attack on Khan Sheikhoun http://en.etilaf.org/all-news/political-news/opcw-began-probing-april-4-sarin-attack-on-khan-sheikhoun.html via @SyrCoalition,OPCW Began Probing April 4 Sarin Attack on Khan Sheikhoun,link,http://en.etilaf.org/all-news/political-news/opcw-began-probing-april-4-sarin-attack-on-khan-sheikhoun.html,2017-04-30 05:27:58,0,0,0,0,0,0,0,0,0
1399644386964883_1840530089542975,"Destructions of a massive scale in a liberated part of western #Mosul, Iraq https://youtu.be/Ej3PpvzbCbI extended video","Destructions of a massive scale in a liberated part of western Mosul, Iraq",video,https://youtu.be/Ej3PpvzbCbI,2017-04-30 05:17:38,0,0,0,0,0,0,0,0,0
1399644386964883_1840529716209679,قصف جوي لطائرات حربية يُرجح أنها روسية على دير سنبل في حماة https://youtu.be/fGLRuu9wouA #Syria,قصف جوي لطائرات حربية يُرجح أنها روسية على دير سنبل في حماة,video,https://youtu.be/fGLRuu9wouA,2017-04-30 05:16:15,1,0,0,1,0,0,0,0,0
1399644386964883_1840520166210634,"Air strikes 'kill White Helmets rescuers' in Hama Rescue group says volunteers' centre targeted in Hama by Assad 
http://ow.ly/JeJw30biAUY",Timeline Photos,photo,https://www.facebook.com/SyriaWarCrimes/photos/a.1399646536964668.1073741827.1399644386964883/1840520166210634/?type=3,2017-04-30 04:33:13,17,1,5,6,0,0,0,11,0
1399644386964883_1840504602878857,https://www.theguardian.com/artanddesign/2017/apr/28/syria-sculptural-surrealism-lenin-british-library-the-week-in-art,"Syria, sculptural surrealism and Lenin's library pass – the week in art",link,https://www.theguardian.com/artanddesign/2017/apr/28/syria-sculptural-surrealism-lenin-british-library-the-week-in-art,2017-04-30 03:25:04,5,0,0,5,0,0,0,0,0
1399644386964883_1840346509561333,نظام الأسد وروسيا يخرجان 6 مشافٍ عن الخدمة في درعا خلال مدة لم تتجاوز 3 ... https://youtu.be/A41pGDpzzdU,Check out this link,video,https://youtu.be/A41pGDpzzdU,2017-04-29 15:56:42,4,0,0,3,0,0,0,1,0
1399644386964883_1840345046228146,Suffering in silence: One million Syrians in Lebanon desperate for healthcare - 29-Apr-2017 - NZ International news http://home.nzcity.co.nz/news/article.aspx?id=246995#.WQT7bAHnJ_0.twitter,Suffering in silence: One million Syrians in Lebanon desperate...,link,http://home.nzcity.co.nz/news/article.aspx?id=246995#.WQT7bAHnJ_0.twitter,2017-04-29 15:48:44,18,0,3,9,2,0,0,7,0
1399644386964883_1840328552896462,"#BREAKING
Cases of Suffocation reported aftermath #SAA terrorists helicopters dropped barrel bombs filled with Toxic Gas in #alLatamenah
#Hama cs #Syria April 29
Admin @aejkhalil",Timeline Photos,photo,https://www.facebook.com/SyriaWarCrimes/photos/a.1399646536964668.1073741827.1399644386964883/1840328552896462/?type=3,2017-04-29 14:35:13,13,2,3,3,0,1,0,4,5
1399644386964883_1840323929563591,"Names: Martyrs Heroes of #SyriaCivilDefense..
Victims of #RUSSIA terrorists airstrikes on their #HQ in #Kafr_Zeta..
#Hama cs #Syria April 29
Admin @aejkhalil",Photos from Genocide in Syria's post,photo,https://www.facebook.com/SyriaWarCrimes/photos/a.1399646536964668.1073741827.1399644386964883/1840323706230280/?type=3,2017-04-29 14:14:48,14,0,3,6,2,0,0,6,0
