status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
374918609060_10155229141889061,"#NarendraModi launches first #UDAN flight from #Shimla

The aircraft which is a 48-seater ATR will offer 35 seats on the Delhi-Shimla route and 15 on the return journey.","PM Modi launches first UDAN flight from Shimla | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/pm-modi-launches-first-udan-flight-from-shimla/,2017-04-27 03:51:43,10,0,1,9,1,0,0,0,0
374918609060_10155228965839061,"Three #IndianArmy personnel, including a Captain and a non-commissioned officer (NGO), were martyred and five others injured in the attack which took place around 4.30 am near the line of control

#Panzgam #JammuKashmir #Kupwara #LOC #terrorism #ArmyCamp #Fidayeen #terrorist","3 soldiers martyred in Kupwara terror attack | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/3-soldiers-martyred-in-kupwara-terror-attack/,2017-04-27 01:39:00,12,2,0,10,0,0,0,2,0
374918609060_10155223007454061,"#TehelkaMagazine

India's 'musical air' helps her perform, write in US
US-based Amie Maciszewski, trained at Shantiniketan, has done yeoman service by writing and documenting the distinct traditions and practices of the professional women musicians of India","India's 'musical air' helps her perform, write in US | Arshiya Sethi | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/indias-musical-air-helps-her-perform-write-in-us/,2017-04-26 07:20:52,7,0,0,7,0,0,0,0,0
374918609060_10155225891529061,"#Thai man kills daughter, uses #FacebookLive to broadcast murder
#Facebook removed the horrific video clip that showed the father putting a noose around his 11-month-old baby daughter's neck and hanging her from the roof of an abandoned building in #Phuket.","Thai man kills daughter, uses Facebook Live to broadcast murder | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/thai-man-kills-daughter-uses-facebook-live-to-broadcast-murder/,2017-04-26 02:51:37,8,0,3,7,0,0,0,0,1
374918609060_10155222981764061,"#TehelkaMagazine

Common Services Centre scheme hits snag
Irregular power supply, slow internet connectivity and lack of proper training are making operations difficult for Village Level Entrepreneurs across the country, making #DigitalIndia a far-fetched dream.

#Kashmir #KashmirUnrest #CommonServicesCentre","Common Services Centre scheme hits snag | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/common-services-centre-scheme-hits-snag/,2017-04-26 01:49:45,4,0,1,4,0,0,0,0,0
374918609060_10155222963289061,"#TehelkaMagazine

The politics of sovereign rating

India's credit rating system, which directly influences the borrowings of the country, points to many flaws inherent in the sovereign rating architecture.

#BRICS #Goa #India","The politics of sovereign rating | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/the-politics-of-sovereign-rating/,2017-04-25 11:19:00,13,0,2,13,0,0,0,0,0
374918609060_10155223002974061,"#TehelkaMagazine

Autonomy for J&K within the Constitution is the only way out
No one should forget that J&K enjoys a special status and needs to be given a special treatment by looking sympathetically into the #SAC and #RAC.

#Srinagar #Pakistan #China","Autonomy for J&K within the Constitution is the only way out | D S Cheema | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/autonomy-for-jk-within-the-constitution-is-the-only-way-out/,2017-04-25 06:37:00,31,4,1,31,0,0,0,0,0
374918609060_10155222957139061,"#TehelkaMagazine

#Modi is experiencing the same impediments that once Mustafa Kamal Pasha, the reformist leader of Turkey, had experienced during the rebuilding of nation.

#NarendraModi #demonitisation #DigitalIndia","Modi introduces new set of rules for world polity | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/modi-introduces-new-set-of-rules-for-world-polity/,2017-04-25 06:16:00,23,1,1,19,0,0,4,0,0
374918609060_10155223202384061,"While #Sadhvi, the accused of plotting the 2008 #Malegaonblast was granted bail, the court denied any relief to co-accused former Lt Col #PrasadPurohit.

#SadhviPragyaSinghThakur","Sadhvi gets bail in in Malegaon blast case, Purohit denied freedom | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/sadhvi-gets-bail-in-in-malegaon-blast-case-purohit-denied-freedom/,2017-04-25 05:47:44,45,10,3,22,0,1,3,1,18
374918609060_10155222928989061,"#TehelkaMagazine

The gains and pains of #MaternityBenefits Act

While women, in general, have hailed an increase in the paid maternity leave from 12 weeks to 26 weeks, small and medium-sized companies are not so happy about it.","The gains and pains of Maternity Benefits Act | Tehelka Web Desk | Tehelka - Investigations, Latest News, Politics, Analysis, Blogs, Culture, Photos, Videos, Podcasts",link,http://www.tehelka.com/2017/04/the-gains-and-pains-of-maternity-benefits-act/,2017-04-25 02:48:55,2,0,0,2,0,0,0,0,0
