status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10250877124_10155417848837125,"#Security tight at stadium where @pope holds mass #Egypt
https://goo.gl/yWzSWI
Pope Francis AbdelFattah Elsisi - عبد الفتاح السيسي Al-Azhar Al-Sharif | الأزهر الشريف",Security tight at stadium where pope holds mass,link,https://goo.gl/yWzSWI,2017-04-29 08:45:06,52,3,1,49,1,0,2,0,0
10250877124_10155417796227125,"Gunpoint heist meant to happen to me, says #Kardashian http://bit.ly/2oRvM2t Kim Kardashian West","Gunpoint heist meant to happen to me, says Kardashian",link,http://bit.ly/2oRvM2t,2017-04-29 08:30:16,59,0,0,59,0,0,0,0,0
10250877124_10155417748382125,"#Pakistani parliamentarians leave for #Kabul to ease tension
https://goo.gl/dJqEfL
Ashraf Ghani Dr Omar Zakhilwal Sardar Ayaz Sadiq",Pakistani parliamentarians leave for Kabul to ease tension,link,https://goo.gl/dJqEfL,2017-04-29 08:15:05,83,10,0,83,0,0,0,0,0
10250877124_10155417709152125,Op-Ed: The foundations of Putin's neo-feudal regime may be cracking - Anders Aslund http://bit.ly/2pGZ4pw,Russia's neo-feudal capitalism,link,http://bit.ly/2pGZ4pw,2017-04-29 08:00:47,27,1,0,27,0,0,0,0,0
10250877124_10155417599322125,"Former officer's daughter screamed into the phone: ""Dad, help me, help me!""
Read the story to find out why.

Former #officer charged with hitting #kids with car, killing 1
https://goo.gl/myHhGH","Former officer charged with hitting kids with car, killing 1",link,https://goo.gl/myHhGH,2017-04-29 07:00:13,42,1,1,39,0,0,0,1,2
10250877124_10155417575972125,"Former fighter calls Taliban to lay down their weapons and join a ""caravan of peace.""

Infamous #Afghan warlord returns to public life after exile
https://goo.gl/N5ch7w
Ashraf Ghani #Taliban",Infamous Afghan warlord returns to public life after exile,link,https://goo.gl/N5ch7w,2017-04-29 06:45:04,135,6,1,134,2,0,0,0,0
10250877124_10155417405762125,Op-Ed: Hezbollah wants to say that it is everything in Lebanon - Diana Moukalled http://bit.ly/2pGZRXE,Hezbollah's real message from southern Lebanon,link,http://bit.ly/2pGZRXE,2017-04-29 05:00:32,30,1,0,30,0,0,0,0,0
10250877124_10155417313422125,Op-Ed: Turkish referendum votes coming from abroad should not have come as a surprise - Sinem Cengiz http://bit.ly/2pH775T,Timeline Photos,photo,https://www.facebook.com/TheArabNews/photos/a.98268642124.107269.10250877124/10155417313422125/?type=3,2017-04-29 04:00:26,31,2,0,31,0,0,0,0,0
10250877124_10155417149312125,#Saudi Arabia sending aid to all of Yemen including Houthi areas: Official http://bit.ly/2oRxDV4,Saudi Arabia sending aid to all of Yemen including Houthi areas: Official,link,http://bit.ly/2oRxDV4,2017-04-29 02:30:08,305,5,14,296,7,2,1,0,0
10250877124_10155416255987125,Oil rises from one-month low on hopes of output deal extension http://bit.ly/2oRfJ4M,Oil rises from one-month low on hopes of output deal extension,link,http://bit.ly/2oRfJ4M,2017-04-28 19:00:41,90,2,3,88,0,0,0,2,0
10250877124_10155415865712125,Op-Ed: Another part of the story: Turkish diaspora and politics - Sinem Cengiz http://bit.ly/2pH775T,Another part of the story: Turkish diaspora and politics,link,http://bit.ly/2pH775T,2017-04-28 16:25:03,49,3,0,47,2,0,0,0,0
10250877124_10155415381832125,"Do you believe in the law of retaliation or the ""eye for an eye"" principle? This is what Egyptian tribesmen did to a Daesh member...

Officials: #Egypt tribesmen burned #Daesh militant alive in #Sinai
https://goo.gl/gof8Im",Officials: Egypt tribesmen burned militant alive in Sinai,link,https://goo.gl/gof8Im,2017-04-28 12:59:15,323,41,42,284,4,7,5,20,3
10250877124_10155415226147125,From kimchi to rice cakes: #Korean cuisine has something for every foodie http://bit.ly/2oOlWi3 #southkorea,From kimchi to rice cakes: Korean cuisine has something for every foodie,link,http://bit.ly/2oOlWi3,2017-04-28 12:01:11,38,0,2,37,1,0,0,0,0
10250877124_10155415112657125,"If you are touching your smartphone 1,500 times a week, you are normal http://bit.ly/2oOhlML","If you are touching your smartphone 1,500 times a week, you are normal",link,http://bit.ly/2oOhlML,2017-04-28 11:30:33,81,5,7,78,0,0,3,0,0
10250877124_10155415023952125,Op-Ed: Iran should not receive sanctions relief while pursuing its nuclear ambitions - Dr. Majid Rafizadeh http://bit.ly/2pr3gsM,Is Iran secretly developing a nuclear bomb?,link,http://bit.ly/2pr3gsM,2017-04-28 11:01:31,30,8,0,30,0,0,0,0,0
10250877124_10155415005392125,"Would you pay millions for fame and publicity?

Lifting the veal off #SaltBae's not so organic rise to fame
https://goo.gl/d8kD8b

Nusret Gökçe Leonardo DiCaprio Bruno Mars",Lifting the veal off Salt Bae's not so organic rise to fame,link,https://goo.gl/d8kD8b,2017-04-28 10:54:41,160,9,5,152,2,1,5,0,0
10250877124_10155414795722125,The whole of the #GCC stands to benefit from a prosperous and successful #Saudi Arabia http://bit.ly/2oOeHqh,Timeline Photos,photo,https://www.facebook.com/TheArabNews/photos/a.98268642124.107269.10250877124/10155414795722125/?type=3,2017-04-28 09:30:39,61,2,3,60,1,0,0,0,0
10250877124_10155414616877125,West End production first for a #Saudi with a passion for theater - http://bit.ly/2oO9eQl,West End production first for a Saudi with a passion for theater,link,http://bit.ly/2oO9eQl,2017-04-28 08:30:34,99,2,1,96,2,0,1,0,0
10250877124_10155414519962125,Op-Ed: It's the absence of justice that will prompt Egyptians to revolt again - Mohammed Nosseir http://bit.ly/2qkm4Xx,Aya Hegazy's case validates Trump's political effectiveness,link,http://bit.ly/2qkm4Xx,2017-04-28 08:01:02,40,2,1,40,0,0,0,0,0
10250877124_10155414375327125,Op-Ed: Letting the hunger-strikers die will not change the basic tenets of this conflict - Yossi Mekelberg http://bit.ly/2pr8jZW,The life-and-death dilemma of prisoners,link,http://bit.ly/2pr8jZW,2017-04-28 07:00:51,20,1,0,20,0,0,0,0,0
10250877124_10155414348502125,"""As you sow, so shall you reap"". Boko Haram has been committing crimes against civilians for quite a while. Now, it is payback time!

#Nigeria says 15 suspected #BokoHaram fighters shot dead
https://goo.gl/Qvp359",Nigeria says 15 suspected Boko Haram fighters shot dead,link,https://goo.gl/Qvp359,2017-04-28 06:45:06,229,3,8,225,2,1,0,1,0
10250877124_10155414288012125,"Being ""comfortable in one's own skin"" can be difficult sometimes, especially with the effect of mainstream media on body image.

What is your take on the matter? Do people have to follow the so-called beauty norms? Abhay Deol NIVEA Garnier P&G Fair and Lovely 

Skin lightening under fire as #Indians seek whiter shade of pale
https://goo.gl/q9bBfO",Skin lightening under fire as Indians seek whiter shade of pale,link,https://goo.gl/q9bBfO,2017-04-28 06:15:06,102,5,4,99,0,0,1,0,2
10250877124_10155414259202125,"Op-Ed: It seems that 70 years after Israel's founding, the past still looms large - Ramzy Baroud http://bit.ly/2qkiGMz","Palestinian, Jewish voices must jointly challenge Israel's past",link,http://bit.ly/2qkiGMz,2017-04-28 06:00:43,22,2,0,22,0,0,0,0,0
10250877124_10155414237162125,US President Donald Trump revealed that he is surprised at how difficult his new job is bit.ly/2qe74yn,'I thought it would be easier:' Trump reflects on first 100 days in office,link,http://bit.ly/2qe74yn,2017-04-28 05:49:44,306,4,15,276,0,1,26,1,2
10250877124_10155414201092125,"Did the Indian authorities go too far in blocking social media? 

An activist asks: ""How else do we protest without being called terrorists?"" What is a peaceful protest in your opinion?

In #Indian #Kashmir, social media becomes a battleground
https://goo.gl/wEN0Dl","In Indian Kashmir, social media becomes a battleground",link,https://goo.gl/wEN0Dl,2017-04-28 05:30:12,588,57,163,500,3,2,2,34,47
10250877124_10155414127627125,Op-Ed: A nuclear bomb would ensure the survival of Iran's clerical political establishment  - Dr. Majid Rafizadeh http://bit.ly/2pr3gsM,Is Iran secretly developing a nuclear bomb?,link,http://bit.ly/2pr3gsM,2017-04-28 05:00:40,65,3,2,63,2,0,0,0,0
10250877124_10155414077327125,"Do you think greed is a 'deal-breaker'? Did the bride do the right thing by divorcing her 'dowry-greedy' groom? Share your stories with us!

An #Indian bride divorced her new husband mere minutes after the marriage ceremony bit.ly/2paMw8j",Indian Muslim bride divorces 'greedy groom' minutes after marriage ceremony,link,http://bit.ly/2paMw8j,2017-04-28 04:28:06,2098,163,330,1862,52,44,119,15,6
10250877124_10155414061152125,"Are robots a threat to our jobs? Do you think there will come a day where they replace humans?

A #robot that picks apples? Replacing #humans worries some
https://goo.gl/Aj6OZn

UFW Rep. Dan Newhouse",A robot that picks apples? Replacing humans worries some,link,https://goo.gl/Aj6OZn,2017-04-28 04:15:04,342,6,7,338,2,0,1,0,1
10250877124_10155414044052125,"Op-Ed: The double standard applied to Macron and Brigitte, compared with Trump and Melania, is annoying - Diana Moukalled http://bit.ly/2pqXwzd",What interest in Macron's wife says about us,link,http://bit.ly/2pqXwzd,2017-04-28 04:00:36,38,1,0,38,0,0,0,0,0
10250877124_10155413955742125,"#Israeli PM says #German minister wouldn't take his call after snub
https://goo.gl/FD9VuI",Israeli PM says German minister wouldn't take his call after snub,link,https://goo.gl/FD9VuI,2017-04-28 03:15:04,138,3,3,131,1,0,4,0,2
10250877124_10155413811347125,Turns out a red button on the president's desk does not launch the US' arsenal of nuclear bombs bit.ly/2oS2DFn,Does Donald Trump have a Coke button at the White House?,link,http://bit.ly/2oS2DFn,2017-04-28 01:36:46,137,5,4,126,1,1,9,0,0
10250877124_10155413370042125,West End production first for a #Saudi with a passion for theater - http://bit.ly/2oO9eQl,West End production first for a Saudi with a passion for theater,link,http://bit.ly/2oO9eQl,2017-04-27 22:00:09,120,2,6,117,2,0,0,0,1
10250877124_10155413244252125,From kimchi to rice cakes: #Korean cuisine has something for every foodie. http://bit.ly/2oOlWi3 Lulwa Shalhoub,Timeline Photos,photo,https://www.facebook.com/TheArabNews/photos/a.98268642124.107269.10250877124/10155413244252125/?type=3,2017-04-27 21:00:13,30,4,3,29,1,0,0,0,0
