status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10513336322_10155366689826323,"""There will inevitably be a price and a cost for Britain, it's the choice they made.""",EU leaders agree on tough stance at special Brexit summit,link,https://www.theguardian.com/politics/2017/apr/29/eu-leaders-set-to-take-tough-stance-in-special-brexit-summit?CMP=fb_gu,2017-04-29 09:00:44,5,0,2,5,0,0,0,0,0
10513336322_10155366653476323,"""I am appalled by people who pretend to regret the decline in standards of public life and only exacerbate them.""",Michael Heseltine: 'Signing article 50 is the worst decision we've made',link,https://www.theguardian.com/politics/2017/apr/29/michael-heseltine-signing-article-50-is-the-worst-decision-weve-made?CMP=fb_gu,2017-04-29 08:40:36,373,28,47,353,9,2,6,1,2
10513336322_10155366073711323,"""I couldn't understand how you were so blind to him leading another life. I wanted you to reprimand him for what he was doing to me, to pull him up for leading a double life. I spent days and nights wondering who you were, how you could have brought up a son who kept his girlfriend a secret.""","A letter to ... my ex-boyfriend's parents, who never knew I existed",link,https://www.theguardian.com/lifeandstyle/2017/apr/29/letter-to-my-ex-boyfriends-parents-never-knew-existed?CMP=fb_gu,2017-04-29 08:00:00,70,19,5,64,0,0,3,3,0
10513336322_10155365728716323,"Donald Trump has condemned North Korea as ""disrespecting the wishes of China"" after Pyongyang test-fired a ballistic missile despite rising tensions in the region.","North Korea missile test: regime has 'disrespected China', says Trump",link,https://www.theguardian.com/world/2017/apr/28/north-korea-test-fires-ballistic-missile?CMP=fb_gu,2017-04-29 07:40:00,115,59,31,100,1,0,11,1,2
10513336322_10155366141946323,"Vince Cable: ""For Britain, the economic weather is arguably worse than it was before the credit crunch. The pound has plummeted, which is driving up prices and trapping consumers in a vicious Brexit squeeze.""","Brexit could trigger worse crash than 2008, says Vince Cable",link,https://www.theguardian.com/politics/2017/apr/29/brexit-could-trigger-worse-crash-than-2008-says-vince-cable?CMP=fb_gu,2017-04-29 07:22:00,395,86,140,277,5,11,23,64,15
10513336322_10155365929801323,"""Squatter and less blond than his miraculous older brother, Pete didn't fit so easily into the world.""","Me and my brother: 'I was bright and considerate, he was a dumpy, inert lump'",link,https://www.theguardian.com/lifeandstyle/2017/apr/29/me-and-my-brother-stuart-heritage?CMP=fb_gu,2017-04-29 06:40:00,496,45,31,378,56,3,58,0,1
10513336322_10155365937986323,"A long-serving Conservative MP has said he will not stand in the general election, just hours after A-level students revealed he had told them that he believed ""homosexuality is wrong"" and ""dangerous to society"".",Tory MP drops out of election after telling pupils 'homosexuality is wrong',link,https://www.theguardian.com/politics/2017/apr/28/tory-mp-steps-down-after-telling-pupils-homosexuality-is-wrong?CMP=fb_gu,2017-04-29 06:20:00,1235,197,204,775,14,37,129,11,269
10513336322_10155365898176323,"Maxine Peake: ""My mind boggles why people treat Corbyn like the anti-Christ, but it goes to show people are a lot more right-wing than they like to believe.""",Maxine Peake: 'I'm a Corbyn supporter. We need a coup',link,https://www.theguardian.com/culture/2017/apr/29/maxine-peake-corbyn-supporter-need-coup?CMP=fb_gu,2017-04-29 05:40:08,4572,161,768,4233,275,8,42,6,8
10513336322_10155365758696323,"""There have always been parts of the Labour party that find the discipline of government hard. When 2015 brought a second election defeat, people said, 'Oh God, can't we just get back to dreaming? Can't we be outsiders?'""","'What do we do now?': the New Labour landslide, 20 years on",link,https://www.theguardian.com/politics/2017/apr/29/new-labour-20-years-on-tony-blair-david-miliband-peter-mandelson-alastair-campbell?CMP=fb_gu,2017-04-29 05:00:00,146,54,28,122,12,1,4,1,6
10513336322_10155365718241323,A hacker claims to have stolen the upcoming season of Orange Is the New Black and is demanding that Netflix pay an unspecified ransom to prevent all the new episodes from being prematurely released online.,Hacker holds Netflix to ransom over new season of Orange Is The New Black,link,https://www.theguardian.com/media/2017/apr/29/hacker-holds-netflix-to-ransom-over-new-season-of-orange-is-the-new-black?CMP=fb_gu,2017-04-29 04:40:00,557,168,93,293,3,98,132,5,26
