status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
607756062649744_1377693042322705,"Today the White Helmets centre in Kafr Zayta, Hama was deliberately targeted by two bunker bombs. The attack killed eight volunteers and three more remain trapped under the rubble. The centre was busier than normal as volunteers from a team in nearby Lataminah had fled there earlier in the day due to heavy bombing.  

Medics, civilians and journalists that rushed to the scene were struck with airstrikes that killed another two people including a medic.  The White Helmets reported that the rescue operation to save their comrades lives was targeted with more than 10 airstrikes.

This was a deliberate attack to kill the White Helmets for saving lives. The volunteers names are:

Ahmad Khaled Mustafa 
Amer Raslan Abboud
Ahmad Hallak 
Mostafa Mohammed Najjar
Ghassan Dallal 
Mazen Sijnawi 
Abdelhalim Alshahi
Ahmed al-Hussein

Please keep these brave heroes, their teammates, families and communities in your thoughts and prayers.

RIP.",Photos from The Syria Campaign's post,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1377692275656115/?type=3,2017-04-29 15:46:17,753,52,204,126,19,0,1,508,99
607756062649744_1375847662507243,"""A passport cannot be what decides who gets to live and who gets to die.""

Listen to Lina Sergie's powerful words about what 'home' means to people fleeing war.",,video,https://www.facebook.com/TheSyriaCampaign/videos/1375847662507243/,2017-04-28 02:31:49,216,7,119,126,36,1,0,51,2
607756062649744_1375805209178155,Incredible. The Syria Civil Defence pull a baby from under the rubble of an airstrike in Aleppo yesterday. Another miracle.,,video,https://www.facebook.com/TheSyriaCampaign/videos/1375805209178155/,2017-04-28 01:39:29,882,59,303,331,96,13,0,413,29
607756062649744_1373708552721154,"A rolling pin, a chandelier, a clock, an oud. 

Abu Ali al-Bitar creates beautiful artwork using leftover rockets and spent cartridges in the town of Douma, near Damascus

Photo Credit: Sameer Al-Doumy of AFP",,video,https://www.facebook.com/TheSyriaCampaign/videos/1373708552721154/,2017-04-26 07:05:50,122,3,30,103,10,8,0,1,0
607756062649744_1371343419624334,"The White Helmets continue their awareness workshops in Syria to teach children about how to keep safe during airstrikes and chemical attacks. 

Most importantly, they give the kids hope and a reason to smile.",Syria Civil Defence Awareness Campaigns,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.1371343386291004.1073741841.607756062649744/1371343419624334/?type=3,2017-04-24 07:35:00,671,6,120,496,110,2,0,63,0
607756062649744_1366717070086969,"Wonderful news!!

Raed Saleh of the Syria Civil Defence is on TIME's list of the world's most influential people.

Under Raed's leadership, the heroic White Helmets have expanded into a volunteer network of over 3,000 men and women who have saved over 90,000 lives.

Support their work here: https://peoplesmillion.whitehelmets.org/donate/peoples-million?source=fb04_20",Raed Saleh: The World's 100 Most Influential People,link,http://time.com/collection/2017-time-100/4736289/raed-saleh/,2017-04-20 08:26:09,921,9,138,784,121,15,0,0,1
607756062649744_1365732053518804,"Over the past few weeks, we've seen a huge spike in the number of online stories which question the bravery of the White Helmets, or suggest that the recent chemical attacks were suspicious, or make some other claim that seeks to confuse you about the war in Syria.

We've written this short list to help you understand why this is happening.",The trolls are trying to confuse you about Syria. Here's why.,link,https://medium.com/@TheSyriaCampaign/the-trolls-are-trying-to-confuse-you-about-syria-heres-why-ce0ffdd70a29,2017-04-19 09:47:00,493,38,269,410,2,4,1,24,52
607756062649744_1365720946853248,"Food is a luxury in Eastern Ghouta and no one knows this better than Abu Mahmood - a 75 year old peddler who risks his life every day to feed his family. 

Abu Mahmood lives in Eastern Ghouta, a suburb of Damascus that has been under siege for four years. He used to own a big vegetable market in Damascus, but he can't access it because he is not allowed to leave his town. 

Abu Mahmood starts his days very early. He needs time to make the long walk to buy food from the local market.

 His trolley is his mobile shop, which he uses to sells beans. He can't sell much because his trolley is small, but he hopes to sell enough each day to make enough money to support his wife and grandchildren.  Abu Mahmood lost one son in a bombing, and another son was arrested by the Syrian regime.  

For Abu Mahmoud, walking to the market every day is an act of courage.  He knows that he is taking the risk of getting killed or injured by regime bombing, but he still wakes up every morning, and pushes his trolley down the streets of his besieged home.

Life carries on in Syria.

Photo Credit: Abo Alhuda Khaled",Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1365720946853248/?type=3,2017-04-19 09:39:54,549,14,115,340,66,4,1,136,2
607756062649744_1364755593616450,"Another tragedy happened in Syria this weekend. 
 
Over a hundred people, including dozens of children were killed when the buses they were waiting in were hit by a car bomb. 

These people had lived under a brutal siege and were being forced out of their homes.

Some of the victims of the horrific attack were evacuees from pro-regime areas while others were anti-regime. 

They were all Syrians. They all wanted to live.

""Humanity is indivisible,"" said Syria Civil Defence volunteers after working alongside SARC volunteers to rescue civilians  and attend to dozens of the injured.",Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1364755593616450/?type=3,2017-04-18 13:48:17,325,13,61,59,2,0,0,205,59
607756062649744_1357084691050207,"""We are in the worst of our moments.""  
""There are no options .. forced displacement or serving in the regime military""
""I wish I had died before this."" 
""Today our hearts & hopes were broken.""
""A few hours, and my status will change from besieged to a refugee."" 

These are messages from residents of Madaya describing the heartbreak of being forced to leave their homes forever. 

Madaya has been cut off from the world for nearly two years. It is under one of the tightest regime sieges in Syria - surrounded by 12,000 landmines and over 60 checkpoints. Almost no food or medicine has been allowed in, and residents have not been able to leave. 

Residents who have nothing to do with the fighting have been living under unimaginable conditions. Starvation. Epidemics. Checkpoints and Snipers. Shelling. 

But creativity and resilience has kept them alive. 

Doctors improvised surgical tools, performed operations by mobile phone light. Engineers connected bicycles to batteries in order to power mobile phones, others melted plastics to make fuel.

Underneath all of this resilience is a deep love and solidarity with others who are suffering the siege.

Despite the horror they have experienced, they are heartbroken to leave Madaya -  the only home they have ever known.  They  join at least 10 other areas in Syria that have fallen to the regime strategy of siege, starve and bomb into submission, and forcibly displace.",Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1357084691050207/?type=3,2017-04-12 10:08:57,390,15,111,117,6,1,0,231,35
607756062649744_1357035071055169,"After the last children's hospital in Eastern Aleppo was bombed, people from around the world came together and raised money to build a new hospital to replace it.

The hospital opened its doors last week. 

Hope is alive.",Independent Doctors Association,photo,https://www.facebook.com/ida4all/photos/a.1501749060132907.1073741828.1454548791519601/1646291079012037/?type=3,2017-04-12 09:40:08,1219,12,0,966,238,13,0,2,0
607756062649744_1355935604498449,"Amal kassir lost 10 family members in one bombing.

She shares the heartbreak of so many Syrians today. 

Listen to her story.",NowThis Politics,video,https://www.facebook.com/NowThisPolitics/videos/1515663388465146/,2017-04-11 10:49:53,1253,29,0,435,16,4,1,732,65
607756062649744_1354070294684980,"""When the first volunteer team responded to the airstrike, they had no idea it was a chemical attack. They were all poisoned.

Then the second team arrived, and we started to rescue the wounded and injured. There were so many affected. The situation required a response far beyond our means and we couldn't rescue everyone. We resorted to using fire hoses to wash the deadly chemicals from children's bodies.

That chemical attack in Khan Shaykhun was only the beginning. Four hours later our rescue teams were targeted in several areas. Our centre in Khan Shaykhun itself was hit by six airstrikes, and the nearby Al Rahma hospital was struck by four. Both were completely destroyed. There were attacks throughout Idlib province which paralysed our teams and our ability to respond.

The images in the media showing our teams responding to the chemical attack provoked a violent reaction from the Syrian regime. Several more teams and centres were deliberately targeted. On Friday, our centre in Jisr al Shughur was hit, killing two of our volunteers and injuring three. One of the strikes was so severe that we couldn't find the body parts of our colleague to bury him.

The world has now moved on from thinking about our chemical weapons victims. 

All the talk is now about the strikes against Shayrat air base, the one used in the poison gas attack. We hoped that targeting that air base would limit the killing. But we notice that the strike hasn't been taken seriously and yesterday regime warplanes took off from the very same airbase. 

To protect civilians in Syria we need all of these planes to be stopped. 

While they fly, the regime continues to bomb civilians with all kinds of weapons. There have been more than 120 chemical attacks in the past few years, not to mention the use of banned weapons like cluster bombs and 'bunker busters' in residential areas. 

We need safe areas in Syria so that we can get our lives back. People here want neighbourhoods where their children can go to school, where some semblance of normal life can return.

We need swift, serious, and genuine steps from countries around the world to bring to justice those who used chemical weapons against civilians in Khan Shaykhun, Ghouta, and so many other places in Syria.

It is my sincere hope that for the first time in more than six years, the world will listen to Syrian civilians and take steps to stop this killing for good.

As always, thank you for your solidarity.""

- Raed al Saleh, Head of the Syrian Civil Defence (White Helmets)

You can donate to the White Helmets here: https://peoplesmillion.whitehelmets.org/donate/peoples-million?source=rsfb

(Photo: Ammar Abdullah/Reuters - a civil defence member breathes through an oxygen mask after gas attack in Khan Shaykhun)",Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1354070294684980/?type=3,2017-04-09 18:17:41,1275,132,2510,501,18,3,0,586,167
607756062649744_1351212188304124,"Tuesday's chemical attack suffocated dozens of Syrian civilians and made it to the front pages of newspapers around the world, prompting US airstrikes in response. But poison gas isn't the only cruel weapon being used to take Syrian lives. For years, the barrel bomb has been Syria's daily reality.

(Video from 2015 - figures may have changed.)",Barrel Bombs: The Daily Reality,video,https://www.facebook.com/TheSyriaCampaign/videos/1351212188304124/,2017-04-07 07:13:00,615,30,333,259,7,3,0,239,107
607756062649744_1351132221645454,This is how Syrians we know are responding to US airstrikes on a Syrian regime air field overnight.,Photos from The Syria Campaign's post,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1351129608312382/?type=3,2017-04-07 05:44:07,257,19,165,219,7,4,0,26,1
607756062649744_1351019708323372,Below a post from Syrian activist Rami Jarrah reacting to US strikes on a Syrian military airfield last night. He emphasises that a response to the method of killing - chemical weapons - is not enough.,Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1351019708323372/?type=3,2017-04-07 03:46:35,335,22,143,274,5,0,0,55,1
607756062649744_1350994251659251,"Overnight the United States military fired missiles at a Syrian regime air base from which a chemical weapons attack was launched on Tuesday killing over 70 people including 20 children. It marks the first direct military action targeting Assad in six years of conflict though the US military has been conducting airstrikes in Syria since September 2014.

The vast majority of Syrian civilians killed during this six year conflict have been killed at the hands of the regime of Bashar Al-Assad and its allies -- that is 94% of all civilian casualties. Take a look at the data from the Syrian Network for Human Rights below. 

We will be sharing the reactions of Syrian civilians, refugees and activists throughout the day. Please share on so the public understands how people closer to this reality are feeling. 

http://whoiskillingciviliansinsyria.org/",Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1350994251659251/?type=3,2017-04-07 02:56:42,952,59,913,575,3,4,0,238,132
607756062649744_1348214155270594,Politicians are holding their noses and ignoring Assad's gas attacks in Syria. Tell them to wake up and smell the war crimes. www.NosePeg.com,Introducing 'peg'. A new wearable that blocks the smell of war...,video,https://www.facebook.com/TheSyriaCampaign/videos/1348214155270594/,2017-04-05 01:32:20,3125,171,4983,2183,35,28,16,527,336
607756062649744_1347623348663008,"Today saw one of the deadliest chemical attacks in Syria since 2013. At least 58 people, including 11 children, were killed in Idlib by the Assad regime. 

Hours later the hospital treating the victims of the attack was hit by an airstrike.  Airstrikes also then bombed the White Helmets facility in Idlib.

The world could have protected these innocent people years ago, but is still refusing to.",Timeline Photos,photo,https://www.facebook.com/TheSyriaCampaign/photos/a.608812989210718.1073741828.607756062649744/1347623348663008/?type=3,2017-04-04 11:02:17,1695,77,825,382,3,3,0,825,482
