status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5991693871_10151847391768872,"Kima: Fighting the war on drugs... one brutality case at a time.
Carver: Girl, you can't even think of calling this sh*t a war.
Herc: Why not?
Carver: Wars end.",,status,,2013-09-04 15:20:00,10367,321,1169,10367,0,0,0,0,0
5991693871_10151678908943872,"""Your boy is smart, funny, and open hearted, and he got some flex in him. And I didn't see it at first cause he was always actin' out, always full of the corner talk, talking sh*t to hide himself. He can go a lot of places and do a lot of things in his life-- be out there in the world in a way that didn't happen for you and me… He's a lot of things. A lot of good things. Before you know it, he might surprise all of us given a half a chance. But he ain't made for them corners, man.""

To all the fathers and father figures, Happy Father's Day.",,status,,2013-06-16 11:10:01,5157,324,614,5157,0,0,0,0,0
5991693871_10151629866668872,"""Couple weeks from now, you're gonna be in some district somewhere with 11 or 12 uniforms looking to you for everything. And some of them are gonna be good police. Some of them are gonna be young and stupid. A few are gonna be pieces of sh*t. But all of them will take their cue from you. You show loyalty, they learn loyalty. You show them it's about the work, it'll be about the work. You show them some other kinda game, then that's the game they'll play. I came on in the Eastern, and there was a piece-of-sh*t lieutenant hoping to be a captain, piece-of-sh*t sergeants hoping to be lieutenants. Pretty soon we had piece-of-sh*t patrolmen trying to figure the job for themselves. And some of what happens then is hard as hell to live down. Comes a day you're gonna have to decide whether it's about you or about the work."" - Daniels",,status,,2013-05-20 20:20:00,5369,441,857,5369,0,0,0,0,0
5991693871_10151564296753872,"""Listen to me, you f*ck. You did a lot of shit here. You played a lot of f*cking cards. And you made a lot of f*cking people do a lot of f*cking things they didn't want to do. This is true. We both know this is true. You, McNulty, are a gaping asshole. We both know this. F*ck if everybody in CID doesn't know it. But f*ck if I'm gonna stand here and say you did a single f*cking thing to get a police shot. You did not do this, you f*cking hear me? This is not on you. No it isn't, asshole. Believe it or not, everything isn't about you. And the motherf*cker saying this, he hates your guts, McNulty. So you know if it was on you, I'd be the son of a bitch to say so. Sh*t went bad. She took two for the company. That's the only lesson here."" - Rawls",,status,,2013-04-20 18:12:51,10860,832,1050,10860,0,0,0,0,0
5991693871_10151517885603872,"""You know the difference between me and you? I bleed red and you bleed green. I look at you these days, String, you know what I see? I see a man without a country. Not hard enough for this right here and maybe, just maybe, not smart enough for them out there."" - Avon Barksdale",,status,,2013-03-27 21:00:00,11908,617,1561,11908,0,0,0,0,0
5991693871_10151420287633872,"""Fighting the war on drugs... one brutality case at a time."" - Kima

What's your favorite Kima quote from The Wire?",,status,,2013-02-09 19:10:00,2255,573,85,2255,0,0,0,0,0
5991693871_10151147750718872,"The Wire creator, David Simon, will be appearing as a guest on tonight's edition of Real Time with Bill Maher at 10. Submit questions for Overtime now: http://itsh.bo/NVASlA",,status,,2012-09-07 12:10:00,453,71,40,453,0,0,0,0,0
5991693871_10151124986393872,"Who said this quote from The Wire?

""You moldering motherf**ker don't even think about coming back a murder. Don't even think of that sh*t.""",,status,,2012-08-25 13:30:00,1351,1635,53,1351,0,0,0,0,0
5991693871_10150996964588872,"Get in the game. If you could be any character from The Wire, who would it be and why?",,status,,2012-06-28 13:11:38,460,2019,51,460,0,0,0,0,0
5991693871_10150963359618872,Which of these Jimmy McNulty quotes from The Wire is your favorite?,,status,,2012-06-13 11:04:27,24,9,0,24,0,0,0,0,0
5991693871_10150914548808872,"WHO SAID IT?

""Thin line between heaven and here.""",,status,,2012-05-23 11:26:14,815,661,26,815,0,0,0,0,0
5991693871_10150778415688872,Which season of The Wire is your all time favorite?,,status,,2012-04-27 12:15:48,47,34,0,47,0,0,0,0,0
5991693871_10150758040653872,"WHO SAID IT?:

""You supposed to be good cop, dumb motherf**ker!""",,status,,2012-04-19 10:37:47,925,948,33,925,0,0,0,0,0
5991693871_10150717884973872,"If you were in The Wire, which player in the game would you be?",,status,,2012-04-04 12:03:19,18,6,0,18,0,0,0,0,0
5991693871_10150704934753872,"A shout out to Jim Egan for yesterday's fill in the blank: You know you're a hardcore The Wire fan when ""you give a f**k even when it isn't your turn."" Congrats and thanks to everyone who participated.",,status,,2012-03-29 10:54:42,612,77,5,612,0,0,0,0,0
5991693871_10150703149773872,You know you're a hardcore The Wire fan when ____________. Fill in the blank and you may get a shout out from The Wire page.,,status,,2012-03-28 13:05:15,808,3660,88,808,0,0,0,0,0
5991693871_10150673394593872,Which of these Bubbles quotes from The Wire is your favorite?,,status,,2012-03-14 11:32:26,10,1,0,10,0,0,0,0,0
5991693871_10150644611843872,"""Ain't no shame in holdin' on to grief, as long as you make room for other things too."" - Bubbles

What's your all-time favorite episode of The Wire?",,status,,2012-02-29 15:24:30,2216,703,159,2216,0,0,0,0,0
5991693871_10150626873743872,"""Don't matter who did what to who at this point. Fact is, we went to war and there ain't no turnin' back. I mean, sh*t, it's what war is, you know? Once you in it, you in it. If it's a lie, then we fight on that lie. But we gotta fight."" - Slim Charles",,status,,2012-02-21 13:11:23,3363,294,318,3363,0,0,0,0,0
5991693871_10150575562863872,"""You lying motherf**ker, you're as full of sh*t as I am. And you've got to live with it and play it out as far as it goes, right? Trapped in the same lie. Only difference is, I know why I did it. But f**k if I can figure out what it gets you in the end. But, hey, I'm not part of your tribe."" - McNulty",,status,,2012-02-01 15:15:52,2184,270,108,2184,0,0,0,0,0
5991693871_10150539629848872,"""F**k the f**king numbers already! The f**king numbers destroyed this f**king department. Landsman and his clearance rate can suck a hairy a**hole."" - McNulty",,status,,2012-01-18 17:19:22,3262,294,165,3262,0,0,0,0,0
5991693871_10150495734138872,"""Same f**k-ups in the same sh*t detail, workin' out of the same sh*thouse kind of office. You people lack for personal growth, you know that?"" - Lester Freamon",,status,,2011-12-29 12:10:12,2088,196,118,2088,0,0,0,0,0
5991693871_10150487549028872,Happy Holidays to everyone in the game.,,status,,2011-12-25 13:05:12,8168,428,492,8168,0,0,0,0,0
5991693871_10150427975238872,"""You cannot lose if you do not play."" You can now watch The Wire on HBO On Demand, starting today, so you can relive all of the dramatic moments. What is your favorite scene from The Wire?",,status,,2011-11-28 18:05:08,1386,667,109,1386,0,0,0,0,0
