status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
10606591490_10154660452666491,"""This is an unacceptable guest experience and the Fyre team takes full responsibility for the issues that occurred.""",Fyre Festival Promises Refunds as 'Luxury' Event Turns to Chaos,link,http://ti.me/2qivsvD,2017-04-29 09:00:35,13,0,1,12,0,0,1,0,0
10606591490_10154660346546491,"Kayla Itsines: ""I want women to work out because they love their body, not because they hate it.""",Kayla Itsines on the Quickest Way to Get Fit,link,http://ti.me/2pqtMlZ,2017-04-29 08:01:11,168,6,14,156,11,1,0,0,0
10606591490_10154547930436463,Why this North Carolina coffee shop is one of the most welcoming places you'll ever visit: http://trib.al/FN99eLA,Southern Made: Bitty & Beau's Coffee Shop,video,https://www.facebook.com/time/videos/10154547930436463/,2017-04-29 07:30:00,1109,50,315,795,305,7,1,1,0
10606591490_10155334786139073,"Dangling some 100 feet over the rocky waters of the Atlantic Ocean, the rope bridge takes visitors across cliffs where they can access the tiny island of Carrick-a-Rede.

See more photos: http://tandl.me/2pIfH41",This Rope Bridge Is So Popular You Need a Ticket to Cross,video,https://www.facebook.com/time/videos/10155334786139073/,2017-04-29 06:30:00,354,61,103,318,15,19,2,0,0
10606591490_10154659404691491,"Technology might be rewriting the rules of dating, but the game itself is a very old pursuit.",Millennials in Love: Why They're Not So Different From Their Parents After All,link,http://ti.me/2oR8kTk,2017-04-28 22:30:29,185,8,20,167,10,2,6,0,0
10606591490_10154658910671491,"Since the incident with the United passenger earlier this month, there's been a noticeable drop in their fares, according to one expert.",United Is Now Offering Crazy Cheap 'Apology Fares' to Europe,link,http://ti.me/2qgsW9n,2017-04-28 18:00:13,832,167,280,663,35,24,106,2,2
10606591490_10154658848186491,"From the inauguration crowd to discussions at Mar-a-Lago, see the most memorable moments of President Donald J. Trump's first 100 days in office.",19 Photographs That Defined Trump's First 100 Days,link,http://ti.me/2qo34aM,2017-04-28 17:30:24,192,37,18,142,9,1,22,2,16
10606591490_10154658649856491,"President Donald J. Trump calls Elizabeth Warren ""Pocahontas"" again at annual NRA convention. http://ti.me/2qnXrcx",Trump Calls Elizabeth Warren 'Pocahontas' Again,video,https://www.facebook.com/time/videos/10154658649856491/,2017-04-28 16:01:12,1627,493,168,342,23,56,135,41,1030
10606591490_10154658542731491,"The Internet is comparing the ""luxury festival"" to 'Lord of the Flies' and 'The Hunger Games.'",The 'Luxury' Fyre Music Festival Has Turned Into a 'Hunger Games for Rich People',link,http://ti.me/2ptYBpS,2017-04-28 15:00:56,1459,73,154,869,23,72,485,4,6
10606591490_10154658444631491,"TIME 100 influencers weigh in on President Donald J. Trump's first 100 days.
http://ti.me/2pu4VxA",Influencers Weigh In On Trump's First 100 Days,video,https://www.facebook.com/time/videos/10154658444631491/,2017-04-28 14:31:12,204,32,27,176,10,2,15,0,1
10606591490_10155337321424073,Here are some secrets of the beautiful island of Santorini that you might not know: http://tandl.me/2aYfRcl,Incredible Drone Footage of Santorini,video,https://www.facebook.com/time/videos/10155337321424073/,2017-04-28 10:00:00,5412,913,955,4493,818,101,1,0,0
10606591490_10154657321466491,"""We're putting in the hard work for you and giving you a pre-sweated tee for that post-workout look and smell.""",Reebok 'Sweat Shirt' Rivals Nordstrom's Mud-Caked Jeans,link,http://ti.me/2qlWe5D,2017-04-28 07:00:31,171,13,11,128,2,2,39,0,0
10606591490_10154657240931491,"President Donald J. Trump: ""This is more work than in my previous life. I thought it would be easier.""",Trump Says He Thought Being President 'Would Be Easier',link,http://ti.me/2oDCYUL,2017-04-28 06:30:41,14117,1824,3794,3924,59,1062,7937,184,953
10606591490_10154656578316491,"While his approval ratings are historically low, President Donald J. Trump supporters remain firmly planted behind their man.",Poll: Trump Voters Still Think President is Doing a Good Job,link,http://ti.me/2oOxeCV,2017-04-27 23:00:53,1968,536,91,626,39,78,875,213,137
10606591490_10154656312121491,"President Donald J. Trump: ""There is a chance that we could end up having a major, major conflict with North Korea.""",Trump Says 'Major Conflict' With North Korea Is Possible,link,http://ti.me/2qcOx2s,2017-04-27 21:30:21,1767,452,382,833,16,133,57,79,649
10606591490_10154656058746491,A history of President Donald J. Trump being trolled at the White House Correspondents' Dinner. http://ti.me/2qcKNAQ,Trump's Correspondents' Dinner History,video,https://www.facebook.com/time/videos/10154656058746491/,2017-04-27 20:01:10,1395,87,179,947,73,5,359,1,10
10606591490_10154655687996491,This may be a better way to estimate the risks of health problems associated with excess weight.,"When It Comes To Weight Loss, Forget Your BMI and Focus on This Instead",link,http://ti.me/2qcIQoa,2017-04-27 18:01:31,92,3,33,83,6,3,0,0,0
10606591490_10154655445376491,"He was known for playing hockey player Jack O'Callahan in 'Miracle,' the 2004 movie based on the U.S. men's hockey team's victory over the Soviet Union in the 1980 Olympics.","Michael Mantenuto, 'Miracle' Actor, Found Dead at 35",link,http://ti.me/2oQM8Jv,2017-04-27 16:08:59,668,50,129,244,9,35,1,376,3
10606591490_10154654924791491,Watch Robert De Niro go full millennial and try Snapchat for the first time. http://ti.me/2oAIEit,Robert De Niro Learns To Snapchat,video,https://www.facebook.com/time/videos/10154654924791491/,2017-04-27 15:30:00,6456,288,755,4388,627,9,1424,2,6
10606591490_10154655026881491,Authorities kicked a man off his Delta flight to Milwaukee after he used the bathroom while the plane was stalled on the tarmac.,Man Gets Kicked off Delta Flight for Using the Restroom,link,http://ti.me/2oQcGL8,2017-04-27 13:00:47,636,203,88,291,10,85,30,12,208
10606591490_10154654951406491,Gas shortages in North Korean capital spark rumors that China is choking supply. http://ti.me/2qap9dB,Gas Shortage in North Korea,video,https://www.facebook.com/time/videos/10154654951406491/,2017-04-27 12:31:15,827,54,238,718,19,32,55,0,3
10606591490_10154654874701491,Johansson even offered a special incentive for her newfound twin to accept her invitation to have a drink.,Scarlett Johansson Found Out She Has a Grandma Lookalike,link,http://ti.me/2oAAfvk,2017-04-27 12:00:29,631,15,8,576,32,4,19,0,0
10606591490_1290043344424968,"What is ""hygge"" and ""kalsarikannit""? And why don't these words exist in English? http://trib.al/Q46qUgR",What is Hygge and Kalsarikannit?,video,https://www.facebook.com/time/videos/1290043344424968/,2017-04-27 10:30:00,3650,406,781,3202,333,10,105,0,0
10606591490_10154913097302949,Here are Apple co-founder Steve Wozniak's predictions for the year 2075: http://for.tn/2oimpcZ,Steve Wozniak's Predictions For 2075,video,https://www.facebook.com/time/videos/10154913097302949/,2017-04-27 09:30:00,318,18,92,284,7,18,9,0,0
10606591490_10154654169701491,Ivanka Trump has advocated for female economic empowerment and said she wants this to be part of her agenda.,Ivanka Trump in Talks With World Bank On Female Entrepreneurship Fund,link,http://ti.me/2oOp8er,2017-04-27 06:30:45,501,183,26,265,14,2,135,7,78
10606591490_10154653957016491,Flight attendants for Aeroflot were told they'd been barred from international flights because of their larger clothing sizes.,Workers for Russia's Largest Airline Are Told To Lose Weight,link,http://ti.me/2oyYhqC,2017-04-27 04:00:44,884,91,80,480,9,72,115,14,194
10606591490_10154653091186491,"Anthony Bourdain won't go near plane food, but he does enjoy dining in this airport.",Anthony Bourdain Says This Airport Has the Best Food,link,http://ti.me/2qfP4Qm,2017-04-26 19:00:49,740,66,112,687,39,7,6,1,0
10606591490_10154653035841491,Compared to 52% of respondents who said that they would vote to re-elect Barack Obama after his first 100 days,Poll: Just 36% of Voters Would Re-Elect Donald Trump,link,http://ti.me/2q7MvR6,2017-04-26 18:30:20,3782,598,568,2305,174,81,1166,25,31
10606591490_10154652618736491,"From Katie Couric to Ashley Graham, see highlights from the #TIME100 photobooth. http://ti.me/2q8LtqN",TIME 100 Gala 2017 Photobooth Highlights,video,https://www.facebook.com/time/videos/10154652618736491/,2017-04-26 15:01:00,258,13,17,234,13,2,7,0,2
10606591490_10154652369351491,"John Legend is famous for his love songs, but he explains how his love for his daughter is different.",John Legend Explains Why His Daughter Hasn't Quite Earned His Love Yet,link,http://ti.me/2pA6zib,2017-04-26 14:00:11,235,24,8,209,18,0,7,0,1
10606591490_10154652132826491,"The impersonator was there to ""push back on the lies and the slander"" from Trevor Noah.",Watch This Trump Impersonator Crash 'The Daily Show',link,http://ti.me/2oMyjfd,2017-04-26 12:00:16,315,21,26,244,10,2,59,0,0
10606591490_10154651987611491,"Viola Davis on why she's telling her daughter to stop apologizing: ""We need to step into our power."" http://ti.me/2q65885 #TIME100",TIME 100 Gala 2017: Viola Davis,video,https://www.facebook.com/time/videos/10154651987611491/,2017-04-26 11:01:27,664,20,105,541,117,2,3,1,0
10606591490_10154651674611491,The 35-inch-long Continental Giant Rabbit was expected to follow in his father's footsteps and become the world's biggest bunny.,Giant Rabbit Found Dead on United Airlines Flight,link,http://ti.me/2ovGcJY,2017-04-26 08:30:12,1753,161,211,548,4,60,12,880,249
10606591490_10154651316011491,The 11-year-old was due to have his arm amputated and had already had both legs removed in a bid to save his life.,Boy in Malaysia Dies Following Horrific School Beating,link,http://ti.me/2pyF9ZS,2017-04-26 05:30:08,3675,148,517,690,11,106,4,1543,1321
10606591490_10154650927591491,A report found poor conditions and pay at the factory used by Ivanka Trump's clothing maker.,Workers at Factory for Ivanka Trump's Clothing Maker Earn About $62 a Week,link,http://ti.me/2qd8BRu,2017-04-26 01:00:38,11261,1085,6317,3826,60,1129,289,557,5400
10606591490_10154650592881491,Sarah Paulson responded to rumors that she would play Princess Di in 'Feud' at the #TIME100 Gala. http://ti.me/2qcGulx,Sarah Paulson Addresses Speculation That She Might Play the Late Princess Diana,link,http://ti.me/2ou3uQF,2017-04-25 22:00:18,128,5,5,114,4,7,3,0,0
