status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
338028696036_1538107136223412,President Donald J. Trump tweeted an average of 4.68 times a day in his first 100 day — but these are by far his most controversial posts.,President Trump's most controversial tweets,video,https://www.facebook.com/yahoonews/videos/1538107136223412/,2017-04-29 06:40:00,102,282,30,47,2,4,21,2,26
338028696036_10154222391081371,An astronaut shows us how to make a peanut butter and jelly sandwich — in space! https://yhoo.it/2q6ZoLe (Credit: YouTube/NASA),Astronaut shows us how to make a peanut butter and jelly sandw...,video,https://www.facebook.com/yahoonews/videos/10154222391081371/,2017-04-29 05:20:00,343,28,89,286,17,31,10,0,0
338028696036_10155698665441037,"""Our companies are doing better –- they just announced fantastic profits -– all because of what's happened in this rather short period of time,"" President Trump, in his weekly address, says of his first 100 days in office.",Trump: My first 100 days are 'just about the most successful' in US history,link,https://yhoo.it/2prBwly,2017-04-29 05:11:46,1006,449,69,182,16,21,661,8,118
338028696036_10155698646756037,President Trump has a Democrat to thank for the high expectations of his first few weeks in office.,Why the first 100 days of Donald Trump's presidency matter,link,https://yhoo.it/2qneprw,2017-04-29 05:00:39,52,54,4,43,2,0,7,0,0
338028696036_10154222391621371,Cincinnati Zoo's premature hippo gets used to swimming in deep water: https://yhoo.it/2oNkHzx (Credit: YouTube/Cincinnati Zoo & Botanical Gardens),Cincinnati Zoo's premature hippo gets used to swimming in deep...,video,https://www.facebook.com/yahoonews/videos/10154222391621371/,2017-04-29 04:00:00,358,9,46,276,80,0,2,0,0
338028696036_1566646096701605,Jennifer Lopez and Gwen Stefani battle it out for Joe Zee's best dressed. yhoo.it/09e45f6,Knockout Style: J Lo and Gwen Stefani Battle It Out For Best D...,video,https://www.facebook.com/yahoonews/videos/1566646096701605/,2017-04-29 03:20:00,53,7,4,50,1,0,2,0,0
338028696036_10155698465051037,"""We have no idea what's going on. We're just sitting on the beach getting wasted.""",Luxurious 'Coachella' for the super-rich ends in disaster,link,https://yhoo.it/2qnFACI,2017-04-29 03:00:18,322,43,22,164,5,21,129,2,1
338028696036_10155698314656037,"For 36 hours the pair lived in the small cabin, which has no heat and no electricity, while doing odd jobs for Barry to earn their keep.","Tipster who led police to missing 15-year-old says he saw teacher, 50, kissing her twice",link,https://yhoo.it/2pcKc0U,2017-04-29 01:40:01,120,5,8,94,1,7,1,3,14
338028696036_10155697996091037,"""Our society is going to be judged by future generations about our civility and our decency.""",Joe Biden: 'Rape and sexual assault are not about sex. They're about power.',link,https://yhoo.it/2oPQdNz,2017-04-28 23:40:01,330,49,31,289,27,2,3,3,7
338028696036_10155697897866037,A new bill gives Texas the authority to accomplish exactly what Trump's executive order set out to do.,Texas sheriffs could face jail time for not cooperating with federal immigration law,link,https://yhoo.it/2oEEh62,2017-04-28 22:40:01,314,62,31,160,27,4,13,4,106
338028696036_10155695638116037,"In celebration of National Superhero Day, we count down America's top 10 bestselling comic books of all time.",Top 10 Best Selling Comic Books of All Time,video,https://www.facebook.com/yahoonews/videos/10155695638116037/,2017-04-28 21:50:00,248,25,103,226,16,6,1,0,0
338028696036_10155128467576597,"4 years ago, Michael Jordan married Yvette Prieto. From starring in ""Space Jam"" to receiving the Presidential Medal of Freedom, we look back at Jordan's life off the court.",Michael Jordan's off-court life,video,https://www.facebook.com/yahoonews/videos/10155128467576597/,2017-04-28 20:30:00,471,29,106,415,39,15,1,0,1
338028696036_10155680936846037,Michael Bloomberg reveals what he and Donald J. Trump discussed during their phone call after the election. https://yhoo.it/2q2tMX3,Michael Bloomberg Discusses His Phone Call With President Trump,video,https://www.facebook.com/yahoonews/videos/10155680936846037/,2017-04-28 19:40:00,64,23,23,58,3,3,0,0,0
338028696036_10155696695571037,"""Unless they bring whistleblowers to the table, this is nothing more than another dog and pony show.""",WHISTLEBLOWER: Trump V.A. executive order nothing more than a 'dog and pony show',link,https://yhoo.it/2pcoeer,2017-04-28 19:20:03,92,16,15,66,0,1,8,4,13
338028696036_10155675580196037,Burt Reynolds reveals what he'd do if he weren't an actor: https://yhoo.it/2ooNdMy,What Burt Reynolds would do if he weren't an actor,video,https://www.facebook.com/yahoonews/videos/10155675580196037/,2017-04-28 18:40:00,47,3,10,44,2,1,0,0,0
338028696036_10155696531031037,"""We are deeply sorry for the loss of anything, from your luggage to, of course, a loved pet.""","United CEO blames 'system failure' for Dao dragging, expresses condolences for giant rabbit death",link,https://yhoo.it/2qeaIoM,2017-04-28 18:20:01,87,20,4,42,0,5,0,31,9
